Angle(deg),BER_Bound_Exact_Integral
2.44,9.80328425e-04
2.45,9.77614094e-04
2.46,9.74908216e-04
2.47,9.72210774e-04
2.48,9.69521749e-04
2.49,9.66841125e-04
2.50,9.64168881e-04
2.51,9.61505001e-04
2.52,9.58849464e-04
2.53,9.56202253e-04
2.54,9.53563349e-04
2.55,9.50932732e-04
2.56,9.48310384e-04
2.57,9.45696286e-04
2.58,9.43090419e-04
2.59,9.40492762e-04
2.60,9.37903298e-04
2.61,9.35322006e-04
2.62,9.32748867e-04
2.63,9.30183862e-04
2.64,9.27626970e-04
2.65,9.25078173e-04
2.66,9.22537450e-04
2.67,9.20004782e-04
2.68,9.17480148e-04
2.69,9.14963530e-04
2.70,9.12454905e-04
2.71,9.09954256e-04
2.72,9.07461562e-04
2.73,9.04976802e-04
2.74,9.02499956e-04
2.75,9.00031004e-04
2.76,8.97569927e-04
2.77,8.95116703e-04
2.78,8.92671312e-04
2.79,8.90233734e-04
2.80,8.87803949e-04
2.81,8.85381936e-04
2.82,8.82967674e-04
2.83,8.80561144e-04
2.84,8.78162325e-04
2.85,8.75771195e-04
2.86,8.73387736e-04
2.87,8.71011925e-04
2.88,8.68643743e-04
2.89,8.66283169e-04
2.90,8.63930183e-04
2.91,8.61584763e-04
2.92,8.59246889e-04
2.93,8.56916541e-04
2.94,8.54593698e-04
2.95,8.52278339e-04
2.96,8.49970443e-04
2.97,8.47669991e-04
2.98,8.45376961e-04
2.99,8.43091332e-04
3.00,8.40813084e-04
3.01,8.38542197e-04
3.02,8.36278649e-04
3.03,8.34022421e-04
3.04,8.31773490e-04
3.05,8.29531838e-04
3.06,8.27297442e-04
3.07,8.25070283e-04
3.08,8.22850340e-04
3.09,8.20637592e-04
3.10,8.18432019e-04
3.11,8.16233599e-04
3.12,8.14042313e-04
3.13,8.11858140e-04
3.14,8.09681060e-04
3.15,8.07511051e-04
3.16,8.05348093e-04
3.17,8.03192167e-04
3.18,8.01043250e-04
3.19,7.98901324e-04
3.20,7.96766366e-04
3.21,7.94638358e-04
3.22,7.92517278e-04
3.23,7.90403107e-04
3.24,7.88295823e-04
3.25,7.86195406e-04
3.26,7.84101837e-04
3.27,7.82015094e-04
3.28,7.79935158e-04
3.29,7.77862008e-04
3.30,7.75795624e-04
3.31,7.73735986e-04
3.32,7.71683073e-04
3.33,7.69636866e-04
3.34,7.67597345e-04
3.35,7.65564488e-04
3.36,7.63538277e-04
3.37,7.61518691e-04
3.38,7.59505709e-04
3.39,7.57499313e-04
3.40,7.55499482e-04
3.41,7.53506197e-04
3.42,7.51519436e-04
3.43,7.49539181e-04
3.44,7.47565412e-04
3.45,7.45598108e-04
3.46,7.43637251e-04
3.47,7.41682820e-04
3.48,7.39734795e-04
3.49,7.37793157e-04
3.50,7.35857887e-04
3.51,7.33928964e-04
3.52,7.32006369e-04
3.53,7.30090083e-04
3.54,7.28180086e-04
3.55,7.26276358e-04
3.56,7.24378881e-04
3.57,7.22487634e-04
3.58,7.20602599e-04
3.59,7.18723756e-04
3.60,7.16851085e-04
3.61,7.14984568e-04
3.62,7.13124186e-04
3.63,7.11269918e-04
3.64,7.09421747e-04
3.65,7.07579652e-04
3.66,7.05743615e-04
3.67,7.03913617e-04
3.68,7.02089639e-04
3.69,7.00271661e-04
3.70,6.98459666e-04
3.71,6.96653634e-04
3.72,6.94853546e-04
3.73,6.93059383e-04
3.74,6.91271127e-04
3.75,6.89488759e-04
3.76,6.87712260e-04
3.77,6.85941612e-04
3.78,6.84176796e-04
3.79,6.82417794e-04
3.80,6.80664587e-04
3.81,6.78917156e-04
3.82,6.77175483e-04
3.83,6.75439550e-04
3.84,6.73709339e-04
3.85,6.71984830e-04
3.86,6.70266007e-04
3.87,6.68552850e-04
3.88,6.66845341e-04
3.89,6.65143463e-04
3.90,6.63447197e-04
