Angle(deg),BER_Bound_Exact_Integral
10.50,2.27208804e-04
10.51,2.27220516e-04
10.52,2.27238140e-04
10.53,2.27261662e-04
10.54,2.27291063e-04
10.55,2.27326323e-04
10.56,2.27367421e-04
10.57,2.27414329e-04
10.58,2.27467020e-04
10.59,2.27525462e-04
10.60,2.27589619e-04
10.61,2.27659452e-04
10.62,2.27734919e-04
10.63,2.27815972e-04
10.64,2.27902559e-04
10.65,2.27994625e-04
10.66,2.28092109e-04
10.67,2.28194945e-04
10.68,2.28303061e-04
10.69,2.28416380e-04
10.70,2.28534819e-04
10.71,2.28658290e-04
10.72,2.28786696e-04
10.73,2.28919934e-04
10.74,2.29057896e-04
10.75,2.29200463e-04
10.76,2.29347512e-04
10.77,2.29498909e-04
10.78,2.29654513e-04
10.79,2.29814173e-04
10.80,2.29977733e-04
10.81,2.30145022e-04
10.82,2.30315863e-04
10.83,2.30490068e-04
10.84,2.30667440e-04
10.85,2.30847768e-04
10.86,2.31030835e-04
10.87,2.31216409e-04
10.88,2.31404247e-04
10.89,2.31594096e-04
10.90,2.31785690e-04
10.91,2.31978750e-04
10.92,2.32172985e-04
10.93,2.32368091e-04
10.94,2.32563752e-04
10.95,2.32759638e-04
10.96,2.32955404e-04
10.97,2.33150695e-04
10.98,2.33345138e-04
10.99,2.33538350e-04
11.00,2.33729932e-04
11.01,2.33919470e-04
11.02,2.34106540e-04
11.03,2.34290698e-04
11.04,2.34471492e-04
11.05,2.34648451e-04
11.06,2.34821093e-04
11.07,2.34988921e-04
11.08,2.35151425e-04
11.09,2.35308080e-04
11.10,2.35458351e-04
11.11,2.35601685e-04
11.12,2.35737520e-04
11.13,2.35865281e-04
11.14,2.35984379e-04
11.15,2.36094217e-04
11.16,2.36194182e-04
11.17,2.36283654e-04
11.18,2.36362000e-04
11.19,2.36428580e-04
11.20,2.36482743e-04
11.21,2.36523828e-04
11.22,2.36551170e-04
11.23,2.36564094e-04
11.24,2.36561917e-04
11.25,2.36543952e-04
11.26,2.36509505e-04
11.27,2.36457875e-04
11.28,2.36388356e-04
11.29,2.36300256e-04
11.30,2.36192916e-04
11.31,2.36065593e-04
11.32,2.35917737e-04
11.33,2.35749910e-04
11.34,2.35562856e-04
11.35,2.35357234e-04
11.36,2.35133740e-04
11.37,2.34893080e-04
11.38,2.34635958e-04
11.39,2.34363067e-04
11.40,2.34075099e-04
11.41,2.33772736e-04
11.42,2.33456654e-04
11.43,2.33127521e-04
11.44,2.32786000e-04
11.45,2.32432740e-04
11.46,2.32068386e-04
11.47,2.31693571e-04
11.48,2.31308917e-04
11.49,2.30915035e-04
11.50,2.30512527e-04
11.51,2.30101981e-04
11.52,2.29683974e-04
11.53,2.29259071e-04
11.54,2.28827822e-04
11.55,2.28390765e-04
11.56,2.27948426e-04
11.57,2.27501316e-04
11.58,2.27049933e-04
11.59,2.26594759e-04
11.60,2.26136266e-04
11.61,2.25674908e-04
11.62,2.25211128e-04
11.63,2.24745351e-04
11.64,2.24277992e-04
11.65,2.23809450e-04
11.66,2.23340109e-04
11.67,2.22870341e-04
11.68,2.22400504e-04
11.69,2.21930940e-04
11.70,2.21461980e-04
11.71,2.20993942e-04
11.72,2.20527128e-04
11.73,2.20061830e-04
11.74,2.19598326e-04
11.75,2.19136882e-04
11.76,2.18677751e-04
11.77,2.18221176e-04
11.78,2.17767387e-04
11.79,2.17316602e-04
11.80,2.16869031e-04
11.81,2.16424869e-04
11.82,2.15984305e-04
11.83,2.15547515e-04
11.84,2.15114666e-04
11.85,2.14685917e-04
11.86,2.14261415e-04
11.87,2.13841301e-04
11.88,2.13425706e-04
11.89,2.13014754e-04
11.90,2.12608559e-04
11.91,2.12207230e-04
11.92,2.11810868e-04
11.93,2.11419566e-04
11.94,2.11033411e-04
11.95,2.10652485e-04
11.96,2.10276862e-04
11.97,2.09906611e-04
11.98,2.09541795e-04
11.99,2.09182473e-04
12.00,2.08828699e-04
12.01,2.08480520e-04
12.02,2.08137982e-04
12.03,2.07801123e-04
12.04,2.07469981e-04
12.05,2.07144586e-04
12.06,2.06824968e-04
12.07,2.06511153e-04
12.08,2.06203161e-04
12.09,2.05901013e-04
12.10,2.05604725e-04
12.11,2.05314311e-04
12.12,2.05029782e-04
12.13,2.04751148e-04
12.14,2.04478416e-04
12.15,2.04211591e-04
12.16,2.03950677e-04
12.17,2.03695676e-04
12.18,2.03446588e-04
12.19,2.03203412e-04
12.20,2.02966147e-04
12.21,2.02734789e-04
12.22,2.02509334e-04
12.23,2.02289776e-04
12.24,2.02076111e-04
12.25,2.01868331e-04
12.26,2.01666429e-04
12.27,2.01470398e-04
12.28,2.01280229e-04
12.29,2.01095914e-04
12.30,2.00917444e-04
12.31,2.00744811e-04
12.32,2.00578005e-04
12.33,2.00417017e-04
12.34,2.00261839e-04
12.35,2.00112460e-04
12.36,1.99968872e-04
12.37,1.99831066e-04
12.38,1.99699033e-04
12.39,1.99572766e-04
12.40,1.99452254e-04
12.41,1.99337492e-04
12.42,1.99228471e-04
12.43,1.99125183e-04
12.44,1.99027623e-04
12.45,1.98935784e-04
12.46,1.98849659e-04
12.47,1.98769244e-04
12.48,1.98694532e-04
12.49,1.98625521e-04
12.50,1.98562205e-04
12.51,1.98504582e-04
12.52,1.98452648e-04
12.53,1.98406401e-04
12.54,1.98365839e-04
12.55,1.98330961e-04
12.56,1.98301766e-04
12.57,1.98278254e-04
12.58,1.98260426e-04
12.59,1.98248282e-04
12.60,1.98241824e-04
12.61,1.98241054e-04
12.62,1.98245974e-04
12.63,1.98256589e-04
12.64,1.98272901e-04
12.65,1.98294915e-04
12.66,1.98322635e-04
12.67,1.98356067e-04
12.68,1.98395217e-04
12.69,1.98440089e-04
12.70,1.98490692e-04
12.71,1.98547032e-04
12.72,1.98609117e-04
12.73,1.98676954e-04
12.74,1.98750551e-04
12.75,1.98829917e-04
12.76,1.98915060e-04
12.77,1.99005990e-04
12.78,1.99102715e-04
12.79,1.99205245e-04
12.80,1.99313589e-04
12.81,1.99427758e-04
12.82,1.99547760e-04
12.83,1.99673606e-04
12.84,1.99805305e-04
12.85,1.99942866e-04
12.86,2.00086300e-04
12.87,2.00235616e-04
12.88,2.00390823e-04
12.89,2.00551929e-04
12.90,2.00718944e-04
12.91,2.00891875e-04
12.92,2.01070730e-04
12.93,2.01255517e-04
12.94,2.01446242e-04
12.95,2.01642911e-04
12.96,2.01845530e-04
12.97,2.02054102e-04
12.98,2.02268632e-04
12.99,2.02489122e-04
13.00,2.02715573e-04
13.01,2.02947987e-04
13.02,2.03186362e-04
13.03,2.03430696e-04
13.04,2.03680986e-04
13.05,2.03937227e-04
13.06,2.04199411e-04
13.07,2.04467532e-04
13.08,2.04741578e-04
13.09,2.05021538e-04
13.10,2.05307397e-04
13.11,2.05599138e-04
13.12,2.05896745e-04
13.13,2.06200194e-04
13.14,2.06509462e-04
13.15,2.06824524e-04
13.16,2.07145350e-04
13.17,2.07471907e-04
13.18,2.07804161e-04
13.19,2.08142072e-04
13.20,2.08485599e-04
13.21,2.08834696e-04
13.22,2.09189313e-04
13.23,2.09549398e-04
13.24,2.09914893e-04
13.25,2.10285736e-04
13.26,2.10661861e-04
13.27,2.11043197e-04
13.28,2.11429670e-04
13.29,2.11821198e-04
13.30,2.12217696e-04
13.31,2.12619073e-04
13.32,2.13025233e-04
13.33,2.13436073e-04
13.34,2.13851484e-04
13.35,2.14271354e-04
13.36,2.14695561e-04
13.37,2.15123978e-04
13.38,2.15556472e-04
13.39,2.15992900e-04
13.40,2.16433116e-04
13.41,2.16876965e-04
13.42,2.17324283e-04
13.43,2.17774899e-04
13.44,2.18228636e-04
13.45,2.18685307e-04
13.46,2.19144716e-04
13.47,2.19606660e-04
13.48,2.20070927e-04
13.49,2.20537295e-04
13.50,2.21005535e-04
13.51,2.21475407e-04
13.52,2.21946661e-04
13.53,2.22419038e-04
13.54,2.22892271e-04
13.55,2.23366081e-04
13.56,2.23840179e-04
13.57,2.24314266e-04
13.58,2.24788034e-04
13.59,2.25261161e-04
13.60,2.25733319e-04
13.61,2.26204165e-04
13.62,2.26673347e-04
13.63,2.27140504e-04
13.64,2.27605260e-04
13.65,2.28067232e-04
13.66,2.28526022e-04
13.67,2.28981224e-04
13.68,2.29432420e-04
13.69,2.29879179e-04
13.70,2.30321062e-04
13.71,2.30757617e-04
13.72,2.31188381e-04
13.73,2.31612880e-04
13.74,2.32030630e-04
13.75,2.32441136e-04
13.76,2.32843891e-04
13.77,2.33238380e-04
13.78,2.33624074e-04
13.79,2.34000436e-04
13.80,2.34366920e-04
13.81,2.34722968e-04
13.82,2.35068014e-04
13.83,2.35401482e-04
13.84,2.35722786e-04
13.85,2.36031332e-04
13.86,2.36326519e-04
13.87,2.36607735e-04
13.88,2.36874362e-04
13.89,2.37125774e-04
13.90,2.37361338e-04
13.91,2.37580415e-04
13.92,2.37782357e-04
13.93,2.37966513e-04
13.94,2.38132225e-04
13.95,2.38278831e-04
13.96,2.38405661e-04
13.97,2.38512043e-04
13.98,2.38597299e-04
13.99,2.38660745e-04
14.00,2.38701696e-04
14.01,2.38719485e-04
14.02,2.38713473e-04
14.03,2.38682991e-04
14.04,2.38627232e-04
14.05,2.38546050e-04
14.06,2.38440203e-04
14.07,2.38310400e-04
14.08,2.38157275e-04
14.09,2.37981491e-04
14.10,2.37783729e-04
14.11,2.37564676e-04
14.12,2.37325012e-04
14.13,2.37065411e-04
14.14,2.36786545e-04
14.15,2.36489077e-04
14.16,2.36173667e-04
14.17,2.35840971e-04
14.18,2.35491636e-04
14.19,2.35126304e-04
14.20,2.34745610e-04
14.21,2.34350185e-04
14.22,2.33940647e-04
14.23,2.33517612e-04
14.24,2.33081683e-04
14.25,2.32633458e-04
14.26,2.32173525e-04
14.27,2.31702463e-04
14.28,2.31220841e-04
14.29,2.30729220e-04
14.30,2.30228150e-04
14.31,2.29718171e-04
14.32,2.29199815e-04
14.33,2.28673601e-04
14.34,2.28140038e-04
14.35,2.27599625e-04
14.36,2.27052850e-04
14.37,2.26500191e-04
14.38,2.25942113e-04
14.39,2.25379072e-04
14.40,2.24811512e-04
14.41,2.24239866e-04
14.42,2.23664556e-04
14.43,2.23085992e-04
14.44,2.22504574e-04
14.45,2.21920691e-04
14.46,2.21334719e-04
14.47,2.20747027e-04
14.48,2.20157968e-04
14.49,2.19567889e-04
14.50,2.18977122e-04
14.51,2.18385992e-04
14.52,2.17794810e-04
14.53,2.17203880e-04
14.54,2.16613493e-04
14.55,2.16023932e-04
14.56,2.15435468e-04
14.57,2.14848364e-04
14.58,2.14262871e-04
14.59,2.13679234e-04
14.60,2.13097685e-04
14.61,2.12518449e-04
14.62,2.11941742e-04
14.63,2.11367771e-04
14.64,2.10796733e-04
14.65,2.10228819e-04
14.66,2.09664211e-04
14.67,2.09103081e-04
14.68,2.08545597e-04
14.69,2.07991916e-04
14.70,2.07442189e-04
14.71,2.06896561e-04
14.72,2.06355168e-04
14.73,2.05818140e-04
14.74,2.05285602e-04
14.75,2.04757669e-04
14.76,2.04234454e-04
14.77,2.03716062e-04
14.78,2.03202591e-04
14.79,2.02694137e-04
14.80,2.02190786e-04
14.81,2.01692624e-04
14.82,2.01199727e-04
14.83,2.00712170e-04
14.84,2.00230022e-04
14.85,1.99753346e-04
14.86,1.99282204e-04
14.87,1.98816651e-04
14.88,1.98356740e-04
14.89,1.97902519e-04
14.90,1.97454033e-04
14.91,1.97011324e-04
14.92,1.96574430e-04
14.93,1.96143385e-04
14.94,1.95718222e-04
14.95,1.95298970e-04
14.96,1.94885656e-04
14.97,1.94478303e-04
14.98,1.94076933e-04
14.99,1.93681565e-04
15.00,1.93292216e-04
15.01,1.92908901e-04
15.02,1.92531634e-04
15.03,1.92160424e-04
15.04,1.91795282e-04
15.05,1.91436215e-04
15.06,1.91083229e-04
15.07,1.90736329e-04
15.08,1.90395519e-04
15.09,1.90060800e-04
15.10,1.89732173e-04
15.11,1.89409638e-04
15.12,1.89093194e-04
15.13,1.88782838e-04
15.14,1.88478567e-04
15.15,1.88180377e-04
15.16,1.87888263e-04
15.17,1.87602220e-04
15.18,1.87322240e-04
15.19,1.87048318e-04
15.20,1.86780444e-04
15.21,1.86518612e-04
15.22,1.86262812e-04
15.23,1.86013035e-04
15.24,1.85769270e-04
15.25,1.85531508e-04
15.26,1.85299737e-04
15.27,1.85073945e-04
15.28,1.84854121e-04
15.29,1.84640252e-04
15.30,1.84432325e-04
15.31,1.84230326e-04
15.32,1.84034240e-04
15.33,1.83844053e-04
15.34,1.83659748e-04
15.35,1.83481310e-04
15.36,1.83308720e-04
15.37,1.83141962e-04
15.38,1.82981014e-04
15.39,1.82825858e-04
15.40,1.82676472e-04
15.41,1.82532833e-04
15.42,1.82394917e-04
15.43,1.82262700e-04
15.44,1.82136154e-04
15.45,1.82015250e-04
15.46,1.81899958e-04
15.47,1.81790246e-04
15.48,1.81686078e-04
15.49,1.81587419e-04
15.50,1.81494227e-04
15.51,1.81406462e-04
15.52,1.81324078e-04
15.53,1.81247028e-04
15.54,1.81175258e-04
15.55,1.81108716e-04
15.56,1.81047342e-04
15.57,1.80991073e-04
15.58,1.80939843e-04
15.59,1.80893581e-04
15.60,1.80852210e-04
15.61,1.80815652e-04
15.62,1.80783819e-04
15.63,1.80756621e-04
15.64,1.80733961e-04
15.65,1.80715738e-04
15.66,1.80701843e-04
15.67,1.80692162e-04
15.68,1.80686574e-04
15.69,1.80684953e-04
15.70,1.80687164e-04
15.71,1.80693068e-04
15.72,1.80702516e-04
15.73,1.80715355e-04
15.74,1.80731424e-04
15.75,1.80750554e-04
15.76,1.80772570e-04
15.77,1.80797290e-04
15.78,1.80824524e-04
15.79,1.80854077e-04
15.80,1.80885745e-04
15.81,1.80919320e-04
15.82,1.80954587e-04
15.83,1.80991323e-04
15.84,1.81029301e-04
15.85,1.81068289e-04
15.86,1.81108049e-04
15.87,1.81148339e-04
15.88,1.81188913e-04
15.89,1.81229519e-04
15.90,1.81269905e-04
15.91,1.81309815e-04
15.92,1.81348988e-04
15.93,1.81387164e-04
15.94,1.81424094e-04
15.95,1.81459512e-04
15.96,1.81493399e-04
15.97,1.81526017e-04
15.98,1.81557614e-04
15.99,1.81588446e-04
16.00,1.81618773e-04
16.01,1.81648849e-04
16.02,1.81678926e-04
16.03,1.81709252e-04
16.04,1.81740072e-04
16.05,1.81771627e-04
16.06,1.81804153e-04
16.07,1.81837881e-04
16.08,1.81873037e-04
16.09,1.81909840e-04
16.10,1.81948505e-04
16.11,1.81989239e-04
16.12,1.82032244e-04
16.13,1.82077713e-04
16.14,1.82125835e-04
16.15,1.82176791e-04
16.16,1.82230754e-04
16.17,1.82287890e-04
16.18,1.82348360e-04
16.19,1.82412316e-04
16.20,1.82479904e-04
16.21,1.82551263e-04
16.22,1.82626524e-04
16.23,1.82705813e-04
16.24,1.82789250e-04
16.25,1.82876945e-04
16.26,1.82969007e-04
16.27,1.83065535e-04
16.28,1.83166625e-04
16.29,1.83272365e-04
16.30,1.83382839e-04
16.31,1.83498126e-04
16.32,1.83618300e-04
16.33,1.83743431e-04
16.34,1.83873584e-04
16.35,1.84008819e-04
16.36,1.84149193e-04
16.37,1.84294760e-04
16.38,1.84445570e-04
16.39,1.84601668e-04
16.40,1.84763099e-04
16.41,1.84929904e-04
16.42,1.85102120e-04
16.43,1.85279784e-04
16.44,1.85462928e-04
16.45,1.85651585e-04
16.46,1.85845783e-04
16.47,1.86045551e-04
16.48,1.86250916e-04
16.49,1.86461901e-04
16.50,1.86678531e-04
16.51,1.86900827e-04
16.52,1.87128813e-04
16.53,1.87362507e-04
16.54,1.87601930e-04
16.55,1.87847102e-04
16.56,1.88098040e-04
16.57,1.88354762e-04
16.58,1.88617287e-04
16.59,1.88885631e-04
16.60,1.89159811e-04
16.61,1.89439845e-04
16.62,1.89725749e-04
16.63,1.90017539e-04
16.64,1.90315232e-04
16.65,1.90618846e-04
16.66,1.90928395e-04
16.67,1.91243898e-04
16.68,1.91565370e-04
16.69,1.91892829e-04
16.70,1.92226292e-04
16.71,1.92565777e-04
16.72,1.92911300e-04
16.73,1.93262881e-04
16.74,1.93620536e-04
16.75,1.93984284e-04
16.76,1.94354143e-04
16.77,1.94730134e-04
16.78,1.95112273e-04
16.79,1.95500582e-04
16.80,1.95895080e-04
16.81,1.96295785e-04
16.82,1.96702720e-04
16.83,1.97115903e-04
16.84,1.97535357e-04
16.85,1.97961100e-04
16.86,1.98393156e-04
16.87,1.98831544e-04
16.88,1.99276287e-04
16.89,1.99727406e-04
16.90,2.00184923e-04
16.91,2.00648859e-04
16.92,2.01119238e-04
16.93,2.01596080e-04
16.94,2.02079409e-04
16.95,2.02569245e-04
16.96,2.03065613e-04
16.97,2.03568533e-04
16.98,2.04078029e-04
16.99,2.04594121e-04
17.00,2.05116833e-04
17.01,2.05646186e-04
17.02,2.06182201e-04
17.03,2.06724900e-04
17.04,2.07274305e-04
17.05,2.07830436e-04
17.06,2.08393313e-04
17.07,2.08962958e-04
17.08,2.09539390e-04
17.09,2.10122629e-04
17.10,2.10712693e-04
17.11,2.11309600e-04
17.12,2.11913369e-04
17.13,2.12524017e-04
17.14,2.13141561e-04
17.15,2.13766016e-04
17.16,2.14397396e-04
17.17,2.15035718e-04
17.18,2.15680993e-04
17.19,2.16333234e-04
17.20,2.16992452e-04
17.21,2.17658659e-04
17.22,2.18331863e-04
17.23,2.19012072e-04
17.24,2.19699293e-04
17.25,2.20393531e-04
17.26,2.21094791e-04
17.27,2.21803075e-04
17.28,2.22518385e-04
17.29,2.23240720e-04
17.30,2.23970079e-04
17.31,2.24706456e-04
17.32,2.25449847e-04
17.33,2.26200244e-04
17.34,2.26957638e-04
17.35,2.27722017e-04
17.36,2.28493368e-04
17.37,2.29271674e-04
17.38,2.30056918e-04
17.39,2.30849078e-04
17.40,2.31648131e-04
17.41,2.32454053e-04
17.42,2.33266814e-04
17.43,2.34086382e-04
17.44,2.34912724e-04
17.45,2.35745803e-04
17.46,2.36585578e-04
17.47,2.37432005e-04
17.48,2.38285037e-04
17.49,2.39144624e-04
17.50,2.40010712e-04
17.51,2.40883242e-04
17.52,2.41762154e-04
17.53,2.42647380e-04
17.54,2.43538852e-04
17.55,2.44436495e-04
17.56,2.45340231e-04
17.57,2.46249976e-04
17.58,2.47165642e-04
17.59,2.48087137e-04
17.60,2.49014363e-04
17.61,2.49947216e-04
17.62,2.50885589e-04
17.63,2.51829367e-04
17.64,2.52778431e-04
17.65,2.53732656e-04
17.66,2.54691908e-04
17.67,2.55656051e-04
17.68,2.56624941e-04
17.69,2.57598425e-04
17.70,2.58576346e-04
17.71,2.59558538e-04
17.72,2.60544830e-04
17.73,2.61535041e-04
17.74,2.62528982e-04
17.75,2.63526459e-04
17.76,2.64527267e-04
17.77,2.65531193e-04
17.78,2.66538015e-04
17.79,2.67547503e-04
17.80,2.68559417e-04
17.81,2.69573506e-04
17.82,2.70589512e-04
17.83,2.71607163e-04
17.84,2.72626180e-04
17.85,2.73646271e-04
17.86,2.74667133e-04
17.87,2.75688453e-04
17.88,2.76709904e-04
17.89,2.77731148e-04
17.90,2.78751834e-04
17.91,2.79771598e-04
17.92,2.80790063e-04
17.93,2.81806839e-04
17.94,2.82821521e-04
17.95,2.83833689e-04
17.96,2.84842909e-04
17.97,2.85848732e-04
17.98,2.86850693e-04
17.99,2.87848311e-04
18.00,2.88841090e-04
18.01,2.89828514e-04
18.02,2.90810053e-04
18.03,2.91785159e-04
18.04,2.92753263e-04
18.05,2.93713783e-04
18.06,2.94666113e-04
18.07,2.95609632e-04
18.08,2.96543698e-04
18.09,2.97467650e-04
18.10,2.98380807e-04
18.11,2.99282466e-04
18.12,3.00171907e-04
18.13,3.01048388e-04
18.14,3.01911144e-04
18.15,3.02759393e-04
18.16,3.03592330e-04
18.17,3.04409128e-04
18.18,3.05208941e-04
18.19,3.05990900e-04
18.20,3.06754117e-04
18.21,3.07497682e-04
18.22,3.08220664e-04
18.23,3.08922112e-04
18.24,3.09601056e-04
18.25,3.10256504e-04
18.26,3.10887447e-04
18.27,3.11492855e-04
18.28,3.12071682e-04
18.29,3.12622863e-04
18.30,3.13145315e-04
18.31,3.13637941e-04
18.32,3.14099626e-04
18.33,3.14529242e-04
18.34,3.14925647e-04
18.35,3.15287683e-04
18.36,3.15614182e-04
18.37,3.15903962e-04
18.38,3.16155833e-04
18.39,3.16368602e-04
18.40,3.16541084e-04
18.41,3.16672116e-04
18.42,3.16760537e-04
18.43,3.16805079e-04
18.44,3.16804404e-04
18.45,3.16758523e-04
18.46,3.16668780e-04
18.47,3.16536439e-04
18.48,3.16362664e-04
18.49,3.16148619e-04
18.50,3.15895489e-04
18.51,3.15604469e-04
18.52,3.15276751e-04
18.53,3.14913515e-04
18.54,3.14515933e-04
18.55,3.14085161e-04
18.56,3.13622344e-04
18.57,3.13128610e-04
18.58,3.12605075e-04
18.59,3.12052838e-04
18.60,3.11472981e-04
18.61,3.10866571e-04
18.62,3.10234654e-04
18.63,3.09578261e-04
18.64,3.08898403e-04
18.65,3.08196071e-04
18.66,3.07472238e-04
18.67,3.06727854e-04
18.68,3.05963851e-04
18.69,3.05181141e-04
18.70,3.04380611e-04
18.71,3.03563132e-04
18.72,3.02729552e-04
18.73,3.01880696e-04
18.74,3.01017371e-04
18.75,3.00140362e-04
18.76,2.99250431e-04
18.77,2.98348323e-04
18.78,2.97434760e-04
18.79,2.96510443e-04
18.80,2.95576056e-04
18.81,2.94632259e-04
18.82,2.93679696e-04
18.83,2.92718990e-04
18.84,2.91750745e-04
18.85,2.90775547e-04
18.86,2.89793963e-04
18.87,2.88806543e-04
18.88,2.87813819e-04
18.89,2.86816306e-04
18.90,2.85814502e-04
18.91,2.84808888e-04
18.92,2.83799931e-04
18.93,2.82788081e-04
18.94,2.81773772e-04
18.95,2.80757424e-04
18.96,2.79739445e-04
18.97,2.78720224e-04
18.98,2.77700140e-04
18.99,2.76679558e-04
19.00,2.75658830e-04
19.01,2.74638295e-04
19.02,2.73618279e-04
19.03,2.72599098e-04
19.04,2.71581055e-04
19.05,2.70564443e-04
19.06,2.69549544e-04
19.07,2.68536627e-04
19.08,2.67525954e-04
19.09,2.66517776e-04
19.10,2.65512333e-04
19.11,2.64509858e-04
19.12,2.63510572e-04
19.13,2.62514690e-04
19.14,2.61522417e-04
19.15,2.60533949e-04
19.16,2.59549476e-04
19.17,2.58569179e-04
19.18,2.57593230e-04
19.19,2.56621797e-04
19.20,2.55655038e-04
19.21,2.54693105e-04
19.22,2.53736144e-04
19.23,2.52784294e-04
19.24,2.51837686e-04
19.25,2.50896449e-04
19.26,2.49960702e-04
19.27,2.49030560e-04
19.28,2.48106132e-04
19.29,2.47187523e-04
19.30,2.46274831e-04
19.31,2.45368150e-04
19.32,2.44467569e-04
19.33,2.43573172e-04
19.34,2.42685038e-04
19.35,2.41803242e-04
19.36,2.40927856e-04
19.37,2.40058945e-04
19.38,2.39196573e-04
19.39,2.38340798e-04
19.40,2.37491675e-04
19.41,2.36649255e-04
19.42,2.35813587e-04
19.43,2.34984715e-04
19.44,2.34162680e-04
19.45,2.33347520e-04
19.46,2.32539270e-04
19.47,2.31737962e-04
19.48,2.30943626e-04
19.49,2.30156288e-04
19.50,2.29375972e-04
19.51,2.28602699e-04
19.52,2.27836488e-04
19.53,2.27077356e-04
19.54,2.26325317e-04
19.55,2.25580383e-04
19.56,2.24842564e-04
19.57,2.24111869e-04
19.58,2.23388304e-04
19.59,2.22671872e-04
19.60,2.21962576e-04
19.61,2.21260418e-04
19.62,2.20565397e-04
19.63,2.19877510e-04
19.64,2.19196753e-04
19.65,2.18523122e-04
19.66,2.17856610e-04
19.67,2.17197210e-04
19.68,2.16544911e-04
19.69,2.15899705e-04
19.70,2.15261580e-04
19.71,2.14630523e-04
19.72,2.14006523e-04
19.73,2.13389563e-04
19.74,2.12779631e-04
19.75,2.12176709e-04
19.76,2.11580781e-04
19.77,2.10991830e-04
19.78,2.10409838e-04
19.79,2.09834787e-04
19.80,2.09266657e-04
19.81,2.08705429e-04
19.82,2.08151082e-04
19.83,2.07603596e-04
19.84,2.07062950e-04
19.85,2.06529123e-04
19.86,2.06002092e-04
19.87,2.05481837e-04
19.88,2.04968334e-04
19.89,2.04461562e-04
19.90,2.03961497e-04
19.91,2.03468117e-04
19.92,2.02981400e-04
19.93,2.02501321e-04
19.94,2.02027858e-04
19.95,2.01560988e-04
19.96,2.01100687e-04
19.97,2.00646934e-04
19.98,2.00199704e-04
19.99,1.99758976e-04
20.00,1.99324725e-04
20.01,1.98896930e-04
20.02,1.98475568e-04
20.03,1.98060617e-04
20.04,1.97652054e-04
20.05,1.97249858e-04
20.06,1.96854007e-04
20.07,1.96464480e-04
20.08,1.96081256e-04
20.09,1.95704314e-04
20.10,1.95333634e-04
20.11,1.94969195e-04
20.12,1.94610979e-04
20.13,1.94258964e-04
20.14,1.93913134e-04
20.15,1.93573469e-04
20.16,1.93239952e-04
20.17,1.92912564e-04
20.18,1.92591290e-04
20.19,1.92276111e-04
20.20,1.91967012e-04
20.21,1.91663978e-04
20.22,1.91366993e-04
20.23,1.91076044e-04
20.24,1.90791115e-04
20.25,1.90512194e-04
20.26,1.90239269e-04
20.27,1.89972325e-04
20.28,1.89711353e-04
20.29,1.89456342e-04
20.30,1.89207280e-04
20.31,1.88964158e-04
20.32,1.88726968e-04
20.33,1.88495701e-04
20.34,1.88270348e-04
20.35,1.88050904e-04
20.36,1.87837362e-04
20.37,1.87629716e-04
20.38,1.87427961e-04
20.39,1.87232093e-04
20.40,1.87042109e-04
20.41,1.86858006e-04
20.42,1.86679781e-04
20.43,1.86507435e-04
20.44,1.86340965e-04
20.45,1.86180372e-04
20.46,1.86025657e-04
20.47,1.85876823e-04
20.48,1.85733871e-04
20.49,1.85596804e-04
20.50,1.85465627e-04
20.51,1.85340345e-04
20.52,1.85220962e-04
20.53,1.85107486e-04
20.54,1.84999923e-04
20.55,1.84898281e-04
20.56,1.84802569e-04
20.57,1.84712796e-04
20.58,1.84628972e-04
20.59,1.84551109e-04
20.60,1.84479217e-04
20.61,1.84413309e-04
20.62,1.84353399e-04
20.63,1.84299499e-04
20.64,1.84251624e-04
20.65,1.84209790e-04
20.66,1.84174012e-04
20.67,1.84144307e-04
20.68,1.84120692e-04
20.69,1.84103185e-04
20.70,1.84091803e-04
20.71,1.84086567e-04
20.72,1.84087495e-04
20.73,1.84094607e-04
20.74,1.84107923e-04
20.75,1.84127466e-04
20.76,1.84153255e-04
20.77,1.84185313e-04
20.78,1.84223661e-04
20.79,1.84268323e-04
20.80,1.84319320e-04
20.81,1.84376676e-04
20.82,1.84440413e-04
20.83,1.84510554e-04
20.84,1.84587122e-04
20.85,1.84670140e-04
20.86,1.84759631e-04
20.87,1.84855618e-04
20.88,1.84958123e-04
20.89,1.85067167e-04
20.90,1.85182773e-04
20.91,1.85304961e-04
20.92,1.85433751e-04
20.93,1.85569164e-04
20.94,1.85711217e-04
20.95,1.85859929e-04
20.96,1.86015316e-04
20.97,1.86177392e-04
20.98,1.86346173e-04
20.99,1.86521670e-04
21.00,1.86703894e-04
21.01,1.86892853e-04
21.02,1.87088555e-04
21.03,1.87291003e-04
21.04,1.87500201e-04
21.05,1.87716146e-04
21.06,1.87938836e-04
21.07,1.88168265e-04
21.08,1.88404423e-04
21.09,1.88647295e-04
21.10,1.88896867e-04
21.11,1.89153116e-04
21.12,1.89416018e-04
21.13,1.89685543e-04
21.14,1.89961656e-04
21.15,1.90244317e-04
21.16,1.90533482e-04
21.17,1.90829101e-04
21.18,1.91131115e-04
21.19,1.91439462e-04
21.20,1.91754071e-04
21.21,1.92074867e-04
21.22,1.92401764e-04
21.23,1.92734670e-04
21.24,1.93073484e-04
