Angle(deg),BER
0.00,1.77433327e-03
0.01,1.77421058e-03
0.02,1.77384712e-03
0.03,1.77324963e-03
0.04,1.77242435e-03
0.05,1.77137741e-03
0.06,1.77011497e-03
0.07,1.76864315e-03
0.08,1.76696805e-03
0.09,1.76509574e-03
0.10,1.76303219e-03
0.11,1.76078337e-03
0.12,1.75835515e-03
0.13,1.75575335e-03
0.14,1.75298371e-03
0.15,1.75005190e-03
0.16,1.74696351e-03
0.17,1.74372405e-03
0.18,1.74033891e-03
0.19,1.73681342e-03
0.20,1.73315277e-03
0.21,1.72936209e-03
0.22,1.72544636e-03
0.23,1.72141050e-03
0.24,1.71725926e-03
0.25,1.71299734e-03
0.26,1.70862928e-03
0.27,1.70415954e-03
0.28,1.69959245e-03
0.29,1.69493221e-03
0.30,1.69018295e-03
0.31,1.68534864e-03
0.32,1.68043317e-03
0.33,1.67544031e-03
0.34,1.67037370e-03
0.35,1.66523690e-03
0.36,1.66003335e-03
0.37,1.65476637e-03
0.38,1.64943920e-03
0.39,1.64405495e-03
0.40,1.63861665e-03
0.41,1.63312722e-03
0.42,1.62758948e-03
0.43,1.62200617e-03
0.44,1.61637993e-03
0.45,1.61071329e-03
0.46,1.60500872e-03
0.47,1.59926859e-03
0.48,1.59349518e-03
0.49,1.58769070e-03
0.50,1.58185729e-03
0.51,1.57599697e-03
0.52,1.57011175e-03
0.53,1.56420350e-03
0.54,1.55827407e-03
0.55,1.55232521e-03
0.56,1.54635864e-03
0.57,1.54037597e-03
0.58,1.53437878e-03
0.59,1.52836859e-03
0.60,1.52234684e-03
0.61,1.51631494e-03
0.62,1.51027423e-03
0.63,1.50422601e-03
0.64,1.49817151e-03
0.65,1.49211194e-03
0.66,1.48604844e-03
0.67,1.47998211e-03
0.68,1.47391401e-03
0.69,1.46784516e-03
0.70,1.46177654e-03
0.71,1.45570908e-03
0.72,1.44964370e-03
0.73,1.44358124e-03
0.74,1.43752255e-03
0.75,1.43146842e-03
0.76,1.42541962e-03
0.77,1.41937687e-03
0.78,1.41334089e-03
0.79,1.40731235e-03
0.80,1.40129190e-03
0.81,1.39528015e-03
0.82,1.38927771e-03
0.83,1.38328514e-03
0.84,1.37730300e-03
0.85,1.37133180e-03
0.86,1.36537205e-03
0.87,1.35942423e-03
0.88,1.35348880e-03
0.89,1.34756621e-03
0.90,1.34165687e-03
0.91,1.33576118e-03
0.92,1.32987954e-03
0.93,1.32401232e-03
0.94,1.31815987e-03
0.95,1.31232252e-03
0.96,1.30650060e-03
0.97,1.30069441e-03
0.98,1.29490426e-03
0.99,1.28913042e-03
1.00,1.28337316e-03
1.01,1.27763273e-03
1.02,1.27190939e-03
1.03,1.26620335e-03
1.04,1.26051484e-03
1.05,1.25484408e-03
1.06,1.24919125e-03
1.07,1.24355655e-03
1.08,1.23794017e-03
1.09,1.23234226e-03
1.10,1.22676299e-03
1.11,1.22120252e-03
1.12,1.21566098e-03
1.13,1.21013852e-03
1.14,1.20463526e-03
1.15,1.19915133e-03
1.16,1.19368683e-03
1.17,1.18824188e-03
1.18,1.18281658e-03
1.19,1.17741102e-03
1.20,1.17202529e-03
1.21,1.16665946e-03
1.22,1.16131363e-03
1.23,1.15598785e-03
1.24,1.15068219e-03
