Angle(deg),Theoretical_BER
0.00,3.21180556e-04
0.01,3.21180556e-04
0.02,3.21180556e-04
0.03,3.21180556e-04
0.04,3.21180556e-04
0.05,3.21180556e-04
0.06,3.21180556e-04
0.07,3.21180556e-04
0.08,3.21180556e-04
0.09,3.21180556e-04
0.10,3.21180556e-04
0.11,3.21180556e-04
0.12,3.21180556e-04
0.13,3.21180556e-04
0.14,3.21180556e-04
0.15,3.21180556e-04
0.16,3.21180556e-04
0.17,3.21180556e-04
0.18,3.21180556e-04
0.19,3.21180556e-04
0.20,3.21180556e-04
0.21,3.21180556e-04
0.22,3.21180556e-04
0.23,3.21180556e-04
0.24,3.21180556e-04
0.25,3.21180556e-04
0.26,3.21180556e-04
0.27,3.21180556e-04
0.28,3.21180556e-04
0.29,3.21180556e-04
0.30,3.21180556e-04
0.31,3.21180556e-04
0.32,3.21180556e-04
0.33,3.21180556e-04
0.34,3.21180556e-04
0.35,3.21180556e-04
0.36,3.21180556e-04
0.37,3.21180556e-04
0.38,3.21180556e-04
0.39,3.21180556e-04
0.40,3.21180556e-04
0.41,3.21180556e-04
0.42,3.21180556e-04
0.43,3.21180556e-04
0.44,3.21180556e-04
0.45,3.21180556e-04
0.46,3.21180556e-04
0.47,3.21180556e-04
0.48,3.21180556e-04
0.49,3.21180556e-04
0.50,3.21180556e-04
0.51,3.21180556e-04
0.52,3.21180556e-04
0.53,3.21180556e-04
0.54,3.21180556e-04
0.55,3.21180556e-04
0.56,3.21180556e-04
0.57,3.21180556e-04
0.58,3.21180556e-04
0.59,3.21180556e-04
0.60,3.21180556e-04
0.61,3.21180556e-04
0.62,3.21180556e-04
0.63,3.21180556e-04
0.64,3.21180556e-04
0.65,3.21180556e-04
0.66,3.21180556e-04
0.67,3.21180556e-04
0.68,3.21180556e-04
0.69,3.21180556e-04
0.70,3.21180556e-04
0.71,3.21180556e-04
0.72,3.21180556e-04
0.73,3.21180556e-04
0.74,3.21180556e-04
0.75,3.21180556e-04
0.76,3.21180556e-04
0.77,3.21180556e-04
0.78,3.21180556e-04
0.79,3.21180556e-04
0.80,3.21180556e-04
0.81,3.21180556e-04
0.82,3.21180556e-04
0.83,3.21180556e-04
0.84,3.21180556e-04
0.85,3.21180556e-04
0.86,3.21180556e-04
0.87,3.21180556e-04
0.88,3.21180556e-04
0.89,3.21180556e-04
0.90,3.21180556e-04
0.91,3.21180556e-04
0.92,3.21180556e-04
0.93,3.21180556e-04
0.94,3.21180556e-04
0.95,3.21180556e-04
0.96,3.21180556e-04
0.97,3.21180556e-04
0.98,3.21180556e-04
0.99,3.21180556e-04
1.00,3.21180556e-04
1.01,3.21180556e-04
1.02,3.21180556e-04
1.03,3.21180556e-04
1.04,3.21180556e-04
1.05,3.21180556e-04
1.06,3.21180556e-04
1.07,3.21180556e-04
1.08,3.21180556e-04
1.09,3.21180556e-04
1.10,3.21180556e-04
1.11,3.21180556e-04
1.12,3.21180556e-04
1.13,3.21180556e-04
1.14,3.21180556e-04
1.15,3.21180556e-04
1.16,3.21180556e-04
1.17,3.21180556e-04
1.18,3.21180556e-04
1.19,3.21180556e-04
1.20,3.21180556e-04
1.21,3.21180556e-04
1.22,3.21180556e-04
1.23,3.21180556e-04
1.24,3.21180556e-04
1.25,3.21180556e-04
1.26,3.21180556e-04
1.27,3.21180556e-04
1.28,3.21180556e-04
1.29,3.21180556e-04
1.30,3.21180556e-04
1.31,3.21180556e-04
1.32,3.21180556e-04
1.33,3.21180556e-04
1.34,3.21180556e-04
1.35,3.21180556e-04
1.36,3.21180556e-04
1.37,3.21180556e-04
1.38,3.21180556e-04
1.39,3.21180556e-04
1.40,3.21180556e-04
1.41,3.21180556e-04
1.42,3.21180556e-04
1.43,3.21180556e-04
1.44,3.21180556e-04
1.45,3.21180556e-04
1.46,3.21180556e-04
1.47,3.21180556e-04
1.48,3.21180556e-04
1.49,3.21180556e-04
1.50,3.21180556e-04
1.51,3.21180556e-04
1.52,3.21180556e-04
1.53,3.21180556e-04
1.54,3.21180556e-04
1.55,3.21180556e-04
1.56,3.21180556e-04
1.57,3.21180556e-04
1.58,3.21180556e-04
1.59,3.21180556e-04
1.60,3.21180556e-04
1.61,3.21180556e-04
1.62,3.21180556e-04
1.63,3.21180556e-04
1.64,3.21180556e-04
1.65,3.21180556e-04
1.66,3.21180556e-04
1.67,3.21180556e-04
1.68,3.21180556e-04
1.69,3.21180556e-04
1.70,3.21180556e-04
1.71,3.21180556e-04
1.72,3.21180556e-04
1.73,3.21180556e-04
1.74,3.21180556e-04
1.75,3.21180556e-04
1.76,3.21180556e-04
1.77,3.21180556e-04
1.78,3.21180556e-04
1.79,3.21180556e-04
1.80,3.21180556e-04
1.81,3.21180556e-04
1.82,3.21180556e-04
1.83,3.21180556e-04
1.84,3.21180556e-04
1.85,3.21180556e-04
1.86,3.21180556e-04
1.87,3.21180556e-04
1.88,3.21180556e-04
1.89,3.21180556e-04
1.90,3.21180556e-04
1.91,3.21180556e-04
1.92,3.21180556e-04
1.93,3.21180556e-04
1.94,3.21180556e-04
1.95,3.21180556e-04
1.96,3.21180556e-04
1.97,3.21180556e-04
1.98,3.21180556e-04
1.99,3.21180556e-04
2.00,3.21180556e-04
2.01,3.21180556e-04
2.02,3.21180556e-04
2.03,3.21180556e-04
2.04,3.21180556e-04
2.05,3.21180556e-04
2.06,3.21180556e-04
2.07,3.21180556e-04
2.08,3.21180556e-04
2.09,3.21180556e-04
2.10,3.21180556e-04
2.11,3.21180556e-04
2.12,3.21180556e-04
2.13,3.21180556e-04
2.14,3.21180556e-04
2.15,3.21180556e-04
2.16,3.21180556e-04
2.17,3.21180556e-04
2.18,3.21180556e-04
2.19,3.21180556e-04
2.20,3.21180556e-04
2.21,3.21180556e-04
2.22,3.21180556e-04
2.23,3.21180556e-04
2.24,3.21180556e-04
2.25,3.21180556e-04
2.26,3.21180556e-04
2.27,3.21180556e-04
2.28,3.21180556e-04
2.29,3.21180556e-04
2.30,3.21180556e-04
2.31,3.21180556e-04
2.32,3.21180556e-04
2.33,3.21180556e-04
2.34,3.21180556e-04
2.35,3.21180556e-04
2.36,3.21180556e-04
2.37,3.21180556e-04
2.38,3.21180556e-04
2.39,3.21180556e-04
2.40,3.21180556e-04
2.41,3.21180556e-04
2.42,3.21180556e-04
2.43,3.21180556e-04
2.44,3.21180556e-04
2.45,3.21180556e-04
2.46,3.21180556e-04
2.47,3.21180556e-04
2.48,3.21180556e-04
2.49,3.21180556e-04
2.50,3.21180556e-04
2.51,3.21180556e-04
2.52,3.21180556e-04
2.53,3.21180556e-04
2.54,3.21180556e-04
2.55,3.21180556e-04
2.56,3.21180556e-04
2.57,3.21180556e-04
2.58,3.21180556e-04
2.59,3.21180556e-04
2.60,3.21180556e-04
2.61,3.21180556e-04
2.62,3.21180556e-04
2.63,3.21180556e-04
2.64,3.21180556e-04
2.65,3.21180556e-04
2.66,3.21180556e-04
2.67,3.21180556e-04
2.68,3.21180556e-04
2.69,3.21180556e-04
2.70,3.21180556e-04
2.71,3.21180556e-04
2.72,3.21180556e-04
2.73,3.21180556e-04
2.74,3.21180556e-04
2.75,3.21180556e-04
2.76,3.21180556e-04
2.77,3.21180556e-04
2.78,3.21180556e-04
2.79,3.21180556e-04
2.80,3.21180556e-04
2.81,3.21180556e-04
2.82,3.21180556e-04
2.83,3.21180556e-04
2.84,3.21180556e-04
2.85,3.21180556e-04
2.86,3.21180556e-04
2.87,3.21180556e-04
2.88,3.21180556e-04
2.89,3.21180556e-04
2.90,3.21180556e-04
2.91,3.21180556e-04
2.92,3.21180556e-04
2.93,3.21180556e-04
2.94,3.21180556e-04
2.95,3.21180556e-04
2.96,3.21180556e-04
2.97,3.21180556e-04
2.98,3.21180556e-04
2.99,3.21180556e-04
3.00,3.21180556e-04
3.01,3.21180556e-04
3.02,3.21180556e-04
3.03,3.21180556e-04
3.04,3.21180556e-04
3.05,3.21180556e-04
3.06,3.21180556e-04
3.07,3.21180556e-04
3.08,3.21180556e-04
3.09,3.21180556e-04
3.10,3.21180556e-04
3.11,3.21180556e-04
3.12,3.21180556e-04
3.13,3.21180556e-04
3.14,3.21180556e-04
3.15,3.21180556e-04
3.16,3.21180556e-04
3.17,3.21180556e-04
3.18,3.21180556e-04
3.19,3.21180556e-04
3.20,3.21180556e-04
3.21,3.21180556e-04
3.22,3.21180556e-04
3.23,3.21180556e-04
3.24,3.21180556e-04
3.25,3.21180556e-04
3.26,3.21180556e-04
3.27,3.21180556e-04
3.28,3.21180556e-04
3.29,3.21180556e-04
3.30,3.21180556e-04
3.31,3.21180556e-04
3.32,3.21180556e-04
3.33,3.21180556e-04
3.34,3.21180556e-04
3.35,3.21180556e-04
3.36,3.21180556e-04
3.37,3.21180556e-04
3.38,3.21180556e-04
3.39,3.21180556e-04
3.40,3.21180556e-04
3.41,3.21180556e-04
3.42,3.21180556e-04
3.43,3.21180556e-04
3.44,3.21180556e-04
3.45,3.21180556e-04
3.46,3.21180556e-04
3.47,3.21180556e-04
3.48,3.21180556e-04
3.49,3.21180556e-04
3.50,3.21180556e-04
3.51,3.21180556e-04
3.52,3.21180556e-04
3.53,3.21180556e-04
3.54,3.21180556e-04
3.55,3.21180556e-04
3.56,3.21180556e-04
3.57,3.21180556e-04
3.58,3.21180556e-04
3.59,3.21180556e-04
3.60,3.21180556e-04
3.61,3.21180556e-04
3.62,3.21180556e-04
3.63,3.21180556e-04
3.64,3.21180556e-04
3.65,3.21180556e-04
3.66,3.21180556e-04
3.67,3.21180556e-04
3.68,3.21180556e-04
3.69,3.21180556e-04
3.70,3.21180556e-04
3.71,3.21180556e-04
3.72,3.21180556e-04
3.73,3.21180556e-04
3.74,3.21180556e-04
3.75,3.21180556e-04
3.76,3.21180556e-04
3.77,3.21180556e-04
3.78,3.21180556e-04
3.79,3.21180556e-04
3.80,3.21180556e-04
3.81,3.21180556e-04
3.82,3.21180556e-04
3.83,3.21180556e-04
3.84,3.21180556e-04
3.85,3.21180556e-04
3.86,3.21180556e-04
3.87,3.21180556e-04
3.88,3.21180556e-04
3.89,3.21180556e-04
3.90,3.21180556e-04
3.91,3.21180556e-04
3.92,3.21180556e-04
3.93,3.21180556e-04
3.94,3.21180556e-04
3.95,3.21180556e-04
3.96,3.21180556e-04
3.97,3.21180556e-04
3.98,3.21180556e-04
3.99,3.21180556e-04
4.00,3.21180556e-04
4.01,3.21180556e-04
4.02,3.21180556e-04
4.03,3.21180556e-04
4.04,3.21180556e-04
4.05,3.21180556e-04
4.06,3.21180556e-04
4.07,3.21180556e-04
4.08,3.21180556e-04
4.09,3.21180556e-04
4.10,3.21180556e-04
4.11,3.21180556e-04
4.12,3.21180556e-04
4.13,3.21180556e-04
4.14,3.21180556e-04
4.15,3.21180556e-04
4.16,3.21180556e-04
4.17,3.21180556e-04
4.18,3.21180556e-04
4.19,3.21180556e-04
4.20,3.21180556e-04
4.21,3.21180556e-04
4.22,3.21180556e-04
4.23,3.21180556e-04
4.24,3.21180556e-04
4.25,3.21180556e-04
4.26,3.21180556e-04
4.27,3.21180556e-04
4.28,3.21180556e-04
4.29,3.21180556e-04
4.30,3.21180556e-04
4.31,3.21180556e-04
4.32,3.21180556e-04
4.33,3.21180556e-04
4.34,3.21180556e-04
4.35,3.21180556e-04
4.36,3.21180556e-04
4.37,3.21180556e-04
4.38,3.21180556e-04
4.39,3.21180556e-04
4.40,3.21180556e-04
4.41,3.21180556e-04
4.42,3.21180556e-04
4.43,3.21180556e-04
4.44,3.21180556e-04
4.45,3.21180556e-04
4.46,3.21180556e-04
4.47,3.21180556e-04
4.48,3.21180556e-04
4.49,3.21180556e-04
4.50,3.21180556e-04
4.51,3.21180556e-04
4.52,3.21180556e-04
4.53,3.21180556e-04
4.54,3.21180556e-04
4.55,3.21180556e-04
4.56,3.21180556e-04
4.57,3.21180556e-04
4.58,3.21180556e-04
4.59,3.21180556e-04
4.60,3.21180556e-04
4.61,3.21180556e-04
4.62,3.21180556e-04
4.63,3.21180556e-04
4.64,3.21180556e-04
4.65,3.21180556e-04
4.66,3.21180556e-04
4.67,3.21180556e-04
4.68,3.21180556e-04
4.69,3.21180556e-04
4.70,3.21180556e-04
4.71,3.21180556e-04
4.72,3.21180556e-04
4.73,3.21180556e-04
4.74,3.21180556e-04
4.75,3.21180556e-04
4.76,3.21180556e-04
4.77,3.21180556e-04
4.78,3.21180556e-04
4.79,3.21180556e-04
4.80,3.21180556e-04
4.81,3.21180556e-04
4.82,3.21180556e-04
4.83,3.21180556e-04
4.84,3.21180556e-04
4.85,3.21180556e-04
4.86,3.21180556e-04
4.87,3.21180556e-04
4.88,3.21180556e-04
4.89,3.21180556e-04
4.90,3.21180556e-04
4.91,3.21180556e-04
4.92,3.21180556e-04
4.93,3.21180556e-04
4.94,3.21180556e-04
4.95,3.21180556e-04
4.96,3.21180556e-04
4.97,3.21180556e-04
4.98,3.21180556e-04
4.99,3.21180556e-04
5.00,3.21180556e-04
5.01,3.21180556e-04
5.02,3.21180556e-04
5.03,3.21180556e-04
5.04,3.21180556e-04
5.05,3.21180556e-04
5.06,3.21180556e-04
5.07,3.21180556e-04
5.08,3.21180556e-04
5.09,3.21180556e-04
5.10,3.21180556e-04
5.11,3.21180556e-04
5.12,3.21180556e-04
5.13,3.21180556e-04
5.14,3.21180556e-04
5.15,3.21180556e-04
5.16,3.21180556e-04
5.17,3.21180556e-04
5.18,3.21180556e-04
5.19,3.21180556e-04
5.20,3.21180556e-04
5.21,3.21180556e-04
5.22,3.21180556e-04
5.23,3.21180556e-04
5.24,3.21180556e-04
5.25,3.21180556e-04
5.26,3.21180556e-04
5.27,3.21180556e-04
5.28,3.21180556e-04
5.29,3.21180556e-04
5.30,3.21180556e-04
5.31,3.21180556e-04
5.32,3.21180556e-04
5.33,3.21180556e-04
5.34,3.21180556e-04
5.35,3.21180556e-04
5.36,3.21180556e-04
5.37,3.21180556e-04
5.38,3.21180556e-04
5.39,3.21180556e-04
5.40,3.21180556e-04
5.41,3.21180556e-04
5.42,3.21180556e-04
5.43,3.21180556e-04
5.44,3.21180556e-04
5.45,3.21180556e-04
5.46,3.21180556e-04
5.47,3.21180556e-04
5.48,3.21180556e-04
5.49,3.21180556e-04
5.50,3.21180556e-04
5.51,3.21180556e-04
5.52,3.21180556e-04
5.53,3.21180556e-04
5.54,3.21180556e-04
5.55,3.21180556e-04
5.56,3.21180556e-04
5.57,3.21180556e-04
5.58,3.21180556e-04
5.59,3.21180556e-04
5.60,3.21180556e-04
5.61,3.21180556e-04
5.62,3.21180556e-04
5.63,3.21180556e-04
5.64,3.21180556e-04
5.65,3.21180556e-04
5.66,3.21180556e-04
5.67,3.21180556e-04
5.68,3.21180556e-04
5.69,3.21180556e-04
5.70,3.21180556e-04
5.71,3.21180556e-04
5.72,3.21180556e-04
5.73,3.21180556e-04
5.74,3.21180556e-04
5.75,3.21180556e-04
5.76,3.21180556e-04
5.77,3.21180556e-04
5.78,3.21180556e-04
5.79,3.21180556e-04
5.80,3.21180556e-04
5.81,3.21180556e-04
5.82,3.21180556e-04
5.83,3.21180556e-04
5.84,3.21180556e-04
5.85,3.21180556e-04
5.86,3.21180556e-04
5.87,3.21180556e-04
5.88,3.21180556e-04
5.89,3.21180556e-04
5.90,3.21180556e-04
5.91,3.21180556e-04
5.92,3.21180556e-04
5.93,3.21180556e-04
5.94,3.21180556e-04
5.95,3.21180556e-04
5.96,3.21180556e-04
5.97,3.21180556e-04
5.98,3.21180556e-04
5.99,3.21180556e-04
6.00,3.21180556e-04
6.01,3.21180556e-04
6.02,3.21180556e-04
6.03,3.21180556e-04
6.04,3.21180556e-04
6.05,3.21180556e-04
6.06,3.21180556e-04
6.07,3.21180556e-04
6.08,3.21180556e-04
6.09,3.21180556e-04
6.10,3.21180556e-04
6.11,3.21180556e-04
6.12,3.21180556e-04
6.13,3.21180556e-04
6.14,3.21180556e-04
6.15,3.21180556e-04
6.16,3.21180556e-04
6.17,3.21180556e-04
6.18,3.21180556e-04
6.19,3.21180556e-04
6.20,3.21180556e-04
6.21,3.21180556e-04
6.22,3.21180556e-04
6.23,3.21180556e-04
6.24,3.21180556e-04
6.25,3.21180556e-04
6.26,3.21180556e-04
6.27,3.21180556e-04
6.28,3.21180556e-04
6.29,3.21180556e-04
6.30,3.21180556e-04
6.31,3.21180556e-04
6.32,3.21180556e-04
6.33,3.21180556e-04
6.34,3.21180556e-04
6.35,3.21180556e-04
6.36,3.21180556e-04
6.37,3.21180556e-04
6.38,3.21180556e-04
6.39,3.21180556e-04
6.40,3.21180556e-04
6.41,3.21180556e-04
6.42,3.21180556e-04
6.43,3.21180556e-04
6.44,3.21180556e-04
6.45,3.21180556e-04
6.46,3.21180556e-04
6.47,3.21180556e-04
6.48,3.21180556e-04
6.49,3.21180556e-04
6.50,3.21180556e-04
6.51,3.21180556e-04
6.52,3.21180556e-04
6.53,3.21180556e-04
6.54,3.21180556e-04
6.55,3.21180556e-04
6.56,3.21180556e-04
6.57,3.21180556e-04
6.58,3.21180556e-04
6.59,3.21180556e-04
6.60,3.21180556e-04
6.61,3.21180556e-04
6.62,3.21180556e-04
6.63,3.21180556e-04
6.64,3.21180556e-04
6.65,3.21180556e-04
6.66,3.21180556e-04
6.67,3.21180556e-04
6.68,3.21180556e-04
6.69,3.21180556e-04
6.70,3.21180556e-04
6.71,3.21180556e-04
6.72,3.21180556e-04
6.73,3.21180556e-04
6.74,3.21180556e-04
6.75,3.21180556e-04
6.76,3.21180556e-04
6.77,3.21180556e-04
6.78,3.21180556e-04
6.79,3.21180556e-04
6.80,3.21180556e-04
6.81,3.21180556e-04
6.82,3.21180556e-04
6.83,3.21180556e-04
6.84,3.21180556e-04
6.85,3.21180556e-04
6.86,3.21180556e-04
6.87,3.21180556e-04
6.88,3.21180556e-04
6.89,3.21180556e-04
6.90,3.21180556e-04
6.91,3.21180556e-04
6.92,3.21180556e-04
6.93,3.21180556e-04
6.94,3.21180556e-04
6.95,3.21180556e-04
6.96,3.21180556e-04
6.97,3.21180556e-04
6.98,3.21180556e-04
6.99,3.21180556e-04
7.00,3.21180556e-04
7.01,3.21180556e-04
7.02,3.21180556e-04
7.03,3.21180556e-04
7.04,3.21180556e-04
7.05,3.21180556e-04
7.06,3.21180556e-04
7.07,3.21180556e-04
7.08,3.21180556e-04
7.09,3.21180556e-04
7.10,3.21180556e-04
7.11,3.21180556e-04
7.12,3.21180556e-04
7.13,3.21180556e-04
7.14,3.21180556e-04
7.15,3.21180556e-04
7.16,3.21180556e-04
7.17,3.21180556e-04
7.18,3.21180556e-04
7.19,3.21180556e-04
7.20,3.21180556e-04
7.21,3.21180556e-04
7.22,3.21180556e-04
7.23,3.21180556e-04
7.24,3.21180556e-04
7.25,3.21180556e-04
7.26,3.21180556e-04
7.27,3.21180556e-04
7.28,3.21180556e-04
7.29,3.21180556e-04
7.30,3.21180556e-04
7.31,3.21180556e-04
7.32,3.21180556e-04
7.33,3.21180556e-04
7.34,3.21180556e-04
7.35,3.21180556e-04
7.36,3.21180556e-04
7.37,3.21180556e-04
7.38,3.21180556e-04
7.39,3.21180556e-04
7.40,3.21180556e-04
7.41,3.21180556e-04
7.42,3.21180556e-04
7.43,3.21180556e-04
7.44,3.21180556e-04
7.45,3.21180556e-04
7.46,3.21180556e-04
7.47,3.21180556e-04
7.48,3.21180556e-04
7.49,3.21180556e-04
7.50,3.21180556e-04
7.51,3.21180556e-04
7.52,3.21180556e-04
7.53,3.21180556e-04
7.54,3.21180556e-04
7.55,3.21180556e-04
7.56,3.21180556e-04
7.57,3.21180556e-04
7.58,3.21180556e-04
7.59,3.21180556e-04
7.60,3.21180556e-04
7.61,3.21180556e-04
7.62,3.21180556e-04
7.63,3.21180556e-04
7.64,3.21180556e-04
7.65,3.21180556e-04
7.66,3.21180556e-04
7.67,3.21180556e-04
7.68,3.21180556e-04
7.69,3.21180556e-04
7.70,3.21180556e-04
7.71,3.21180556e-04
7.72,3.21180556e-04
7.73,3.21180556e-04
7.74,3.21180556e-04
7.75,3.21180556e-04
7.76,3.21180556e-04
7.77,3.21180556e-04
7.78,3.21180556e-04
7.79,3.21180556e-04
7.80,3.21180556e-04
7.81,3.21180556e-04
7.82,3.21180556e-04
7.83,3.21180556e-04
7.84,3.21180556e-04
7.85,3.21180556e-04
7.86,3.21180556e-04
7.87,3.21180556e-04
7.88,3.21180556e-04
7.89,3.21180556e-04
7.90,3.21180556e-04
7.91,3.21180556e-04
7.92,3.21180556e-04
7.93,3.21180556e-04
7.94,3.21180556e-04
7.95,3.21180556e-04
7.96,3.21180556e-04
7.97,3.21180556e-04
7.98,3.21180556e-04
7.99,3.21180556e-04
8.00,3.21180556e-04
8.01,3.21180556e-04
8.02,3.21180556e-04
8.03,3.21180556e-04
8.04,3.21180556e-04
