Angle(deg),Theoretical_BER
0.00,1.87500000e+23
0.01,6.15526234e+00
0.02,1.53881591e+00
0.03,6.83918427e-01
0.04,3.84704307e-01
0.05,2.46210914e-01
0.06,1.70979935e-01
0.07,1.25618027e-01
0.08,9.61764048e-02
0.09,7.59913252e-02
0.10,6.15530566e-02
0.11,5.08703706e-02
0.12,4.27453119e-02
0.13,3.64221056e-02
0.14,3.14048350e-02
0.15,2.73571571e-02
0.16,2.40444293e-02
0.17,2.12989216e-02
0.18,1.89981594e-02
0.19,1.70510245e-02
0.20,1.53885923e-02
0.21,1.39579475e-02
0.22,1.27179208e-02
0.23,1.16360933e-02
0.24,1.06866561e-02
0.25,9.84885657e-03
0.26,9.10585454e-03
0.27,8.44386949e-03
0.28,7.85153689e-03
0.29,7.31941720e-03
0.30,6.83961742e-03
0.31,6.40549674e-03
0.32,6.01143548e-03
0.33,5.65265232e-03
0.34,5.32505856e-03
0.35,5.02514113e-03
0.36,4.74986802e-03
0.37,4.49661132e-03
0.38,4.26308429e-03
0.39,4.04728955e-03
0.40,3.84747624e-03
0.41,3.66210436e-03
0.42,3.48981505e-03
0.43,3.32940559e-03
0.44,3.17980838e-03
0.45,3.04007307e-03
0.46,2.90935151e-03
0.47,2.78688478e-03
0.48,2.67199221e-03
0.49,2.56406185e-03
0.50,2.46254233e-03
0.51,2.36693581e-03
0.52,2.27679183e-03
0.53,2.19170205e-03
0.54,2.11129558e-03
0.55,2.03523491e-03
0.56,1.96321243e-03
0.57,1.89494726e-03
0.58,1.83018252e-03
0.59,1.76868291e-03
0.60,1.71023258e-03
0.61,1.65463323e-03
0.62,1.60170242e-03
0.63,1.55127206e-03
0.64,1.50318711e-03
0.65,1.45730435e-03
0.66,1.41349132e-03
0.67,1.37162540e-03
0.68,1.33159289e-03
0.69,1.29328828e-03
0.70,1.25661354e-03
0.71,1.22147750e-03
0.72,1.18779527e-03
0.73,1.15548774e-03
0.74,1.12448110e-03
0.75,1.09470645e-03
0.76,1.06609935e-03
0.77,1.03859957e-03
0.78,1.01215068e-03
0.79,9.86699803e-04
0.80,9.62197358e-04
0.81,9.38596798e-04
0.82,9.15854397e-04
0.83,8.93929049e-04
0.84,8.72782079e-04
0.85,8.52377073e-04
0.86,8.32679724e-04
0.87,8.13657683e-04
0.88,7.95280429e-04
0.89,7.77519147e-04
0.90,7.60346612e-04
0.91,7.43737088e-04
0.92,7.27666231e-04
0.93,7.12110997e-04
0.94,6.97049561e-04
0.95,6.82461241e-04
0.96,6.68326429e-04
0.97,6.54626518e-04
0.98,6.41343849e-04
0.99,6.28461649e-04
1.00,6.15963980e-04
1.01,6.03835688e-04
1.02,5.92062360e-04
1.03,5.80630276e-04
1.04,5.69526377e-04
1.05,5.58738219e-04
1.06,5.48253944e-04
1.07,5.38062245e-04
1.08,5.28152336e-04
1.09,5.18513924e-04
1.10,5.09137182e-04
1.11,5.00012721e-04
1.12,4.91131574e-04
1.13,4.82485165e-04
1.14,4.74065293e-04
1.15,4.65864114e-04
1.16,4.57874119e-04
1.17,4.50088120e-04
1.18,4.42499230e-04
1.19,4.35100851e-04
1.20,4.27886661e-04
1.21,4.20850594e-04
1.22,4.13986836e-04
1.23,4.07289806e-04
1.24,4.00754146e-04
1.25,3.94374715e-04
1.26,3.88146571e-04
1.27,3.82064969e-04
1.28,3.76125347e-04
1.29,3.70323320e-04
1.30,3.64654670e-04
1.31,3.59115342e-04
1.32,3.53701429e-04
1.33,3.48409176e-04
1.34,3.43234963e-04
1.35,3.38175307e-04
1.36,3.33226850e-04
1.37,3.28386358e-04
1.38,3.23650712e-04
1.39,3.19016907e-04
