Angle(deg),Theoretical_BER
0.00,5.79032187e-04
0.01,5.79032187e-04
0.02,5.79032187e-04
0.03,5.79032187e-04
0.04,5.79032187e-04
0.05,5.79032187e-04
0.06,5.79032187e-04
0.07,5.79032187e-04
0.08,5.79032187e-04
0.09,5.79032187e-04
0.10,5.79032187e-04
0.11,5.79032187e-04
0.12,5.79032187e-04
0.13,5.79032187e-04
0.14,5.79032187e-04
0.15,5.79032187e-04
0.16,5.79032187e-04
0.17,5.79032187e-04
0.18,5.79032187e-04
0.19,5.79032187e-04
0.20,5.79032187e-04
0.21,5.79032187e-04
0.22,5.79032187e-04
0.23,5.79032187e-04
0.24,5.79032187e-04
0.25,5.79032187e-04
0.26,5.79032187e-04
0.27,5.79032187e-04
0.28,5.79032187e-04
0.29,5.79032187e-04
0.30,5.79032187e-04
0.31,5.79032187e-04
0.32,5.79032187e-04
0.33,5.79032187e-04
0.34,5.79032187e-04
0.35,5.79032187e-04
0.36,5.79032187e-04
0.37,5.79032187e-04
0.38,5.79032187e-04
0.39,5.79032187e-04
0.40,5.79032187e-04
0.41,5.79032187e-04
0.42,5.79032187e-04
0.43,5.79032187e-04
0.44,5.79032187e-04
0.45,5.79032187e-04
0.46,5.79032187e-04
0.47,5.79032187e-04
0.48,5.79032187e-04
0.49,5.79032187e-04
0.50,5.79032187e-04
0.51,5.79032187e-04
0.52,5.79032187e-04
0.53,5.79032187e-04
0.54,5.79032187e-04
0.55,5.79032187e-04
0.56,5.79032187e-04
0.57,5.79032187e-04
0.58,5.79032187e-04
0.59,5.79032187e-04
0.60,5.79032187e-04
0.61,5.79032187e-04
0.62,5.79032187e-04
0.63,5.79032187e-04
0.64,5.79032187e-04
0.65,5.79032187e-04
0.66,5.79032187e-04
0.67,5.79032187e-04
0.68,5.79032187e-04
0.69,5.79032187e-04
0.70,5.79032187e-04
0.71,5.79032187e-04
0.72,5.79032187e-04
0.73,5.79032187e-04
0.74,5.79032187e-04
0.75,5.79032187e-04
0.76,5.79032187e-04
0.77,5.79032187e-04
0.78,5.79032187e-04
0.79,5.79032187e-04
0.80,5.79032187e-04
0.81,5.79032187e-04
0.82,5.79032187e-04
0.83,5.79032187e-04
0.84,5.79032187e-04
0.85,5.79032187e-04
0.86,5.79032187e-04
0.87,5.79032187e-04
0.88,5.79032187e-04
0.89,5.79032187e-04
0.90,5.79032187e-04
0.91,5.79032187e-04
0.92,5.79032187e-04
0.93,5.79032187e-04
0.94,5.79032187e-04
0.95,5.79032187e-04
0.96,5.79032187e-04
0.97,5.79032187e-04
0.98,5.79032187e-04
0.99,5.79032187e-04
1.00,5.79032187e-04
1.01,5.79032187e-04
1.02,5.79032187e-04
1.03,5.79032187e-04
1.04,5.79032187e-04
1.05,5.79032187e-04
1.06,5.79032187e-04
1.07,5.79032187e-04
1.08,5.79032187e-04
1.09,5.79032187e-04
1.10,5.79032187e-04
1.11,5.79032187e-04
1.12,5.79032187e-04
1.13,5.79032187e-04
1.14,5.79032187e-04
1.15,5.79032187e-04
1.16,5.79032187e-04
1.17,5.79032187e-04
1.18,5.79032187e-04
1.19,5.79032187e-04
1.20,5.79032187e-04
1.21,5.79032187e-04
1.22,5.79032187e-04
1.23,5.79032187e-04
1.24,5.79032187e-04
1.25,5.79032187e-04
1.26,5.79032187e-04
1.27,5.79032187e-04
1.28,5.79032187e-04
1.29,5.79032187e-04
1.30,5.79032187e-04
1.31,5.79032187e-04
1.32,5.79032187e-04
1.33,5.79032187e-04
1.34,5.79032187e-04
1.35,5.79032187e-04
1.36,5.79032187e-04
1.37,5.79032187e-04
1.38,5.79032187e-04
1.39,5.79032187e-04
1.40,5.79032187e-04
1.41,5.79032187e-04
1.42,5.79032187e-04
1.43,5.79032187e-04
1.44,5.79032187e-04
1.45,5.79032187e-04
1.46,5.79032187e-04
1.47,5.79032187e-04
1.48,5.79032187e-04
1.49,5.79032187e-04
1.50,5.79032187e-04
1.51,5.79032187e-04
1.52,5.79032187e-04
1.53,5.79032187e-04
1.54,5.79032187e-04
1.55,5.79032187e-04
1.56,5.79032187e-04
1.57,5.79032187e-04
1.58,5.79032187e-04
