Angle(deg),BER_Bound_Eq70
0.00,1.00000000e+30
0.01,1.00000000e+30
0.02,1.00000000e+30
0.03,1.00000000e+30
0.04,1.00000000e+30
0.05,1.00000000e+30
0.06,1.00000000e+30
0.07,1.00000000e+30
0.08,1.00000000e+30
0.09,1.00000000e+30
0.10,1.00000000e+30
0.11,1.00000000e+30
0.12,1.00000000e+30
0.13,1.00000000e+30
0.14,1.00000000e+30
0.15,1.00000000e+30
0.16,1.00000000e+30
0.17,1.00000000e+30
0.18,1.00000000e+30
0.19,1.00000000e+30
0.20,1.00000000e+30
0.21,1.00000000e+30
0.22,1.00000000e+30
0.23,9.95855596e+04
0.24,7.71435072e+04
0.25,6.03851805e+04
0.26,4.77236960e+04
0.27,3.80535744e+04
0.28,3.05938324e+04
0.29,2.47855328e+04
0.30,2.02238129e+04
0.31,1.66121128e+04
0.32,1.37309244e+04
0.33,1.14161789e+04
0.34,9.54411814e+03
0.35,8.02058586e+03
0.36,6.77336608e+03
0.37,5.74664738e+03
0.38,4.89698529e+03
0.39,4.19033137e+03
0.40,3.59982873e+03
0.41,3.10416336e+03
0.42,2.68632178e+03
0.43,2.33264825e+03
0.44,2.03212438e+03
0.45,1.77581518e+03
0.46,1.55644044e+03
0.47,1.36804108e+03
0.48,1.20571816e+03
0.49,1.06542732e+03
0.50,9.43816377e+02
0.51,8.38096160e+02
0.52,7.45937366e+02
0.53,6.65387853e+02
0.54,5.94805990e+02
0.55,5.32806736e+02
0.56,4.78217844e+02
0.57,4.30044151e+02
0.58,3.87438347e+02
0.59,3.49676965e+02
0.60,3.16140594e+02
0.61,2.86297513e+02
0.62,2.59690110e+02
0.63,2.35923584e+02
0.64,2.14656509e+02
0.65,1.95592934e+02
0.66,1.78475754e+02
0.67,1.63081128e+02
0.68,1.49213760e+02
0.69,1.36702916e+02
0.70,1.25399036e+02
0.71,1.15170859e+02
0.72,1.05902965e+02
0.73,9.74936851e+01
0.74,8.98532974e+01
0.75,8.29024933e+01
0.76,7.65710491e+01
0.77,7.07966849e+01
0.78,6.55240786e+01
0.79,6.07040127e+01
0.80,5.62926351e+01
0.81,5.22508168e+01
0.82,4.85435935e+01
0.83,4.51396789e+01
0.84,4.20110397e+01
0.85,3.91325241e+01
0.86,3.64815365e+01
0.87,3.40377520e+01
0.88,3.17828656e+01
0.89,2.97003719e+01
0.90,2.77753702e+01
0.91,2.59943934e+01
0.92,2.43452562e+01
0.93,2.28169209e+01
0.94,2.13993787e+01
0.95,2.00835441e+01
0.96,1.88611614e+01
0.97,1.77247211e+01
0.98,1.66673859e+01
0.99,1.56829244e+01
1.00,1.47656520e+01
1.01,1.39103784e+01
1.02,1.31123597e+01
1.03,1.23672568e+01
1.04,1.16710969e+01
1.05,1.10202398e+01
1.06,1.04113469e+01
1.07,9.84135400e+00
1.08,9.30744634e+00
1.09,8.80703622e+00
1.10,8.33774287e+00
1.11,7.89737420e+00
1.12,7.48391034e+00
1.13,7.09548875e+00
1.14,6.73039070e+00
1.15,6.38702904e+00
1.16,6.06393710e+00
1.17,5.75975865e+00
1.18,5.47323868e+00
1.19,5.20321509e+00
1.20,4.94861115e+00
1.21,4.70842855e+00
1.22,4.48174109e+00
1.23,4.26768899e+00
1.24,4.06547360e+00
1.25,3.87435262e+00
1.26,3.69363572e+00
1.27,3.52268050e+00
1.28,3.36088889e+00
1.29,3.20770369e+00
1.30,3.06260555e+00
1.31,2.92511012e+00
1.32,2.79476544e+00
1.33,2.67114955e+00
1.34,2.55386831e+00
1.35,2.44255335e+00
1.36,2.33686025e+00
1.37,2.23646677e+00
1.38,2.14107134e+00
1.39,2.05039153e+00
1.40,1.96416276e+00
1.41,1.88213702e+00
1.42,1.80408176e+00
1.43,1.72977878e+00
1.44,1.65902330e+00
1.45,1.59162303e+00
1.46,1.52739732e+00
1.47,1.46617639e+00
1.48,1.40780061e+00
1.49,1.35211984e+00
1.50,1.29899277e+00
1.51,1.24828640e+00
1.52,1.19987545e+00
1.53,1.15364191e+00
1.54,1.10947454e+00
1.55,1.06726845e+00
1.56,1.02692471e+00
1.57,9.88349979e-01
1.58,9.51456125e-01
1.59,9.16159941e-01
1.60,8.82382822e-01
1.61,8.50050488e-01
1.62,8.19092721e-01
1.63,7.89443120e-01
1.64,7.61038870e-01
1.65,7.33820531e-01
1.66,7.07731836e-01
1.67,6.82719503e-01
1.68,6.58733064e-01
1.69,6.35724694e-01
1.70,6.13649064e-01
1.71,5.92463197e-01
1.72,5.72126328e-01
1.73,5.52599785e-01
1.74,5.33846863e-01
1.75,5.15832720e-01
1.76,4.98524269e-01
1.77,4.81890081e-01
1.78,4.65900293e-01
1.79,4.50526523e-01
1.80,4.35741786e-01
1.81,4.21520423e-01
1.82,4.07838023e-01
1.83,3.94671359e-01
1.84,3.81998326e-01
1.85,3.69797878e-01
1.86,3.58049974e-01
1.87,3.46735523e-01
1.88,3.35836338e-01
1.89,3.25335084e-01
1.90,3.15215237e-01
1.91,3.05461040e-01
1.92,2.96057466e-01
1.93,2.86990179e-01
1.94,2.78245499e-01
1.95,2.69810369e-01
1.96,2.61672324e-01
1.97,2.53819461e-01
1.98,2.46240410e-01
1.99,2.38924310e-01
2.00,2.31860781e-01
2.01,2.25039904e-01
2.02,2.18452193e-01
2.03,2.12088579e-01
2.04,2.05940390e-01
2.05,1.99999325e-01
2.06,1.94257447e-01
2.07,1.88707154e-01
2.08,1.83341173e-01
2.09,1.78152538e-01
2.10,1.73134579e-01
2.11,1.68280907e-01
2.12,1.63585400e-01
2.13,1.59042193e-01
2.14,1.54645662e-01
2.15,1.50390418e-01
2.16,1.46271293e-01
2.17,1.42283332e-01
2.18,1.38421779e-01
2.19,1.34682073e-01
2.20,1.31059840e-01
2.21,1.27550876e-01
2.22,1.24151151e-01
2.23,1.20856793e-01
2.24,1.17664085e-01
2.25,1.14569454e-01
2.26,1.11569472e-01
2.27,1.08660842e-01
2.28,1.05840398e-01
2.29,1.03105094e-01
2.30,1.00452006e-01
2.31,9.78783179e-02
2.32,9.53813252e-02
2.33,9.29584252e-02
2.34,9.06071143e-02
2.35,8.83249839e-02
2.36,8.61097160e-02
2.37,8.39590798e-02
2.38,8.18709279e-02
2.39,7.98431927e-02
2.40,7.78738835e-02
2.41,7.59610830e-02
2.42,7.41029443e-02
2.43,7.22976885e-02
2.44,7.05436013e-02
2.45,6.88390307e-02
2.46,6.71823846e-02
2.47,6.55721282e-02
2.48,6.40067818e-02
2.49,6.24849188e-02
2.50,6.10051630e-02
2.51,5.95661874e-02
2.52,5.81667117e-02
2.53,5.68055007e-02
2.54,5.54813625e-02
2.55,5.41931469e-02
2.56,5.29397435e-02
2.57,5.17200805e-02
2.58,5.05331232e-02
2.59,4.93778724e-02
2.60,4.82533630e-02
2.61,4.71586631e-02
2.62,4.60928721e-02
2.63,4.50551203e-02
2.64,4.40445671e-02
2.65,4.30604002e-02
2.66,4.21018346e-02
2.67,4.11681113e-02
2.68,4.02584968e-02
2.69,3.93722815e-02
2.70,3.85087796e-02
2.71,3.76673277e-02
2.72,3.68472841e-02
2.73,3.60480280e-02
2.74,3.52689589e-02
2.75,3.45094957e-02
2.76,3.37690761e-02
2.77,3.30471557e-02
2.78,3.23432079e-02
2.79,3.16567225e-02
2.80,3.09872060e-02
2.81,3.03341801e-02
2.82,2.96971819e-02
2.83,2.90757630e-02
2.84,2.84694891e-02
2.85,2.78779394e-02
2.86,2.73007062e-02
2.87,2.67373946e-02
2.88,2.61876219e-02
2.89,2.56510171e-02
2.90,2.51272205e-02
2.91,2.46158838e-02
2.92,2.41166689e-02
2.93,2.36292483e-02
2.94,2.31533043e-02
2.95,2.26885288e-02
2.96,2.22346229e-02
2.97,2.17912969e-02
2.98,2.13582696e-02
2.99,2.09352682e-02
3.00,2.05220279e-02
3.01,2.01182920e-02
3.02,1.97238113e-02
3.03,1.93383437e-02
3.04,1.89616544e-02
3.05,1.85935156e-02
3.06,1.82337058e-02
3.07,1.78820102e-02
3.08,1.75382201e-02
3.09,1.72021328e-02
3.10,1.68735515e-02
3.11,1.65522851e-02
3.12,1.62381478e-02
3.13,1.59309592e-02
3.14,1.56305440e-02
3.15,1.53367319e-02
3.16,1.50493573e-02
3.17,1.47682593e-02
3.18,1.44932817e-02
3.19,1.42242723e-02
3.20,1.39610835e-02
3.21,1.37035715e-02
3.22,1.34515968e-02
3.23,1.32050235e-02
3.24,1.29637195e-02
3.25,1.27275564e-02
3.26,1.24964093e-02
3.27,1.22701565e-02
3.28,1.20486799e-02
3.29,1.18318645e-02
3.30,1.16195984e-02
3.31,1.14117725e-02
3.32,1.12082811e-02
3.33,1.10090210e-02
3.34,1.08138917e-02
3.35,1.06227955e-02
3.36,1.04356375e-02
3.37,1.02523249e-02
3.38,1.00727676e-02
3.39,9.89687790e-03
3.40,9.72457025e-03
3.41,9.55576143e-03
3.42,9.39037038e-03
3.43,9.22831814e-03
3.44,9.06952779e-03
3.45,8.91392443e-03
3.46,8.76143506e-03
3.47,8.61198856e-03
3.48,8.46551564e-03
3.49,8.32194880e-03
3.50,8.18122222e-03
3.51,8.04327180e-03
3.52,7.90803501e-03
3.53,7.77545096e-03
3.54,7.64546025e-03
3.55,7.51800499e-03
3.56,7.39302873e-03
3.57,7.27047646e-03
3.58,7.15029452e-03
3.59,7.03243056e-03
3.60,6.91683358e-03
3.61,6.80345380e-03
3.62,6.69224268e-03
