Angle(deg),BER_Bound_Eq70
3.63,6.58315288e-03
3.64,6.47613820e-03
3.65,6.37115360e-03
3.66,6.26815511e-03
3.67,6.16709985e-03
3.68,6.06794596e-03
3.69,5.97065261e-03
3.70,5.87517995e-03
3.71,5.78148907e-03
3.72,5.68954203e-03
3.73,5.59930176e-03
3.74,5.51073210e-03
3.75,5.42379774e-03
3.76,5.33846422e-03
3.77,5.25469786e-03
3.78,5.17246583e-03
3.79,5.09173603e-03
3.80,5.01247713e-03
3.81,4.93465853e-03
3.82,4.85825035e-03
3.83,4.78322341e-03
3.84,4.70954918e-03
3.85,4.63719983e-03
3.86,4.56614816e-03
3.87,4.49636757e-03
3.88,4.42783212e-03
3.89,4.36051643e-03
3.90,4.29439571e-03
3.91,4.22944574e-03
3.92,4.16564285e-03
3.93,4.10296390e-03
3.94,4.04138628e-03
3.95,3.98088790e-03
3.96,3.92144716e-03
3.97,3.86304293e-03
3.98,3.80565458e-03
3.99,3.74926193e-03
4.00,3.69384524e-03
4.01,3.63938524e-03
4.02,3.58586305e-03
4.03,3.53326023e-03
4.04,3.48155874e-03
4.05,3.43074095e-03
4.06,3.38078960e-03
4.07,3.33168782e-03
4.08,3.28341911e-03
4.09,3.23596732e-03
4.10,3.18931666e-03
4.11,3.14345168e-03
4.12,3.09835727e-03
4.13,3.05401863e-03
4.14,3.01042130e-03
4.15,2.96755113e-03
4.16,2.92539425e-03
4.17,2.88393710e-03
4.18,2.84316643e-03
4.19,2.80306925e-03
4.20,2.76363284e-03
4.21,2.72484477e-03
4.22,2.68669285e-03
4.23,2.64916518e-03
4.24,2.61225008e-03
4.25,2.57593612e-03
4.26,2.54021213e-03
4.27,2.50506715e-03
4.28,2.47049046e-03
4.29,2.43647156e-03
4.30,2.40300016e-03
4.31,2.37006621e-03
4.32,2.33765985e-03
4.33,2.30577140e-03
4.34,2.27439142e-03
4.35,2.24351065e-03
4.36,2.21312000e-03
4.37,2.18321059e-03
4.38,2.15377372e-03
4.39,2.12480084e-03
4.40,2.09628360e-03
4.41,2.06821382e-03
4.42,2.04058347e-03
4.43,2.01338468e-03
4.44,1.98660977e-03
4.45,1.96025117e-03
4.46,1.93430149e-03
4.47,1.90875347e-03
4.48,1.88360002e-03
4.49,1.85883417e-03
4.50,1.83444909e-03
4.51,1.81043810e-03
4.52,1.78679462e-03
4.53,1.76351224e-03
4.54,1.74058465e-03
4.55,1.71800567e-03
4.56,1.69576925e-03
4.57,1.67386943e-03
4.58,1.65230040e-03
4.59,1.63105645e-03
4.60,1.61013197e-03
4.61,1.58952148e-03
4.62,1.56921958e-03
4.63,1.54922100e-03
4.64,1.52952056e-03
4.65,1.51011317e-03
4.66,1.49099385e-03
4.67,1.47215772e-03
4.68,1.45359998e-03
4.69,1.43531592e-03
4.70,1.41730093e-03
4.71,1.39955048e-03
4.72,1.38206014e-03
4.73,1.36482554e-03
4.74,1.34784241e-03
4.75,1.33110655e-03
4.76,1.31461385e-03
4.77,1.29836027e-03
4.78,1.28234185e-03
4.79,1.26655469e-03
4.80,1.25099498e-03
4.81,1.23565896e-03
4.82,1.22054297e-03
4.83,1.20564340e-03
4.84,1.19095669e-03
4.85,1.17647938e-03
4.86,1.16220804e-03
4.87,1.14813933e-03
4.88,1.13426996e-03
4.89,1.12059670e-03
4.90,1.10711637e-03
4.91,1.09382587e-03
4.92,1.08072214e-03
4.93,1.06780217e-03
4.94,1.05506301e-03
4.95,1.04250179e-03
4.96,1.03011564e-03
4.97,1.01790178e-03
4.98,1.00585748e-03
4.99,9.93980027e-04
5.00,9.82266793e-04
5.01,9.70715175e-04
5.02,9.59322623e-04
5.03,9.48086633e-04
5.04,9.37004744e-04
5.05,9.26074537e-04
5.06,9.15293638e-04
5.07,9.04659714e-04
5.08,8.94170473e-04
5.09,8.83823664e-04
5.10,8.73617073e-04
5.11,8.63548528e-04
5.12,8.53615892e-04
5.13,8.43817066e-04
5.14,8.34149989e-04
5.15,8.24612634e-04
5.16,8.15203010e-04
5.17,8.05919159e-04
5.18,7.96759158e-04
5.19,7.87721117e-04
5.20,7.78803178e-04
5.21,7.70003515e-04
5.22,7.61320334e-04
5.23,7.52751870e-04
5.24,7.44296390e-04
5.25,7.35952188e-04
5.26,7.27717589e-04
5.27,7.19590946e-04
5.28,7.11570639e-04
5.29,7.03655077e-04
5.30,6.95842694e-04
5.31,6.88131950e-04
5.32,6.80521334e-04
5.33,6.73009356e-04
5.34,6.65594555e-04
5.35,6.58275491e-04
5.36,6.51050751e-04
5.37,6.43918942e-04
5.38,6.36878697e-04
5.39,6.29928671e-04
5.40,6.23067541e-04
5.41,6.16294004e-04
5.42,6.09606782e-04
5.43,6.03004616e-04
5.44,5.96486267e-04
5.45,5.90050518e-04
5.46,5.83696170e-04
5.47,5.77422046e-04
5.48,5.71226985e-04
5.49,5.65109848e-04
5.50,5.59069513e-04
5.51,5.53104876e-04
5.52,5.47214850e-04
5.53,5.41398369e-04
5.54,5.35654380e-04
5.55,5.29981850e-04
5.56,5.24379761e-04
5.57,5.18847111e-04
5.58,5.13382915e-04
5.59,5.07986204e-04
5.60,5.02656024e-04
5.61,4.97391435e-04
5.62,4.92191514e-04
5.63,4.87055350e-04
5.64,4.81982050e-04
5.65,4.76970733e-04
5.66,4.72020530e-04
5.67,4.67130590e-04
5.68,4.62300072e-04
5.69,4.57528149e-04
5.70,4.52814007e-04
5.71,4.48156847e-04
5.72,4.43555878e-04
5.73,4.39010324e-04
5.74,4.34519422e-04
5.75,4.30082419e-04
5.76,4.25698574e-04
5.77,4.21367159e-04
5.78,4.17087454e-04
5.79,4.12858753e-04
5.80,4.08680360e-04
5.81,4.04551590e-04
5.82,4.00471768e-04
5.83,3.96440229e-04
5.84,3.92456319e-04
5.85,3.88519393e-04
5.86,3.84628817e-04
5.87,3.80783966e-04
5.88,3.76984224e-04
5.89,3.73228986e-04
5.90,3.69517654e-04
5.91,3.65849641e-04
5.92,3.62224367e-04
5.93,3.58641262e-04
5.94,3.55099764e-04
5.95,3.51599320e-04
5.96,3.48139384e-04
5.97,3.44719420e-04
5.98,3.41338899e-04
5.99,3.37997300e-04
6.00,3.34694109e-04
6.01,3.31428820e-04
6.02,3.28200936e-04
6.03,3.25009966e-04
6.04,3.21855426e-04
6.05,3.18736839e-04
6.06,3.15653737e-04
6.07,3.12605656e-04
6.08,3.09592141e-04
6.09,3.06612743e-04
6.10,3.03667019e-04
6.11,3.00754534e-04
6.12,2.97874857e-04
6.13,2.95027565e-04
6.14,2.92212241e-04
6.15,2.89428474e-04
6.16,2.86675858e-04
6.17,2.83953994e-04
6.18,2.81262488e-04
6.19,2.78600953e-04
6.20,2.75969006e-04
6.21,2.73366269e-04
6.22,2.70792372e-04
6.23,2.68246949e-04
6.24,2.65729638e-04
6.25,2.63240084e-04
6.26,2.60777935e-04
6.27,2.58342847e-04
6.28,2.55934478e-04
6.29,2.53552492e-04
6.30,2.51196559e-04
6.31,2.48866351e-04
6.32,2.46561547e-04
6.33,2.44281829e-04
6.34,2.42026885e-04
6.35,2.39796405e-04
6.36,2.37590086e-04
6.37,2.35407627e-04
6.38,2.33248734e-04
6.39,2.31113113e-04
6.40,2.29000478e-04
6.41,2.26910546e-04
6.42,2.24843035e-04
6.43,2.22797672e-04
6.44,2.20774183e-04
6.45,2.18772301e-04
6.46,2.16791761e-04
6.47,2.14832302e-04
6.48,2.12893667e-04
6.49,2.10975603e-04
6.50,2.09077859e-04
6.51,2.07200188e-04
6.52,2.05342347e-04
6.53,2.03504097e-04
6.54,2.01685199e-04
6.55,1.99885420e-04
6.56,1.98104531e-04
6.57,1.96342303e-04
6.58,1.94598513e-04
6.59,1.92872940e-04
6.60,1.91165364e-04
6.61,1.89475572e-04
6.62,1.87803350e-04
6.63,1.86148489e-04
6.64,1.84510782e-04
6.65,1.82890026e-04
6.66,1.81286020e-04
6.67,1.79698564e-04
6.68,1.78127463e-04
6.69,1.76572524e-04
6.70,1.75033557e-04
6.71,1.73510372e-04
6.72,1.72002785e-04
6.73,1.70510612e-04
6.74,1.69033672e-04
6.75,1.67571788e-04
6.76,1.66124782e-04
6.77,1.64692482e-04
6.78,1.63274717e-04
6.79,1.61871316e-04
6.80,1.60482113e-04
6.81,1.59106943e-04
6.82,1.57745644e-04
6.83,1.56398055e-04
6.84,1.55064018e-04
6.85,1.53743376e-04
6.86,1.52435975e-04
6.87,1.51141664e-04
6.88,1.49860291e-04
6.89,1.48591708e-04
6.90,1.47335768e-04
6.91,1.46092328e-04
6.92,1.44861245e-04
6.93,1.43642377e-04
6.94,1.42435586e-04
6.95,1.41240734e-04
6.96,1.40057685e-04
6.97,1.38886307e-04
6.98,1.37726467e-04
6.99,1.36578034e-04
7.00,1.35440880e-04
7.01,1.34314878e-04
7.02,1.33199901e-04
7.03,1.32095828e-04
7.04,1.31002534e-04
7.05,1.29919900e-04
7.06,1.28847805e-04
7.07,1.27786133e-04
7.08,1.26734767e-04
7.09,1.25693592e-04
7.10,1.24662495e-04
7.11,1.23641364e-04
7.12,1.22630088e-04
7.13,1.21628559e-04
7.14,1.20636668e-04
7.15,1.19654309e-04
7.16,1.18681376e-04
7.17,1.17717767e-04
7.18,1.16763378e-04
7.19,1.15818109e-04
7.20,1.14881859e-04
7.21,1.13954529e-04
7.22,1.13036022e-04
7.23,1.12126242e-04
7.24,1.11225093e-04
7.25,1.10332481e-04
7.26,1.09448315e-04
7.27,1.08572501e-04
7.28,1.07704949e-04
7.29,1.06845570e-04
7.30,1.05994275e-04
7.31,1.05150978e-04
7.32,1.04315592e-04
7.33,1.03488031e-04
7.34,1.02668212e-04
7.35,1.01856051e-04
7.36,1.01051466e-04
7.37,1.00254377e-04
7.38,9.94647027e-05
7.39,9.86823641e-05
7.40,9.79072830e-05
7.41,9.71393822e-05
7.42,9.63785853e-05
7.43,9.56248168e-05
7.44,9.48780021e-05
7.45,9.41380677e-05
7.46,9.34049406e-05
7.47,9.26785491e-05
7.48,9.19588221e-05
7.49,9.12456893e-05
7.50,9.05390813e-05
7.51,8.98389297e-05
7.52,8.91451666e-05
7.53,8.84577252e-05
7.54,8.77765392e-05
7.55,8.71015434e-05
7.56,8.64326730e-05
7.57,8.57698644e-05
7.58,8.51130542e-05
7.59,8.44621804e-05
7.60,8.38171811e-05
7.61,8.31779955e-05
7.62,8.25445635e-05
7.63,8.19168255e-05
7.64,8.12947228e-05
7.65,8.06781972e-05
7.66,8.00671913e-05
7.67,7.94616483e-05
7.68,7.88615122e-05
7.69,7.82667275e-05
7.70,7.76772394e-05
7.71,7.70929936e-05
7.72,7.65139367e-05
7.73,7.59400157e-05
7.74,7.53711783e-05
7.75,7.48073727e-05
7.76,7.42485478e-05
7.77,7.36946531e-05
7.78,7.31456385e-05
7.79,7.26014548e-05
7.80,7.20620529e-05
7.81,7.15273848e-05
7.82,7.09974026e-05
7.83,7.04720591e-05
7.84,6.99513077e-05
7.85,6.94351024e-05
7.86,6.89233974e-05
7.87,6.84161477e-05
7.88,6.79133087e-05
7.89,6.74148363e-05
7.90,6.69206871e-05
7.91,6.64308178e-05
7.92,6.59451860e-05
7.93,6.54637494e-05
7.94,6.49864664e-05
7.95,6.45132959e-05
7.96,6.40441970e-05
7.97,6.35791297e-05
7.98,6.31180539e-05
7.99,6.26609305e-05
8.00,6.22077203e-05
8.01,6.17583849e-05
8.02,6.13128863e-05
8.03,6.08711868e-05
8.04,6.04332491e-05
8.05,5.99990364e-05
8.06,5.95685123e-05
8.07,5.91416408e-05
8.08,5.87183863e-05
8.09,5.82987135e-05
8.10,5.78825876e-05
8.11,5.74699741e-05
8.12,5.70608389e-05
8.13,5.66551484e-05
8.14,5.62528692e-05
8.15,5.58539683e-05
8.16,5.54584131e-05
8.17,5.50661714e-05
8.18,5.46772111e-05
8.19,5.42915009e-05
8.20,5.39090094e-05
8.21,5.35297057e-05
8.22,5.31535594e-05
8.23,5.27805401e-05
8.24,5.24106181e-05
8.25,5.20437636e-05
8.26,5.16799476e-05
8.27,5.13191410e-05
8.28,5.09613152e-05
8.29,5.06064419e-05
8.30,5.02544931e-05
8.31,4.99054411e-05
8.32,4.95592584e-05
8.33,4.92159179e-05
8.34,4.88753929e-05
8.35,4.85376566e-05
8.36,4.82026830e-05
8.37,4.78704459e-05
8.38,4.75409196e-05
8.39,4.72140789e-05
8.40,4.68898983e-05
8.41,4.65683531e-05
8.42,4.62494186e-05
8.43,4.59330705e-05
8.44,4.56192845e-05
8.45,4.53080369e-05
8.46,4.49993040e-05
8.47,4.46930624e-05
8.48,4.43892891e-05
8.49,4.40879611e-05
8.50,4.37890557e-05
8.51,4.34925507e-05
8.52,4.31984237e-05
8.53,4.29066529e-05
8.54,4.26172165e-05
8.55,4.23300931e-05
8.56,4.20452614e-05
8.57,4.17627003e-05
8.58,4.14823891e-05
8.59,4.12043070e-05
8.60,4.09284338e-05
8.61,4.06547492e-05
8.62,4.03832332e-05
8.63,4.01138661e-05
8.64,3.98466283e-05
8.65,3.95815005e-05
8.66,3.93184633e-05
8.67,3.90574980e-05
8.68,3.87985857e-05
8.69,3.85417078e-05
8.70,3.82868460e-05
8.71,3.80339819e-05
8.72,3.77830977e-05
8.73,3.75341754e-05
8.74,3.72871974e-05
8.75,3.70421462e-05
8.76,3.67990045e-05
8.77,3.65577552e-05
8.78,3.63183814e-05
8.79,3.60808662e-05
8.80,3.58451931e-05
8.81,3.56113455e-05
8.82,3.53793073e-05
8.83,3.51490623e-05
8.84,3.49205945e-05
8.85,3.46938883e-05
8.86,3.44689278e-05
8.87,3.42456977e-05
8.88,3.40241826e-05
8.89,3.38043673e-05
8.90,3.35862370e-05
8.91,3.33697766e-05
8.92,3.31549714e-05
8.93,3.29418069e-05
8.94,3.27302687e-05
8.95,3.25203424e-05
8.96,3.23120140e-05
8.97,3.21052694e-05
8.98,3.19000947e-05
8.99,3.16964763e-05
9.00,3.14944005e-05
9.01,3.12938539e-05
9.02,3.10948232e-05
9.03,3.08972951e-05
9.04,3.07012566e-05
9.05,3.05066948e-05
9.06,3.03135968e-05
9.07,3.01219499e-05
9.08,2.99317417e-05
9.09,2.97429597e-05
9.10,2.95555915e-05
9.11,2.93696249e-05
9.12,2.91850479e-05
9.13,2.90018486e-05
9.14,2.88200150e-05
9.15,2.86395355e-05
9.16,2.84603984e-05
9.17,2.82825923e-05
9.18,2.81061057e-05
9.19,2.79309273e-05
9.20,2.77570461e-05
9.21,2.75844508e-05
9.22,2.74131307e-05
9.23,2.72430747e-05
9.24,2.70742723e-05
9.25,2.69067126e-05
9.26,2.67403853e-05
9.27,2.65752797e-05
9.28,2.64113857e-05
9.29,2.62486930e-05
9.30,2.60871913e-05
9.31,2.59268708e-05
9.32,2.57677213e-05
9.33,2.56097331e-05
9.34,2.54528964e-05
9.35,2.52972015e-05
9.36,2.51426389e-05
9.37,2.49891990e-05
9.38,2.48368725e-05
9.39,2.46856500e-05
9.40,2.45355223e-05
9.41,2.43864804e-05
9.42,2.42385151e-05
9.43,2.40916174e-05
9.44,2.39457786e-05
9.45,2.38009898e-05
9.46,2.36572422e-05
9.47,2.35145274e-05
9.48,2.33728366e-05
9.49,2.32321615e-05
9.50,2.30924936e-05
9.51,2.29538247e-05
9.52,2.28161464e-05
9.53,2.26794507e-05
9.54,2.25437295e-05
9.55,2.24089747e-05
9.56,2.22751784e-05
9.57,2.21423328e-05
9.58,2.20104301e-05
9.59,2.18794625e-05
9.60,2.17494224e-05
9.61,2.16203023e-05
9.62,2.14920946e-05
9.63,2.13647919e-05
9.64,2.12383868e-05
9.65,2.11128721e-05
9.66,2.09882405e-05
9.67,2.08644848e-05
9.68,2.07415980e-05
9.69,2.06195730e-05
9.70,2.04984028e-05
9.71,2.03780805e-05
9.72,2.02585994e-05
9.73,2.01399526e-05
9.74,2.00221333e-05
9.75,1.99051350e-05
9.76,1.97889511e-05
9.77,1.96735749e-05
9.78,1.95590001e-05
9.79,1.94452201e-05
9.80,1.93322288e-05
9.81,1.92200196e-05
9.82,1.91085865e-05
9.83,1.89979232e-05
9.84,1.88880235e-05
9.85,1.87788814e-05
9.86,1.86704909e-05
9.87,1.85628460e-05
9.88,1.84559408e-05
9.89,1.83497695e-05
9.90,1.82443261e-05
9.91,1.81396049e-05
9.92,1.80356004e-05
9.93,1.79323067e-05
9.94,1.78297183e-05
9.95,1.77278296e-05
9.96,1.76266351e-05
9.97,1.75261294e-05
9.98,1.74263070e-05
9.99,1.73271627e-05
10.00,1.72286910e-05
10.01,1.71308867e-05
10.02,1.70337446e-05
10.03,1.69372596e-05
10.04,1.68414264e-05
10.05,1.67462401e-05
10.06,1.66516955e-05
10.07,1.65577877e-05
10.08,1.64645117e-05
10.09,1.63718627e-05
10.10,1.62798357e-05
10.11,1.61884259e-05
10.12,1.60976286e-05
10.13,1.60074390e-05
10.14,1.59178525e-05
10.15,1.58288644e-05
10.16,1.57404700e-05
10.17,1.56526648e-05
10.18,1.55654442e-05
10.19,1.54788038e-05
10.20,1.53927391e-05
10.21,1.53072458e-05
10.22,1.52223193e-05
10.23,1.51379554e-05
10.24,1.50541498e-05
10.25,1.49708982e-05
10.26,1.48881964e-05
10.27,1.48060401e-05
10.28,1.47244253e-05
10.29,1.46433479e-05
10.30,1.45628036e-05
10.31,1.44827885e-05
10.32,1.44032986e-05
10.33,1.43243299e-05
10.34,1.42458784e-05
10.35,1.41679403e-05
10.36,1.40905116e-05
10.37,1.40135885e-05
10.38,1.39371672e-05
10.39,1.38612439e-05
10.40,1.37858149e-05
10.41,1.37108764e-05
10.42,1.36364248e-05
10.43,1.35624564e-05
10.44,1.34889676e-05
10.45,1.34159547e-05
10.46,1.33434144e-05
10.47,1.32713429e-05
10.48,1.31997368e-05
10.49,1.31285927e-05
10.50,1.30579071e-05
10.51,1.29876765e-05
10.52,1.29178976e-05
10.53,1.28485671e-05
10.54,1.27796816e-05
10.55,1.27112378e-05
10.56,1.26432324e-05
10.57,1.25756623e-05
10.58,1.25085241e-05
10.59,1.24418147e-05
10.60,1.23755309e-05
10.61,1.23096696e-05
10.62,1.22442277e-05
10.63,1.21792021e-05
10.64,1.21145897e-05
10.65,1.20503875e-05
10.66,1.19865925e-05
10.67,1.19232016e-05
10.68,1.18602121e-05
10.69,1.17976208e-05
10.70,1.17354249e-05
10.71,1.16736216e-05
10.72,1.16122079e-05
