Angle(deg),Theoretical_BER
0.00,1.22345054e-03
0.01,1.22345054e-03
0.02,1.22345054e-03
0.03,1.22345054e-03
0.04,1.22345054e-03
0.05,1.22345054e-03
0.06,1.22345054e-03
0.07,1.22345054e-03
0.08,1.22345054e-03
0.09,1.22345054e-03
0.10,1.22345054e-03
0.11,1.22345054e-03
0.12,1.22345054e-03
0.13,1.22345054e-03
0.14,1.22345054e-03
0.15,1.22345054e-03
0.16,1.22345054e-03
0.17,1.22345054e-03
0.18,1.22345054e-03
0.19,1.22345054e-03
0.20,1.22345054e-03
0.21,1.22345054e-03
0.22,1.22345054e-03
0.23,1.22345054e-03
0.24,1.22345054e-03
0.25,1.22345054e-03
0.26,1.22345054e-03
0.27,1.22345054e-03
0.28,1.22345054e-03
0.29,1.22345054e-03
0.30,1.22345054e-03
0.31,1.22345054e-03
0.32,1.22345054e-03
0.33,1.22345054e-03
0.34,1.22345054e-03
0.35,1.22345054e-03
0.36,1.22345054e-03
0.37,1.22345054e-03
0.38,1.22345054e-03
0.39,1.22345054e-03
0.40,1.22345054e-03
0.41,1.22345054e-03
0.42,1.22345054e-03
0.43,1.22345054e-03
0.44,1.22345054e-03
0.45,1.22345054e-03
0.46,1.22345054e-03
0.47,1.22345054e-03
0.48,1.22345054e-03
0.49,1.22345054e-03
0.50,1.22345054e-03
0.51,1.22345054e-03
0.52,1.22345054e-03
0.53,1.22345054e-03
0.54,1.22345054e-03
0.55,1.22345054e-03
0.56,1.22345054e-03
0.57,1.22345054e-03
0.58,1.22345054e-03
0.59,1.22345054e-03
0.60,1.22345054e-03
0.61,1.22345054e-03
0.62,1.22345054e-03
0.63,1.22345054e-03
0.64,1.22345054e-03
0.65,1.22345054e-03
0.66,1.22345054e-03
0.67,1.22345054e-03
0.68,1.22345054e-03
0.69,1.22345054e-03
0.70,1.22345054e-03
0.71,1.22345054e-03
0.72,1.22345054e-03
0.73,1.22345054e-03
0.74,1.22345054e-03
0.75,1.22345054e-03
0.76,1.22345054e-03
0.77,1.22345054e-03
0.78,1.22345054e-03
0.79,1.22345054e-03
0.80,1.22345054e-03
0.81,1.22345054e-03
0.82,1.22345054e-03
0.83,1.22345054e-03
0.84,1.22345054e-03
0.85,1.22345054e-03
0.86,1.22345054e-03
0.87,1.22345054e-03
0.88,1.22345054e-03
0.89,1.22345054e-03
0.90,1.22345054e-03
0.91,1.22345054e-03
0.92,1.22345054e-03
0.93,1.22345054e-03
0.94,1.22345054e-03
0.95,1.22345054e-03
0.96,1.22345054e-03
0.97,1.22345054e-03
0.98,1.22345054e-03
0.99,1.22345054e-03
1.00,1.22345054e-03
1.01,1.22345054e-03
1.02,1.22345054e-03
1.03,1.22345054e-03
1.04,1.22345054e-03
1.05,1.22345054e-03
1.06,1.22345054e-03
1.07,1.22345054e-03
1.08,1.22345054e-03
1.09,1.22345054e-03
1.10,1.22345054e-03
1.11,1.22345054e-03
1.12,1.22345054e-03
1.13,1.22345054e-03
1.14,1.22345054e-03
1.15,1.22345054e-03
1.16,1.22345054e-03
1.17,1.22345054e-03
1.18,1.22345054e-03
1.19,1.22345054e-03
1.20,1.22345054e-03
1.21,1.22345054e-03
1.22,1.22345054e-03
1.23,1.22345054e-03
1.24,1.22345054e-03
1.25,1.22345054e-03
1.26,1.22345054e-03
1.27,1.22345054e-03
1.28,1.22345054e-03
1.29,1.22345054e-03
1.30,1.22345054e-03
1.31,1.22345054e-03
1.32,1.22345054e-03
1.33,1.22345054e-03
1.34,1.22345054e-03
1.35,1.22345054e-03
1.36,1.22345054e-03
1.37,1.22345054e-03
1.38,1.22345054e-03
1.39,1.22345054e-03
1.40,1.22345054e-03
1.41,1.22345054e-03
1.42,1.22345054e-03
1.43,1.22345054e-03
1.44,1.22345054e-03
1.45,1.22345054e-03
1.46,1.22345054e-03
1.47,1.22345054e-03
1.48,1.22345054e-03
1.49,1.22345054e-03
1.50,1.22345054e-03
1.51,1.22345054e-03
1.52,1.22345054e-03
1.53,1.22345054e-03
1.54,1.22345054e-03
1.55,1.22345054e-03
1.56,1.22345054e-03
1.57,1.22345054e-03
1.58,1.22345054e-03
1.59,1.22345054e-03
1.60,1.22345054e-03
1.61,1.22345054e-03
1.62,1.22345054e-03
1.63,1.22345054e-03
1.64,1.22345054e-03
1.65,1.22345054e-03
1.66,1.22345054e-03
1.67,1.22345054e-03
1.68,1.22345054e-03
1.69,1.22345054e-03
1.70,1.22345054e-03
1.71,1.22345054e-03
1.72,1.22345054e-03
1.73,1.22345054e-03
1.74,1.22345054e-03
1.75,1.22345054e-03
1.76,1.22345054e-03
1.77,1.22345054e-03
1.78,1.22345054e-03
1.79,1.22345054e-03
1.80,1.22345054e-03
1.81,1.22345054e-03
1.82,1.22345054e-03
1.83,1.22345054e-03
1.84,1.22345054e-03
1.85,1.22345054e-03
1.86,1.22345054e-03
1.87,1.22345054e-03
1.88,1.22345054e-03
1.89,1.22345054e-03
1.90,1.22345054e-03
1.91,1.22345054e-03
1.92,1.22345054e-03
1.93,1.22345054e-03
1.94,1.22345054e-03
1.95,1.22345054e-03
1.96,1.22345054e-03
1.97,1.22345054e-03
1.98,1.22345054e-03
1.99,1.22345054e-03
2.00,1.22345054e-03
2.01,1.22345054e-03
2.02,1.22345054e-03
2.03,1.22345054e-03
2.04,1.22345054e-03
2.05,1.22345054e-03
2.06,1.22345054e-03
2.07,1.22345054e-03
2.08,1.22345054e-03
2.09,1.22345054e-03
2.10,1.22345054e-03
2.11,1.22345054e-03
2.12,1.22345054e-03
2.13,1.22345054e-03
2.14,1.22345054e-03
2.15,1.22345054e-03
2.16,1.22345054e-03
2.17,1.22345054e-03
2.18,1.22345054e-03
2.19,1.22345054e-03
2.20,1.22345054e-03
2.21,1.22345054e-03
2.22,1.22345054e-03
2.23,1.22345054e-03
2.24,1.22345054e-03
2.25,1.22345054e-03
2.26,1.22345054e-03
2.27,1.22345054e-03
2.28,1.22345054e-03
2.29,1.22345054e-03
2.30,1.22345054e-03
2.31,1.22345054e-03
2.32,1.22345054e-03
2.33,1.22345054e-03
2.34,1.22345054e-03
2.35,1.22345054e-03
2.36,1.22345054e-03
2.37,1.22345054e-03
2.38,1.22345054e-03
2.39,1.22345054e-03
2.40,1.22345054e-03
2.41,1.22345054e-03
2.42,1.22345054e-03
2.43,1.22345054e-03
2.44,1.22345054e-03
2.45,1.22345054e-03
2.46,1.22345054e-03
2.47,1.22345054e-03
2.48,1.22345054e-03
2.49,1.22345054e-03
2.50,1.22345054e-03
2.51,1.22345054e-03
2.52,1.22345054e-03
2.53,1.22345054e-03
2.54,1.22345054e-03
2.55,1.22345054e-03
2.56,1.22345054e-03
2.57,1.22345054e-03
2.58,1.22345054e-03
2.59,1.22345054e-03
2.60,1.22345054e-03
2.61,1.22345054e-03
2.62,1.22345054e-03
2.63,1.22345054e-03
2.64,1.22345054e-03
2.65,1.22345054e-03
2.66,1.22345054e-03
2.67,1.22345054e-03
2.68,1.22345054e-03
2.69,1.22345054e-03
2.70,1.22345054e-03
2.71,1.22345054e-03
2.72,1.22345054e-03
2.73,1.22345054e-03
2.74,1.22345054e-03
2.75,1.22345054e-03
2.76,1.22345054e-03
2.77,1.22345054e-03
2.78,1.22345054e-03
2.79,1.22345054e-03
2.80,1.22345054e-03
2.81,1.22345054e-03
2.82,1.22345054e-03
2.83,1.22345054e-03
2.84,1.22345054e-03
2.85,1.22345054e-03
2.86,1.22345054e-03
2.87,1.22345054e-03
2.88,1.22345054e-03
2.89,1.22345054e-03
2.90,1.22345054e-03
2.91,1.22345054e-03
2.92,1.22345054e-03
2.93,1.22345054e-03
2.94,1.22345054e-03
2.95,1.22345054e-03
2.96,1.22345054e-03
2.97,1.22345054e-03
2.98,1.22345054e-03
2.99,1.22345054e-03
3.00,1.22345054e-03
3.01,1.22345054e-03
3.02,1.22345054e-03
3.03,1.22345054e-03
3.04,1.22345054e-03
3.05,1.22345054e-03
3.06,1.22345054e-03
3.07,1.22345054e-03
3.08,1.22345054e-03
3.09,1.22345054e-03
3.10,1.22345054e-03
3.11,1.22345054e-03
3.12,1.22345054e-03
3.13,1.22345054e-03
3.14,1.22345054e-03
3.15,1.22345054e-03
3.16,1.22345054e-03
3.17,1.22345054e-03
3.18,1.22345054e-03
3.19,1.22345054e-03
3.20,1.22345054e-03
3.21,1.22345054e-03
3.22,1.22345054e-03
3.23,1.22345054e-03
3.24,1.22345054e-03
3.25,1.22345054e-03
3.26,1.22345054e-03
3.27,1.22345054e-03
3.28,1.22345054e-03
3.29,1.22345054e-03
3.30,1.22345054e-03
3.31,1.22345054e-03
3.32,1.22345054e-03
3.33,1.22345054e-03
3.34,1.22345054e-03
3.35,1.22345054e-03
3.36,1.22345054e-03
3.37,1.22345054e-03
3.38,1.22345054e-03
3.39,1.22345054e-03
3.40,1.22345054e-03
3.41,1.22345054e-03
3.42,1.22345054e-03
3.43,1.22345054e-03
3.44,1.22345054e-03
3.45,1.22345054e-03
3.46,1.22345054e-03
3.47,1.22345054e-03
3.48,1.22345054e-03
3.49,1.22345054e-03
3.50,1.22345054e-03
3.51,1.22345054e-03
3.52,1.22345054e-03
3.53,1.22345054e-03
3.54,1.22345054e-03
3.55,1.22345054e-03
3.56,1.22345054e-03
3.57,1.22345054e-03
3.58,1.22345054e-03
3.59,1.22345054e-03
3.60,1.22345054e-03
3.61,1.22345054e-03
3.62,1.22345054e-03
3.63,1.22345054e-03
3.64,1.22345054e-03
3.65,1.22345054e-03
3.66,1.22345054e-03
3.67,1.22345054e-03
