Angle(deg),Theoretical_BER
0.00,1.69335938e+26
0.01,3.74283585e+02
0.02,9.35709477e+01
0.03,4.15871261e+01
0.04,2.33927885e+01
0.05,1.49714094e+01
0.06,1.03968331e+01
0.07,7.63850785e+00
0.08,5.84824869e+00
0.09,4.62085290e+00
0.10,3.74290391e+00
0.11,3.09332095e+00
0.12,2.59925984e+00
0.13,2.21476411e+00
0.14,1.90967853e+00
0.15,1.66355105e+00
0.16,1.46211374e+00
0.17,1.29516743e+00
0.18,1.15526480e+00
0.19,1.03686521e+00
0.20,9.35777554e-01
0.21,8.48784222e-01
0.22,7.73381818e-01
0.23,7.07599046e-01
0.24,6.49866543e-01
0.25,5.98922400e-01
0.26,5.53742617e-01
0.27,5.13489240e-01
0.28,4.77471225e-01
0.29,4.45114582e-01
0.30,4.15939360e-01
0.31,3.89541751e-01
0.32,3.65580038e-01
0.33,3.43763484e-01
0.34,3.23843466e-01
0.35,3.05606365e-01
0.36,2.88867814e-01
0.37,2.73468016e-01
0.38,2.59267922e-01
0.39,2.46146077e-01
0.40,2.33996015e-01
0.41,2.22724096e-01
0.42,2.12247689e-01
0.43,2.02493662e-01
0.44,1.93397095e-01
0.45,1.84900203e-01
0.46,1.76951410e-01
0.47,1.69504570e-01
0.48,1.62518292e-01
0.49,1.55955366e-01
0.50,1.49782264e-01
0.51,1.43968715e-01
0.52,1.38487327e-01
0.53,1.33313270e-01
0.54,1.28423991e-01
0.55,1.23798969e-01
0.56,1.19419497e-01
0.57,1.15268496e-01
0.58,1.11330346e-01
0.59,1.07590739e-01
0.60,1.04036550e-01
0.61,1.00655721e-01
0.62,9.74371581e-02
0.63,9.43706406e-02
0.64,9.14467405e-02
0.65,8.86567492e-02
0.66,8.59926128e-02
0.67,8.34468740e-02
0.68,8.10126196e-02
0.69,7.86834339e-02
0.70,7.64533561e-02
0.71,7.43168421e-02
0.72,7.22687302e-02
0.73,7.03042098e-02
0.74,6.84187931e-02
0.75,6.66082895e-02
0.76,6.48687823e-02
0.77,6.31966074e-02
0.78,6.15883341e-02
0.79,6.00407475e-02
0.80,5.85508322e-02
0.81,5.71157580e-02
0.82,5.57328661e-02
0.83,5.43996569e-02
0.84,5.31137786e-02
0.85,5.18730172e-02
0.86,5.06752864e-02
0.87,4.95186191e-02
0.88,4.84011596e-02
0.89,4.73211556e-02
0.90,4.62769518e-02
0.91,4.52669831e-02
0.92,4.42897692e-02
0.93,4.33439089e-02
0.94,4.24280752e-02
0.95,4.15410104e-02
0.96,4.06815222e-02
0.97,3.98484791e-02
0.98,3.90408075e-02
0.99,3.82574872e-02
1.00,3.74975493e-02
1.01,3.67600722e-02
1.02,3.60441794e-02
1.03,3.53490370e-02
1.04,3.46738505e-02
1.05,3.40178634e-02
1.06,3.33803547e-02
1.07,3.27606367e-02
1.08,3.21580537e-02
1.09,3.15719798e-02
1.10,3.10018172e-02
1.11,3.04469954e-02
1.12,2.99069688e-02
1.13,2.93812160e-02
1.14,2.88692384e-02
1.15,2.83705590e-02
1.16,2.78847212e-02
1.17,2.74112879e-02
1.18,2.69498403e-02
1.19,2.64999773e-02
1.20,2.60613143e-02
1.21,2.56334826e-02
1.22,2.52161286e-02
1.23,2.48089129e-02
1.24,2.44115099e-02
1.25,2.40236066e-02
1.26,2.36449029e-02
1.27,2.32751101e-02
1.28,2.29139507e-02
1.29,2.25611583e-02
1.30,2.22164762e-02
1.31,2.18796579e-02
1.32,2.15504658e-02
1.33,2.12286716e-02
1.34,2.09140553e-02
1.35,2.06064049e-02
1.36,2.03055163e-02
1.37,2.00111928e-02
1.38,1.97232449e-02
1.39,1.94414897e-02
1.40,1.91657509e-02
1.41,1.88958585e-02
1.42,1.86316484e-02
1.43,1.83729621e-02
1.44,1.81196468e-02
1.45,1.78715548e-02
1.46,1.76285436e-02
1.47,1.73904753e-02
1.48,1.71572168e-02
1.49,1.69286394e-02
1.50,1.67046187e-02
1.51,1.64850344e-02
1.52,1.62697702e-02
1.53,1.60587134e-02
1.54,1.58517552e-02
1.55,1.56487901e-02
1.56,1.54497162e-02
1.57,1.52544344e-02
1.58,1.50628493e-02
1.59,1.48748680e-02
1.60,1.46904007e-02
1.61,1.45093605e-02
1.62,1.43316629e-02
1.63,1.41572263e-02
1.64,1.39859712e-02
1.65,1.38178209e-02
1.66,1.36527007e-02
1.67,1.34905383e-02
1.68,1.33312635e-02
1.69,1.31748081e-02
1.70,1.30211060e-02
1.71,1.28700930e-02
1.72,1.27217067e-02
1.73,1.25758865e-02
1.74,1.24325738e-02
1.75,1.22917113e-02
1.76,1.21532434e-02
1.77,1.20171163e-02
1.78,1.18832775e-02
1.79,1.17516759e-02
1.80,1.16222621e-02
1.81,1.14949878e-02
1.82,1.13698061e-02
1.83,1.12466715e-02
1.84,1.11255395e-02
1.85,1.10063669e-02
1.86,1.08891118e-02
1.87,1.07737332e-02
1.88,1.06601913e-02
1.89,1.05484474e-02
1.90,1.04384637e-02
1.91,1.03302034e-02
1.92,1.02236308e-02
1.93,1.01187110e-02
1.94,1.00154099e-02
1.95,9.91369448e-03
1.96,9.81353244e-03
1.97,9.71489234e-03
1.98,9.61774350e-03
1.99,9.52205604e-03
2.00,9.42780080e-03
2.01,9.33494935e-03
2.02,9.24347397e-03
2.03,9.15334762e-03
2.04,9.06454392e-03
2.05,8.97703713e-03
2.06,8.89080213e-03
2.07,8.80581440e-03
2.08,8.72205004e-03
2.09,8.63948567e-03
2.10,8.55809852e-03
2.11,8.47786631e-03
2.12,8.39876731e-03
2.13,8.32078031e-03
2.14,8.24388455e-03
2.15,8.16805981e-03
2.16,8.09328629e-03
2.17,8.01954467e-03
2.18,7.94681606e-03
2.19,7.87508201e-03
2.20,7.80432448e-03
2.21,7.73452585e-03
2.22,7.66566887e-03
2.23,7.59773671e-03
2.24,7.53071289e-03
2.25,7.46458131e-03
2.26,7.39932621e-03
2.27,7.33493219e-03
2.28,7.27138418e-03
2.29,7.20866745e-03
2.30,7.14676757e-03
2.31,7.08567044e-03
2.32,7.02536226e-03
2.33,6.96582950e-03
2.34,6.90705896e-03
2.35,6.84903770e-03
2.36,6.79175304e-03
2.37,6.73519260e-03
2.38,6.67934422e-03
2.39,6.62419603e-03
2.40,6.56973638e-03
2.41,6.51595389e-03
2.42,6.46283738e-03
2.43,6.41037593e-03
2.44,6.35855882e-03
2.45,6.30737557e-03
