Angle(deg),Theoretical_BER
0.00,1.17187500e+24
0.01,1.56879643e+01
0.02,3.92199237e+00
0.03,1.74310868e+00
0.04,9.80499385e-01
0.05,6.27520227e-01
0.06,4.35778462e-01
0.07,3.20164226e-01
0.08,2.45126140e-01
0.09,1.93680275e-01
0.10,1.56881350e-01
0.11,1.29654308e-01
0.12,1.08945909e-01
0.13,9.28299054e-02
0.14,8.00423499e-02
0.15,6.97260026e-02
0.16,6.12828283e-02
0.17,5.42853321e-02
0.18,4.84213621e-02
0.19,4.34586846e-02
0.20,3.92216310e-02
0.21,3.55753359e-02
0.22,3.24148704e-02
0.23,2.96576085e-02
0.24,2.72377708e-02
0.25,2.51024648e-02
0.26,2.32087699e-02
0.27,2.15215636e-02
0.28,2.00118810e-02
0.29,1.86556636e-02
0.30,1.74327942e-02
0.31,1.63263476e-02
0.32,1.53220007e-02
0.33,1.44075674e-02
0.34,1.35726267e-02
0.35,1.28082249e-02
0.36,1.21066342e-02
0.37,1.14611570e-02
0.38,1.08659649e-02
0.39,1.03159672e-02
0.40,9.80670151e-03
0.41,9.33424281e-03
0.42,8.89512776e-03
0.43,8.48629098e-03
0.44,8.10501144e-03
0.45,7.74886702e-03
0.46,7.41569600e-03
0.47,7.10356415e-03
0.48,6.81073661e-03
0.49,6.53565370e-03
0.50,6.27691015e-03
0.51,6.03323710e-03
0.52,5.80348648e-03
0.53,5.58661754e-03
0.54,5.38168496e-03
0.55,5.18782859e-03
0.56,5.00426437e-03
0.57,4.83027643e-03
0.58,4.66521005e-03
0.59,4.50846555e-03
0.60,4.35949278e-03
0.61,4.21778632e-03
0.62,4.08288118e-03
0.63,3.95434897e-03
0.64,3.83179451e-03
0.65,3.71485279e-03
0.66,3.60318623e-03
0.67,3.49648226e-03
0.68,3.39445112e-03
0.69,3.29682390e-03
0.70,3.20335074e-03
0.71,3.11379927e-03
0.72,3.02795314e-03
0.73,2.94561072e-03
0.74,2.86658390e-03
0.75,2.79069703e-03
0.76,2.71778594e-03
0.77,2.64769707e-03
0.78,2.58028660e-03
0.79,2.51541979e-03
0.80,2.45297025e-03
0.81,2.39281935e-03
0.82,2.33485565e-03
0.83,2.27897438e-03
0.84,2.22507697e-03
0.85,2.17307060e-03
0.86,2.12286785e-03
0.87,2.07438626e-03
0.88,2.02754804e-03
0.89,1.98227976e-03
0.90,1.93851202e-03
0.91,1.89617924e-03
0.92,1.85521935e-03
0.93,1.81557364e-03
0.94,1.77718648e-03
0.95,1.74000515e-03
0.96,1.70397968e-03
0.97,1.66906265e-03
0.98,1.63520905e-03
0.99,1.60237612e-03
1.00,1.57052325e-03
1.01,1.53961182e-03
1.02,1.50960508e-03
1.03,1.48046808e-03
1.04,1.45216752e-03
1.05,1.42467170e-03
1.06,1.39795039e-03
1.07,1.37197476e-03
1.08,1.34671734e-03
1.09,1.32215189e-03
1.10,1.29825335e-03
1.11,1.27499781e-03
1.12,1.25236240e-03
1.13,1.23032527e-03
1.14,1.20886552e-03
1.15,1.18796315e-03
1.16,1.16759903e-03
1.17,1.14775484e-03
1.18,1.12841302e-03
1.19,1.10955676e-03
1.20,1.09116994e-03
1.21,1.07323710e-03
1.22,1.05574344e-03
1.23,1.03867471e-03
1.24,1.02201727e-03
1.25,1.00575800e-03
1.26,9.89884330e-04
1.27,9.74384149e-04
1.28,9.59245835e-04
1.29,9.44458210e-04
1.30,9.30010526e-04
1.31,9.15892443e-04
1.32,9.02094010e-04
1.33,8.88605650e-04
1.34,8.75418142e-04
1.35,8.62522605e-04
1.36,8.49910484e-04
1.37,8.37573533e-04
1.38,8.25503806e-04
1.39,8.13693640e-04
1.40,8.02135646e-04
1.41,7.90822696e-04
1.42,7.79747912e-04
1.43,7.68904654e-04
1.44,7.58286514e-04
1.45,7.47887303e-04
1.46,7.37701044e-04
1.47,7.27721962e-04
1.48,7.17944477e-04
1.49,7.08363194e-04
1.50,6.98972900e-04
1.51,6.89768551e-04
1.52,6.80745271e-04
1.53,6.71898341e-04
1.54,6.63223195e-04
1.55,6.54715416e-04
1.56,6.46370724e-04
1.57,6.38184979e-04
1.58,6.30154169e-04
1.59,6.22274409e-04
1.60,6.14541934e-04
1.61,6.06953097e-04
1.62,5.99504361e-04
1.63,5.92192300e-04
1.64,5.85013590e-04
1.65,5.77965007e-04
1.66,5.71043427e-04
1.67,5.64245816e-04
1.68,5.57569231e-04
1.69,5.51010817e-04
1.70,5.44567800e-04
1.71,5.38237490e-04
1.72,5.32017273e-04
1.73,5.25904611e-04
1.74,5.19897039e-04
1.75,5.13992161e-04
1.76,5.08187650e-04
1.77,5.02481245e-04
1.78,4.96870746e-04
1.79,4.91354017e-04
1.80,4.85928981e-04
1.81,4.80593615e-04
1.82,4.75345955e-04
1.83,4.70184089e-04
1.84,4.65106157e-04
1.85,4.60110349e-04
1.86,4.55194904e-04
1.87,4.50358107e-04
1.88,4.45598290e-04
1.89,4.40913827e-04
1.90,4.36303137e-04
1.91,4.31764678e-04
1.92,4.27296950e-04
1.93,4.22898490e-04
1.94,4.18567875e-04
1.95,4.14303715e-04
1.96,4.10104658e-04
1.97,4.05969386e-04
1.98,4.01896613e-04
1.99,3.97885087e-04
2.00,3.93933585e-04
2.01,3.90040915e-04
2.02,3.86205917e-04
2.03,3.82427455e-04
2.04,3.78704425e-04
2.05,3.75035747e-04
2.06,3.71420369e-04
2.07,3.67857263e-04
2.08,3.64345426e-04
2.09,3.60883880e-04
2.10,3.57471669e-04
2.11,3.54107859e-04
2.12,3.50791540e-04
2.13,3.47521823e-04
2.14,3.44297837e-04
2.15,3.41118734e-04
2.16,3.37983686e-04
