Angle(deg),f(R)
2.45,1.76227919e+09
2.46,1.71986905e+09
2.47,1.67864648e+09
2.48,1.63857362e+09
2.49,1.59961392e+09
2.50,1.56173217e+09
2.51,1.52489440e+09
2.52,1.48906782e+09
2.53,1.45422082e+09
2.54,1.42032288e+09
2.55,1.38734456e+09
2.56,1.35525743e+09
2.57,1.32403406e+09
2.58,1.29364796e+09
2.59,1.26407353e+09
2.60,1.23528609e+09
2.61,1.20726177e+09
2.62,1.17997753e+09
2.63,1.15341108e+09
2.64,1.12754092e+09
2.65,1.10234625e+09
2.66,1.07780697e+09
2.67,1.05390365e+09
2.68,1.03061752e+09
2.69,1.00793041e+09
2.70,9.85824759e+08
2.71,9.64283590e+08
2.72,9.43290473e+08
2.73,9.22829517e+08
2.74,9.02885348e+08
2.75,8.83443090e+08
2.76,8.64488347e+08
2.77,8.46007186e+08
2.78,8.27986121e+08
2.79,8.10412097e+08
2.80,7.93272473e+08
2.81,7.76555010e+08
2.82,7.60247857e+08
2.83,7.44339533e+08
2.84,7.28818920e+08
2.85,7.13675248e+08
2.86,6.98898079e+08
2.87,6.84477303e+08
2.88,6.70403121e+08
2.89,6.56666037e+08
2.90,6.43256845e+08
2.91,6.30166625e+08
2.92,6.17386724e+08
2.93,6.04908757e+08
2.94,5.92724590e+08
2.95,5.80826337e+08
2.96,5.69206347e+08
2.97,5.57857201e+08
2.98,5.46771702e+08
2.99,5.35942865e+08
3.00,5.25363915e+08
3.01,5.15028276e+08
3.02,5.04929569e+08
3.03,4.95061598e+08
3.04,4.85418354e+08
3.05,4.75993999e+08
3.06,4.66782869e+08
3.07,4.57779461e+08
3.08,4.48978434e+08
3.09,4.40374599e+08
3.10,4.31962919e+08
3.11,4.23738499e+08
3.12,4.15696584e+08
3.13,4.07832556e+08
3.14,4.00141927e+08
3.15,3.92620336e+08
3.16,3.85263546e+08
3.17,3.78067439e+08
3.18,3.71028010e+08
3.19,3.64141371e+08
3.20,3.57403737e+08
3.21,3.50811431e+08
3.22,3.44360879e+08
3.23,3.38048602e+08
3.24,3.31871220e+08
3.25,3.25825445e+08
3.26,3.19908077e+08
3.27,3.14116007e+08
3.28,3.08446206e+08
3.29,3.02895732e+08
3.30,2.97461718e+08
3.31,2.92141377e+08
3.32,2.86931997e+08
3.33,2.81830936e+08
3.34,2.76835626e+08
3.35,2.71943566e+08
3.36,2.67152319e+08
3.37,2.62459517e+08
3.38,2.57862851e+08
3.39,2.53360074e+08
3.40,2.48948998e+08
3.41,2.44627493e+08
3.42,2.40393482e+08
3.43,2.36244944e+08
3.44,2.32179912e+08
3.45,2.28196465e+08
3.46,2.24292737e+08
3.47,2.20466907e+08
3.48,2.16717200e+08
3.49,2.13041889e+08
3.50,2.09439289e+08
3.51,2.05907758e+08
3.52,2.02445696e+08
3.53,1.99051545e+08
3.54,1.95723782e+08
3.55,1.92460928e+08
3.56,1.89261536e+08
3.57,1.86124197e+08
3.58,1.83047540e+08
3.59,1.80030222e+08
3.60,1.77070940e+08
3.61,1.74168417e+08
3.62,1.71321413e+08
3.63,1.68528714e+08
3.64,1.65789138e+08
3.65,1.63101532e+08
3.66,1.60464771e+08
3.67,1.57877756e+08
3.68,1.55339417e+08
3.69,1.52848707e+08
3.70,1.50404607e+08
3.71,1.48006120e+08
3.72,1.45652276e+08
3.73,1.43342125e+08
3.74,1.41074742e+08
3.75,1.38849222e+08
3.76,1.36664684e+08
3.77,1.34520265e+08
3.78,1.32415125e+08
3.79,1.30348442e+08
3.80,1.28319415e+08
3.81,1.26327258e+08
3.82,1.24371209e+08
3.83,1.22450519e+08
3.84,1.20564459e+08
3.85,1.18712316e+08
3.86,1.16893393e+08
3.87,1.15107010e+08
3.88,1.13352502e+08
3.89,1.11629221e+08
3.90,1.09936530e+08
3.91,1.08273811e+08
3.92,1.06640457e+08
3.93,1.05035876e+08
3.94,1.03459489e+08
3.95,1.01910730e+08
3.96,1.00389047e+08
3.97,9.88938990e+07
3.98,9.74247573e+07
3.99,9.59811054e+07
4.00,9.45624382e+07
4.01,9.31682621e+07
4.02,9.17980940e+07
4.03,9.04514618e+07
4.04,8.91279037e+07
4.05,8.78269683e+07
4.06,8.65482137e+07
4.07,8.52912082e+07
4.08,8.40555292e+07
4.09,8.28407634e+07
4.10,8.16465065e+07
4.11,8.04723630e+07
4.12,7.93179460e+07
4.13,7.81828769e+07
4.14,7.70667853e+07
4.15,7.59693088e+07
4.16,7.48900927e+07
4.17,7.38287899e+07
4.18,7.27850607e+07
4.19,7.17585728e+07
4.20,7.07490007e+07
4.21,6.97560261e+07
4.22,6.87793371e+07
4.23,6.78186286e+07
4.24,6.68736020e+07
4.25,6.59439647e+07
4.26,6.50294305e+07
4.27,6.41297190e+07
4.28,6.32445557e+07
4.29,6.23736718e+07
4.30,6.15168042e+07
4.31,6.06736951e+07
4.32,5.98440921e+07
4.33,5.90277479e+07
4.34,5.82244205e+07
4.35,5.74338726e+07
4.36,5.66558721e+07
4.37,5.58901912e+07
4.38,5.51366071e+07
4.39,5.43949014e+07
4.40,5.36648602e+07
4.41,5.29462738e+07
4.42,5.22389368e+07
4.43,5.15426479e+07
4.44,5.08572100e+07
4.45,5.01824299e+07
4.46,4.95181180e+07
4.47,4.88640889e+07
4.48,4.82201606e+07
4.49,4.75861548e+07
4.50,4.69618968e+07
4.51,4.63472153e+07
4.52,4.57419424e+07
4.53,4.51459134e+07
4.54,4.45589671e+07
4.55,4.39809452e+07
4.56,4.34116927e+07
4.57,4.28510574e+07
4.58,4.22988902e+07
4.59,4.17550450e+07
4.60,4.12193784e+07
4.61,4.06917498e+07
4.62,4.01720212e+07
4.63,3.96600576e+07
4.64,3.91557263e+07
4.65,3.86588971e+07
4.66,3.81694426e+07
4.67,3.76872376e+07
4.68,3.72121594e+07
4.69,3.67440874e+07
4.70,3.62829037e+07
4.71,3.58284923e+07
4.72,3.53807395e+07
4.73,3.49395338e+07
4.74,3.45047656e+07
4.75,3.40763277e+07
4.76,3.36541147e+07
4.77,3.32380230e+07
4.78,3.28279514e+07
4.79,3.24238001e+07
4.80,3.20254714e+07
4.81,3.16328695e+07
4.82,3.12459001e+07
4.83,3.08644709e+07
4.84,3.04884913e+07
4.85,3.01178720e+07
4.86,2.97525258e+07
4.87,2.93923669e+07
4.88,2.90373110e+07
4.89,2.86872755e+07
4.90,2.83421792e+07
4.91,2.80019423e+07
4.92,2.76664867e+07
4.93,2.73357355e+07
4.94,2.70096132e+07
4.95,2.66880457e+07
4.96,2.63709604e+07
4.97,2.60582856e+07
4.98,2.57499514e+07
4.99,2.54458887e+07
5.00,2.51460299e+07
5.01,2.48503085e+07
5.02,2.45586592e+07
5.03,2.42710178e+07
5.04,2.39873214e+07
5.05,2.37075081e+07
5.06,2.34315171e+07
5.07,2.31592887e+07
5.08,2.28907641e+07
5.09,2.26258858e+07
5.10,2.23645971e+07
5.11,2.21068423e+07
5.12,2.18525668e+07
5.13,2.16017169e+07
5.14,2.13542397e+07
5.15,2.11100834e+07
5.16,2.08691970e+07
5.17,2.06315305e+07
5.18,2.03970344e+07
5.19,2.01656606e+07
5.20,1.99373614e+07
5.21,1.97120900e+07
5.22,1.94898006e+07
5.23,1.92704479e+07
5.24,1.90539876e+07
5.25,1.88403760e+07
5.26,1.86295703e+07
5.27,1.84215282e+07
5.28,1.82162084e+07
5.29,1.80135700e+07
5.30,1.78135730e+07
5.31,1.76161779e+07
5.32,1.74213461e+07
5.33,1.72290395e+07
5.34,1.70392206e+07
5.35,1.68518526e+07
5.36,1.66668992e+07
5.37,1.64843249e+07
5.38,1.63040947e+07
5.39,1.61261740e+07
5.40,1.59505290e+07
5.41,1.57771265e+07
5.42,1.56059336e+07
5.43,1.54369182e+07
5.44,1.52700484e+07
5.45,1.51052933e+07
5.46,1.49426220e+07
5.47,1.47820044e+07
5.48,1.46234108e+07
5.49,1.44668121e+07
5.50,1.43121795e+07
5.51,1.41594848e+07
5.52,1.40087002e+07
5.53,1.38597983e+07
5.54,1.37127521e+07
5.55,1.35675354e+07
5.56,1.34241219e+07
5.57,1.32824860e+07
5.58,1.31426026e+07
5.59,1.30044468e+07
5.60,1.28679942e+07
5.61,1.27332207e+07
5.62,1.26001027e+07
5.63,1.24686170e+07
5.64,1.23387405e+07
5.65,1.22104508e+07
5.66,1.20837256e+07
5.67,1.19585431e+07
5.68,1.18348818e+07
5.69,1.17127206e+07
5.70,1.15920386e+07
5.71,1.14728153e+07
5.72,1.13550305e+07
5.73,1.12386643e+07
5.74,1.11236972e+07
5.75,1.10101099e+07
5.76,1.08978835e+07
5.77,1.07869993e+07
5.78,1.06774388e+07
5.79,1.05691841e+07
5.80,1.04622172e+07
5.81,1.03565207e+07
5.82,1.02520773e+07
5.83,1.01488699e+07
5.84,1.00468818e+07
5.85,9.94609646e+06
5.86,9.84649771e+06
5.87,9.74806953e+06
5.88,9.65079615e+06
5.89,9.55466205e+06
5.90,9.45965195e+06
5.91,9.36575081e+06
5.92,9.27294380e+06
5.93,9.18121631e+06
5.94,9.09055396e+06
5.95,9.00094259e+06
5.96,8.91236824e+06
5.97,8.82481716e+06
5.98,8.73827582e+06
5.99,8.65273088e+06
6.00,8.56816918e+06
6.01,8.48457780e+06
6.02,8.40194397e+06
6.03,8.32025513e+06
6.04,8.23949890e+06
6.05,8.15966309e+06
6.06,8.08073566e+06
6.07,8.00270480e+06
6.08,7.92555881e+06
6.09,7.84928622e+06
6.10,7.77387569e+06
6.11,7.69931606e+06
6.12,7.62559633e+06
6.13,7.55270566e+06
6.14,7.48063337e+06
6.15,7.40936893e+06
6.16,7.33890196e+06
6.17,7.26922225e+06
6.18,7.20031970e+06
6.19,7.13218440e+06
6.20,7.06480654e+06
6.21,6.99817649e+06
6.22,6.93228473e+06
6.23,6.86712189e+06
6.24,6.80267873e+06
6.25,6.73894614e+06
6.26,6.67591514e+06
6.27,6.61357688e+06
6.28,6.55192263e+06
6.29,6.49094380e+06
6.30,6.43063191e+06
6.31,6.37097859e+06
6.32,6.31197561e+06
6.33,6.25361483e+06
6.34,6.19588825e+06
6.35,6.13878797e+06
6.36,6.08230620e+06
6.37,6.02643526e+06
6.38,5.97116758e+06
6.39,5.91649570e+06
6.40,5.86241224e+06
6.41,5.80890997e+06
6.42,5.75598170e+06
6.43,5.70362040e+06
6.44,5.65181908e+06
6.45,5.60057090e+06
6.46,5.54986907e+06
6.47,5.49970693e+06
6.48,5.45007788e+06
6.49,5.40097544e+06
6.50,5.35239319e+06
6.51,5.30432482e+06
6.52,5.25676410e+06
6.53,5.20970487e+06
6.54,5.16314109e+06
6.55,5.11706676e+06
6.56,5.07147599e+06
6.57,5.02636297e+06
6.58,4.98172194e+06
6.59,4.93754725e+06
6.60,4.89383332e+06
6.61,4.85057463e+06
6.62,4.80776575e+06
6.63,4.76540131e+06
6.64,4.72347603e+06
6.65,4.68198467e+06
6.66,4.64092211e+06
6.67,4.60028324e+06
6.68,4.56006306e+06
6.69,4.52025663e+06
6.70,4.48085905e+06
6.71,4.44186552e+06
6.72,4.40327129e+06
6.73,4.36507166e+06
6.74,4.32726200e+06
6.75,4.28983776e+06
6.76,4.25279443e+06
6.77,4.21612755e+06
6.78,4.17983275e+06
6.79,4.14390568e+06
6.80,4.10834209e+06
6.81,4.07313774e+06
6.82,4.03828849e+06
6.83,4.00379021e+06
6.84,3.96963886e+06
6.85,3.93583043e+06
6.86,3.90236097e+06
6.87,3.86922659e+06
6.88,3.83642344e+06
6.89,3.80394772e+06
6.90,3.77179567e+06
6.91,3.73996361e+06
6.92,3.70844787e+06
6.93,3.67724485e+06
6.94,3.64635099e+06
6.95,3.61576278e+06
6.96,3.58547674e+06
6.97,3.55548946e+06
6.98,3.52579755e+06
6.99,3.49639767e+06
7.00,3.46728652e+06
7.01,3.43846086e+06
7.02,3.40991748e+06
7.03,3.38165319e+06
7.04,3.35366487e+06
7.05,3.32594943e+06
7.06,3.29850382e+06
7.07,3.27132501e+06
7.08,3.24441004e+06
7.09,3.21775596e+06
7.10,3.19135988e+06
7.11,3.16521892e+06
7.12,3.13933026e+06
7.13,3.11369111e+06
7.14,3.08829869e+06
7.15,3.06315030e+06
7.16,3.03824323e+06
7.17,3.01357484e+06
7.18,2.98914249e+06
7.19,2.96494359e+06
7.20,2.94097558e+06
7.21,2.91723594e+06
7.22,2.89372216e+06
7.23,2.87043179e+06
7.24,2.84736238e+06
7.25,2.82451152e+06
7.26,2.80187685e+06
7.27,2.77945601e+06
7.28,2.75724669e+06
7.29,2.73524659e+06
7.30,2.71345345e+06
7.31,2.69186504e+06
7.32,2.67047915e+06
7.33,2.64929359e+06
7.34,2.62830622e+06
7.35,2.60751490e+06
7.36,2.58691754e+06
7.37,2.56651205e+06
7.38,2.54629639e+06
7.39,2.52626852e+06
7.40,2.50642645e+06
7.41,2.48676819e+06
7.42,2.46729178e+06
7.43,2.44799531e+06
7.44,2.42887685e+06
7.45,2.40993453e+06
7.46,2.39116648e+06
7.47,2.37257086e+06
7.48,2.35414585e+06
7.49,2.33588965e+06
7.50,2.31780048e+06
7.51,2.29987660e+06
7.52,2.28211627e+06
7.53,2.26451776e+06
7.54,2.24707940e+06
7.55,2.22979951e+06
7.56,2.21267643e+06
7.57,2.19570853e+06
7.58,2.17889419e+06
7.59,2.16223182e+06
7.60,2.14571984e+06
7.61,2.12935669e+06
7.62,2.11314083e+06
7.63,2.09707073e+06
7.64,2.08114490e+06
7.65,2.06536185e+06
7.66,2.04972010e+06
7.67,2.03421820e+06
7.68,2.01885471e+06
7.69,2.00362822e+06
7.70,1.98853733e+06
7.71,1.97358064e+06
