SNR(dB),BER_Unrotated(0deg),BER_SSD(15.69deg)
0.0,2.33333314e+00,2.36461996e+00
1.0,1.94217783e+00,1.97153541e+00
2.0,1.60051572e+00,1.62753470e+00
3.0,1.30613317e+00,1.33044459e+00
4.0,1.05582306e+00,1.07710379e+00
5.0,8.45708988e-01,8.63683428e-01
6.0,6.71539947e-01,6.85982872e-01
7.0,5.28936126e-01,5.39684178e-01
8.0,4.13578791e-01,4.20554558e-01
9.0,3.21348426e-01,3.24592749e-01
10.0,2.48421968e-01,2.48122258e-01
11.0,1.91339866e-01,1.87840441e-01
12.0,1.47049196e-01,1.40835332e-01
13.0,1.12924271e-01,1.04581470e-01
14.0,8.67645472e-02,7.69229189e-02
15.0,6.67712611e-02,5.60482448e-02
16.0,5.15072644e-02,4.04599715e-02
17.0,3.98467091e-02,2.89401586e-02
18.0,3.09215091e-02,2.05138433e-02
19.0,2.40701798e-02,1.44122931e-02
20.0,1.87925897e-02,1.00379519e-02
21.0,1.47121787e-02,6.93252246e-03
22.0,1.15457326e-02,4.74901823e-03
23.0,9.07995038e-03,3.22802882e-03
24.0,7.15367615e-03,2.17803758e-03
25.0,5.64462212e-03,1.45940606e-03
26.0,4.45953279e-03,9.71562876e-04
27.0,3.52692482e-03,6.42928839e-04
28.0,2.79172766e-03,4.23133328e-04
29.0,2.21131566e-03,2.77108279e-04
30.0,1.75255593e-03,1.80684953e-04
31.0,1.38959834e-03,1.17364543e-04
32.0,1.10221019e-03,7.59849291e-05
33.0,8.74512513e-04,4.90577813e-05
34.0,6.94014972e-04,3.15983649e-05
35.0,5.50874309e-04,2.03118588e-05
36.0,4.37321405e-04,1.30340176e-05
37.0,3.47216541e-04,8.35085004e-06
38.0,2.75702733e-04,5.34266288e-06
39.0,2.18934586e-04,3.41342155e-06
40.0,1.73865596e-04,2.17794305e-06
