Angle(deg),f(R)
0.00,6.00000000e+31
0.01,4.52669878e+09
0.02,1.13167532e+09
0.03,5.02967270e+08
0.04,2.82919453e+08
0.05,1.81068749e+08
0.06,1.25742441e+08
0.07,9.23824222e+07
0.08,7.07304869e+07
0.09,5.58859913e+07
0.10,4.52678110e+07
0.11,3.74115583e+07
0.12,3.14362339e+07
0.13,2.67860265e+07
0.14,2.30962292e+07
0.15,2.01194891e+07
0.16,1.76832454e+07
0.17,1.56641463e+07
0.18,1.39721216e+07
0.19,1.25401611e+07
0.20,1.13175765e+07
0.21,1.02654529e+07
0.22,9.35351341e+06
0.23,8.55791670e+06
0.24,7.85968236e+06
0.25,7.24354850e+06
0.26,6.69713055e+06
0.27,6.21029404e+06
0.28,5.77468129e+06
0.29,5.38335026e+06
0.30,5.03049631e+06
0.31,4.71123565e+06
0.32,4.42143546e+06
0.33,4.15757946e+06
0.34,3.91666074e+06
0.35,3.69609573e+06
0.36,3.49365463e+06
0.37,3.30740482e+06
0.38,3.13566459e+06
0.39,2.97696503e+06
0.40,2.83001852e+06
0.41,2.69369252e+06
0.42,2.56698769e+06
0.43,2.44901954e+06
0.44,2.33900291e+06
0.45,2.23623892e+06
0.46,2.14010382e+06
0.47,2.05003949e+06
0.48,1.96554533e+06
0.49,1.88617132e+06
0.50,1.81151196e+06
0.51,1.74120114e+06
0.52,1.67490758e+06
0.53,1.61233098e+06
0.54,1.55319856e+06
0.55,1.49726214e+06
0.56,1.44429548e+06
0.57,1.39409202e+06
0.58,1.34646284e+06
0.59,1.30123491e+06
0.60,1.25824948e+06
0.61,1.21736071e+06
0.62,1.17843443e+06
0.63,1.14134705e+06
0.64,1.10598451e+06
0.65,1.07224152e+06
0.66,1.04002065e+06
0.67,1.00923171e+06
0.68,9.79791103e+05
0.69,9.51621227e+05
0.70,9.24649992e+05
0.71,8.98810346e+05
0.72,8.74039862e+05
0.73,8.50280358e+05
0.74,8.27477559e+05
0.75,8.05580782e+05
0.76,7.84542656e+05
0.77,7.64318867e+05
0.78,7.44867924e+05
0.79,7.26150944e+05
0.80,7.08131459e+05
0.81,6.90775238e+05
0.82,6.74050125e+05
0.83,6.57925889e+05
0.84,6.42374089e+05
0.85,6.27367946e+05
0.86,6.12882227e+05
0.87,5.98893144e+05
0.88,5.85378251e+05
0.89,5.72316356e+05
0.90,5.59687439e+05
0.91,5.47472573e+05
0.92,5.35653853e+05
0.93,5.24214333e+05
0.94,5.13137963e+05
0.95,5.02409534e+05
0.96,4.92014623e+05
0.97,4.81939549e+05
0.98,4.72171323e+05
0.99,4.62697611e+05
1.00,4.53506692e+05
1.01,4.44587421e+05
1.02,4.35929198e+05
1.03,4.27521935e+05
1.04,4.19356026e+05
1.05,4.11422320e+05
1.06,4.03712096e+05
1.07,3.96217040e+05
1.08,3.88929220e+05
