Angle(deg),f(R)
1.09,3.81841064e+05
1.10,3.74945346e+05
1.11,3.68235163e+05
1.12,3.61703918e+05
1.13,3.55345305e+05
1.14,3.49153294e+05
1.15,3.43122114e+05
1.16,3.37246245e+05
1.17,3.31520399e+05
1.18,3.25939513e+05
1.19,3.20498733e+05
1.20,3.15193410e+05
1.21,3.10019085e+05
1.22,3.04971480e+05
1.23,3.00046490e+05
1.24,2.95240177e+05
1.25,2.90548758e+05
1.26,2.85968601e+05
1.27,2.81496215e+05
1.28,2.77128245e+05
1.29,2.72861466e+05
1.30,2.68692777e+05
1.31,2.64619194e+05
1.32,2.60637846e+05
1.33,2.56745970e+05
1.34,2.52940905e+05
1.35,2.49220088e+05
1.36,2.45581050e+05
1.37,2.42021413e+05
1.38,2.38538884e+05
1.39,2.35131252e+05
1.40,2.31796384e+05
1.41,2.28532223e+05
1.42,2.25336786e+05
1.43,2.22208156e+05
1.44,2.19144484e+05
1.45,2.16143985e+05
1.46,2.13204933e+05
1.47,2.10325663e+05
1.48,2.07504564e+05
1.49,2.04740080e+05
1.50,2.02030706e+05
1.51,1.99374988e+05
1.52,1.96771517e+05
1.53,1.94218933e+05
1.54,1.91715918e+05
1.55,1.89261197e+05
1.56,1.86853536e+05
1.57,1.84491740e+05
1.58,1.82174651e+05
1.59,1.79901148e+05
1.60,1.77670145e+05
1.61,1.75480590e+05
1.62,1.73331462e+05
1.63,1.71221773e+05
1.64,1.69150562e+05
1.65,1.67116902e+05
1.66,1.65119888e+05
1.67,1.63158647e+05
1.68,1.61232329e+05
1.69,1.59340110e+05
1.70,1.57481191e+05
1.71,1.55654793e+05
1.72,1.53860165e+05
1.73,1.52096572e+05
1.74,1.50363304e+05
1.75,1.48659670e+05
1.76,1.46984998e+05
1.77,1.45338636e+05
1.78,1.43719949e+05
1.79,1.42128320e+05
1.80,1.40563150e+05
1.81,1.39023856e+05
1.82,1.37509871e+05
1.83,1.36020643e+05
1.84,1.34555636e+05
1.85,1.33114327e+05
1.86,1.31696208e+05
1.87,1.30300785e+05
1.88,1.28927575e+05
1.89,1.27576110e+05
1.90,1.26245934e+05
1.91,1.24936602e+05
1.92,1.23647681e+05
1.93,1.22378748e+05
1.94,1.21129394e+05
1.95,1.19899217e+05
1.96,1.18687827e+05
1.97,1.17494844e+05
1.98,1.16319896e+05
1.99,1.15162623e+05
2.00,1.14022672e+05
2.01,1.12899698e+05
2.02,1.11793368e+05
2.03,1.10703352e+05
2.04,1.09629333e+05
2.05,1.08571000e+05
2.06,1.07528048e+05
2.07,1.06500180e+05
2.08,1.05487109e+05
2.09,1.04488551e+05
2.10,1.03504230e+05
2.11,1.02533877e+05
2.12,1.01577230e+05
2.13,1.00634031e+05
2.14,9.97040310e+04
2.15,9.87869837e+04
2.16,9.78826501e+04
2.17,9.69907967e+04
2.18,9.61111949e+04
2.19,9.52436216e+04
2.20,9.43878587e+04
2.21,9.35436929e+04
2.22,9.27109158e+04
2.23,9.18893237e+04
2.24,9.10787174e+04
2.25,9.02789021e+04
2.26,8.94896872e+04
2.27,8.87108865e+04
2.28,8.79423177e+04
2.29,8.71838026e+04
2.30,8.64351667e+04
2.31,8.56962396e+04
2.32,8.49668541e+04
2.33,8.42468470e+04
2.34,8.35360584e+04
2.35,8.28343317e+04
2.36,8.21415137e+04
2.37,8.14574546e+04
2.38,8.07820074e+04
2.39,8.01150285e+04
2.40,7.94563772e+04
2.41,7.88059154e+04
2.42,7.81635083e+04
2.43,7.75290236e+04
2.44,7.69023319e+04
2.45,7.62833061e+04
2.46,7.56718221e+04
2.47,7.50677581e+04
2.48,7.44709946e+04
2.49,7.38814148e+04
2.50,7.32989040e+04
2.51,7.27233500e+04
2.52,7.21546425e+04
2.53,7.15926737e+04
2.54,7.10373379e+04
2.55,7.04885311e+04
2.56,6.99461518e+04
2.57,6.94101002e+04
2.58,6.88802785e+04
2.59,6.83565908e+04
2.60,6.78389430e+04
2.61,6.73272429e+04
2.62,6.68213999e+04
2.63,6.63213252e+04
2.64,6.58269318e+04
2.65,6.53381342e+04
2.66,6.48548485e+04
2.67,6.43769924e+04
2.68,6.39044852e+04
2.69,6.34372477e+04
2.70,6.29752020e+04
2.71,6.25182718e+04
2.72,6.20663822e+04
2.73,6.16194596e+04
2.74,6.11774317e+04
2.75,6.07402277e+04
2.76,6.03077780e+04
2.77,5.98800142e+04
2.78,5.94568690e+04
2.79,5.90382768e+04
2.80,5.86241725e+04
2.81,5.82144928e+04
2.82,5.78091751e+04
2.83,5.74081581e+04
2.84,5.70113815e+04
2.85,5.66187860e+04
2.86,5.62303136e+04
2.87,5.58459071e+04
2.88,5.54655103e+04
2.89,5.50890680e+04
2.90,5.47165261e+04
2.91,5.43478312e+04
2.92,5.39829310e+04
2.93,5.36217740e+04
2.94,5.32643096e+04
2.95,5.29104882e+04
2.96,5.25602608e+04
2.97,5.22135795e+04
2.98,5.18703970e+04
2.99,5.15306668e+04
3.00,5.11943434e+04
3.01,5.08613818e+04
3.02,5.05317380e+04
3.03,5.02053686e+04
3.04,4.98822310e+04
3.05,4.95622831e+04
3.06,4.92454838e+04
3.07,4.89317926e+04
3.08,4.86211695e+04
3.09,4.83135754e+04
3.10,4.80089716e+04
3.11,4.77073203e+04
3.12,4.74085843e+04
3.13,4.71127267e+04
3.14,4.68197117e+04
3.15,4.65295036e+04
3.16,4.62420677e+04
3.17,4.59573696e+04
3.18,4.56753757e+04
3.19,4.53960528e+04
3.20,4.51193683e+04
3.21,4.48452901e+04
3.22,4.45737868e+04
3.23,4.43048274e+04
3.24,4.40383814e+04
3.25,4.37744189e+04
3.26,4.35129107e+04
3.27,4.32538277e+04
3.28,4.29971416e+04
3.29,4.27428246e+04
3.30,4.24908494e+04
3.31,4.22411892e+04
3.32,4.19938175e+04
3.33,4.17487087e+04
3.34,4.15058374e+04
3.35,4.12651790e+04
3.36,4.10267091e+04
3.37,4.07904041e+04
3.38,4.05562409e+04
3.39,4.03241969e+04
3.40,4.00942502e+04
3.41,3.98663793e+04
3.42,3.96405636e+04
3.43,3.94167830e+04
3.44,3.91950182e+04
3.45,3.89752507e+04
3.46,3.87574627e+04
3.47,3.85416374e+04
3.48,3.83277590e+04
3.49,3.81158128e+04
3.50,3.79057855e+04
3.51,3.76976649e+04
3.52,3.74914409e+04
3.53,3.72871048e+04
3.54,3.70846507e+04
3.55,3.68840749e+04
3.56,3.66853773e+04
3.57,3.64885616e+04
3.58,3.62936363e+04
3.59,3.61006161e+04
3.60,3.59095233e+04
3.61,3.57203903e+04
3.62,3.55332620e+04
3.63,3.53482006e+04
3.64,3.51652909e+04
3.65,3.49846490e+04
3.66,3.48064345e+04
3.67,3.46308686e+04
3.68,3.44582628e+04
3.69,3.42890637e+04
3.70,3.41239264e+04
3.71,3.39638393e+04
3.72,3.38103474e+04
3.73,3.36659695e+04
3.74,3.35350365e+04
3.75,3.34255085e+04
3.76,3.33533417e+04
3.77,3.33544896e+04
3.78,3.35247190e+04
3.79,3.41956098e+04
3.80,3.72384183e+04
3.81,9.02759903e+04
3.82,5.95170684e+04
3.83,3.57021674e+04
3.84,3.31817603e+04
3.85,3.23429407e+04
3.86,3.19037048e+04
3.87,3.16077025e+04
3.88,3.13764965e+04
3.89,3.11797075e+04
3.90,3.10036989e+04
3.91,3.08417658e+04
3.92,3.06904866e+04
3.93,3.05482049e+04
3.94,3.04143651e+04
3.95,3.02892466e+04
3.96,3.01739288e+04
3.97,3.00704462e+04
3.98,2.99821747e+04
3.99,2.99145918e+04
4.00,2.98767419e+04
4.01,2.98841751e+04
4.02,2.99652650e+04
4.03,3.01761440e+04
4.04,3.06408145e+04
4.05,3.16798073e+04
4.06,3.43489941e+04
4.07,4.40269727e+04
4.08,1.48948009e+05
4.09,2.26290419e+05
4.10,4.64412171e+04
4.11,3.43213553e+04
4.12,3.10181404e+04
4.13,2.96119724e+04
4.14,2.88500148e+04
4.15,2.83668076e+04
4.16,2.80244372e+04
4.17,2.77615968e+04
4.18,2.75477830e+04
4.19,2.73665632e+04
4.20,2.72086026e+04
4.21,2.70684631e+04
4.22,2.69430299e+04
4.23,2.68307115e+04
4.24,2.67310450e+04
4.25,2.66445445e+04
4.26,2.65727311e+04
4.27,2.65183406e+04
4.28,2.64857657e+04
4.29,2.64818668e+04
4.30,2.65174346e+04
4.31,2.66099057e+04
4.32,2.67886615e+04
4.33,2.71061097e+04
4.34,2.76630180e+04
4.35,2.86736286e+04
4.36,3.06619656e+04
4.37,3.52087067e+04
4.38,4.91142911e+04
4.39,1.37080928e+05
4.40,5.10741180e+06
4.41,9.12449651e+04
4.42,4.31517668e+04
4.43,3.29668566e+04
4.44,2.91690406e+04
4.45,2.73178433e+04
4.46,2.62561800e+04
4.47,2.55752214e+04
4.48,2.51007963e+04
4.49,2.47485918e+04
4.50,2.44738298e+04
4.51,2.42510161e+04
4.52,2.40648539e+04
4.53,2.39058089e+04
4.54,2.37677985e+04
4.55,2.36469256e+04
4.56,2.35407618e+04
4.57,2.34479391e+04
4.58,2.33679276e+04
4.59,2.33009388e+04
4.60,2.32479286e+04
4.61,2.32106961e+04
4.62,2.31920998e+04
4.63,2.31964368e+04
4.64,2.32300805e+04
4.65,2.33025531e+04
4.66,2.34283744e+04
4.67,2.36303790e+04
4.68,2.39459749e+04
4.69,2.44397350e+04
4.70,2.52308408e+04
4.71,2.65593634e+04
4.72,2.89697043e+04
4.73,3.39252438e+04
4.74,4.65692524e+04
4.75,9.68595667e+04
4.76,1.08087822e+06
4.77,3.68783081e+05
4.78,7.36304492e+04
4.79,4.12685717e+04
4.80,3.15998081e+04
4.81,2.74371161e+04
4.82,2.52529407e+04
4.83,2.39520344e+04
4.84,2.31047069e+04
4.85,2.25145127e+04
4.86,2.20813466e+04
4.87,2.17498925e+04
4.88,2.14876140e+04
4.89,2.12744133e+04
4.90,2.10973907e+04
4.91,2.09480240e+04
4.92,2.08205723e+04
4.93,2.07111366e+04
4.94,2.06170913e+04
4.95,2.05367330e+04
4.96,2.04690659e+04
4.97,2.04136751e+04
4.98,2.03706644e+04
4.99,2.03406438e+04
5.00,2.03247642e+04
5.01,2.03248025e+04
5.02,2.03433081e+04
5.03,2.03838346e+04
5.04,2.04512948e+04
5.05,2.05525059e+04
5.06,2.06970379e+04
5.07,2.08985648e+04
5.08,2.11770831e+04
5.09,2.15626898e+04
5.10,2.21023029e+04
5.11,2.28722661e+04
5.12,2.40035438e+04
5.13,2.57362372e+04
5.14,2.85500377e+04
5.15,3.35208361e+04
5.16,4.34944316e+04
5.17,6.82087418e+04
5.18,1.61273751e+05
5.19,1.53617733e+06
5.20,9.77493807e+05
5.21,1.40891135e+05
5.22,6.35669173e+04
5.23,4.15095198e+04
5.24,3.22631230e+04
5.25,2.75168223e+04
5.26,2.47511494e+04
5.27,2.29920773e+04
5.28,2.17986955e+04
5.29,2.09478756e+04
5.30,2.03168977e+04
5.31,1.98337651e+04
5.32,1.94540097e+04
5.33,1.91489961e+04
5.34,1.88996439e+04
5.35,1.86928790e+04
5.36,1.85195391e+04
5.37,1.83730920e+04
5.38,1.82488261e+04
5.39,1.81433272e+04
5.40,1.80541325e+04
5.41,1.79795001e+04
5.42,1.79182543e+04
5.43,1.78696842e+04
5.44,1.78334804e+04
5.45,1.78097016e+04
5.46,1.77987652e+04
5.47,1.78014616e+04
5.48,1.78189922e+04
5.49,1.78530338e+04
5.50,1.79058382e+04
5.51,1.79803741e+04
5.52,1.80805325e+04
5.53,1.82114173e+04
5.54,1.83797649e+04
5.55,1.85945555e+04
5.56,1.88679211e+04
5.57,1.92165238e+04
5.58,1.96637017e+04
5.59,2.02429120e+04
5.60,2.10034479e+04
5.61,2.20203203e+04
5.62,2.34121705e+04
5.63,2.53756365e+04
5.64,2.82560166e+04
5.65,3.27057048e+04
5.66,4.00813247e+04
5.67,5.36003757e+04
5.68,8.25189819e+04
5.69,1.63400846e+05
5.70,5.74606296e+05
5.71,1.78387205e+08
5.72,7.24457742e+05
5.73,1.81869848e+05
5.74,8.77758787e+04
5.75,5.55788240e+04
5.76,4.08366301e+04
5.77,3.28718233e+04
5.78,2.80796771e+04
5.79,2.49688395e+04
5.80,2.28316682e+04
5.81,2.12973498e+04
5.82,2.01563493e+04
5.83,1.92830241e+04
5.84,1.85983355e+04
5.85,1.80505577e+04
5.86,1.76047003e+04
5.87,1.72364213e+04
5.88,1.69283758e+04
5.89,1.66679491e+04
5.90,1.64458039e+04
5.91,1.62549252e+04
5.92,1.60899776e+04
5.93,1.59468633e+04
5.94,1.58224129e+04
5.95,1.57141667e+04
5.96,1.56202164e+04
5.97,1.55390918e+04
5.98,1.54696770e+04
5.99,1.54111510e+04
6.00,1.53629443e+04
6.01,1.53247097e+04
6.02,1.52963039e+04
6.03,1.52777774e+04
6.04,1.52693746e+04
6.05,1.52715404e+04
6.06,1.52849368e+04
6.07,1.53104682e+04
6.08,1.53493194e+04
6.09,1.54030069e+04
6.10,1.54734490e+04
6.11,1.55630611e+04
6.12,1.56748823e+04
6.13,1.58127491e+04
6.14,1.59815310e+04
6.15,1.61874577e+04
6.16,1.64385777e+04
6.17,1.67454111e+04
6.18,1.71218983e+04
6.19,1.75868049e+04
6.20,1.81658527e+04
6.21,1.88950400e+04
6.22,1.98259702e+04
6.23,2.10347132e+04
6.24,2.26371461e+04
6.25,2.48168171e+04
6.26,2.78785378e+04
6.27,3.23589208e+04
6.28,3.92751879e+04
6.29,5.07520613e+04
6.30,7.18606441e+04
6.31,1.17331593e+05
6.32,2.46364104e+05
6.33,9.29368101e+05
6.34,2.58941761e+09
6.35,1.00237501e+06
6.36,2.55360775e+05
6.37,1.19837564e+05
6.38,7.27366808e+04
6.39,5.10049772e+04
6.40,3.92156262e+04
6.41,3.21077578e+04
6.42,2.74905983e+04
6.43,2.43198274e+04
6.44,2.20463087e+04
6.45,2.03588918e+04
6.46,1.90705796e+04
6.47,1.80635035e+04
6.48,1.72603834e+04
6.49,1.66088458e+04
6.50,1.60723812e+04
6.51,1.56249131e+04
6.52,1.52474189e+04
6.53,1.49257625e+04
6.54,1.46492662e+04
6.55,1.44097480e+04
6.56,1.42008574e+04
6.57,1.40176099e+04
6.58,1.38560540e+04
6.59,1.37130303e+04
6.60,1.35859941e+04
6.61,1.34728834e+04
6.62,1.33720198e+04
6.63,1.32820332e+04
6.64,1.32018039e+04
6.65,1.31304184e+04
6.66,1.30671348e+04
6.67,1.30113560e+04
6.68,1.29626095e+04
6.69,1.29205310e+04
6.70,1.28848528e+04
6.71,1.28553950e+04
6.72,1.28320593e+04
6.73,1.28148252e+04
6.74,1.28037491e+04
6.75,1.27989645e+04
6.76,1.28006847e+04
6.77,1.28092082e+04
6.78,1.28249258e+04
6.79,1.28483310e+04
6.80,1.28800333e+04
6.81,1.29207757e+04
6.82,1.29714567e+04
6.83,1.30331584e+04
6.84,1.31071828e+04
6.85,1.31950966e+04
6.86,1.32987899e+04
6.87,1.34205510e+04
6.88,1.35631634e+04
6.89,1.37300329e+04
6.90,1.39253546e+04
6.91,1.41543370e+04
6.92,1.44235033e+04
6.93,1.47411048e+04
6.94,1.51176942e+04
6.95,1.55669351e+04
6.96,1.61067648e+04
6.97,1.67610988e+04
6.98,1.75623848e+04
6.99,1.85555281e+04
7.00,1.98040978e+04
7.01,2.14004658e+04
7.02,2.34830062e+04
7.03,2.62665895e+04
7.04,3.00995578e+04
7.05,3.55771347e+04
7.06,4.37855302e+04
7.07,5.68821728e+04
7.08,7.96676037e+04
7.09,1.24692458e+05
7.10,2.34087864e+05
7.11,6.30826962e+05
7.12,5.56852366e+06
7.13,5.64167335e+06
7.14,6.33473060e+05
7.15,2.34566742e+05
7.16,1.24756712e+05
7.17,7.95763166e+04
7.18,5.67029016e+04
7.19,4.35420038e+04
7.20,3.52793996e+04
7.21,2.97524542e+04
7.22,2.58726817e+04
7.23,2.30437562e+04
7.24,2.09167576e+04
7.25,1.92764928e+04
7.26,1.79843980e+04
7.27,1.69479856e+04
7.28,1.61036134e+04
7.29,1.54063293e+04
7.30,1.48236554e+04
7.31,1.43316573e+04
7.32,1.39123866e+04
7.33,1.35521751e+04
7.34,1.32404708e+04
7.35,1.29690283e+04
7.36,1.27313358e+04
7.37,1.25222028e+04
7.38,1.23374599e+04
7.39,1.21737375e+04
7.40,1.20283020e+04
7.41,1.18989333e+04
7.42,1.17838355e+04
7.43,1.16815718e+04
7.44,1.15910220e+04
7.45,1.15113606e+04
7.46,1.14420572e+04
7.47,1.13829069e+04
7.48,1.13341036e+04
7.49,1.12963862e+04
7.50,1.12713159e+04
7.51,1.12618132e+04
7.52,1.12732424e+04
7.53,1.13157686e+04
7.54,1.14099969e+04
7.55,1.16023489e+04
7.56,1.20154455e+04
7.57,1.30663231e+04
7.58,1.70180429e+04
7.59,7.18486344e+04
7.60,5.66861540e+04
7.61,1.64432576e+04
7.62,1.29154638e+04
7.63,1.19287109e+04
7.64,1.15267024e+04
7.65,1.13317300e+04
7.66,1.12301905e+04
7.67,1.11784914e+04
7.68,1.11571134e+04
7.69,1.11563691e+04
7.70,1.11711222e+04
7.71,1.11985614e+04
7.72,1.12371674e+04
7.73,1.12861967e+04
7.74,1.13454112e+04
7.75,1.14149308e+04
7.76,1.14951544e+04
7.77,1.15867190e+04
7.78,1.16904846e+04
7.79,1.18075349e+04
7.80,1.19391921e+04
7.81,1.20870435e+04
7.82,1.22529798e+04
7.83,1.24392462e+04
7.84,1.26485098e+04
7.85,1.28839451e+04
7.86,1.31493444e+04
7.87,1.34492594e+04
7.88,1.37891836e+04
7.89,1.41757900e+04
7.90,1.46172436e+04
7.91,1.51236150e+04
7.92,1.57074357e+04
7.93,1.63844529e+04
7.94,1.71746688e+04
7.95,1.81037956e+04
7.96,1.92053258e+04
7.97,2.05235351e+04
7.98,2.21179297e+04
7.99,2.40699925e+04
8.00,2.64936906e+04
8.01,2.95523479e+04
8.02,3.34867044e+04
8.03,3.86635162e+04
8.04,4.56638652e+04
8.05,5.54531043e+04
8.06,6.97316254e+04
8.07,9.17250922e+04
8.08,1.28177798e+05
8.09,1.95209223e+05
8.10,3.39745908e+05
8.11,7.51111367e+05
8.12,2.94859000e+06
8.13,2.86405021e+10
8.14,3.07143708e+06
8.15,7.66420760e+05
8.16,3.44225308e+05
8.17,1.97034702e+05
8.18,1.29043105e+05
8.19,9.21529237e+04
8.20,6.99254683e+04
8.21,5.55053555e+04
8.22,4.56213622e+04
8.23,3.85520585e+04
8.24,3.33214607e+04
8.25,2.93427214e+04
8.26,2.62457741e+04
8.27,2.37878867e+04
8.28,2.18044890e+04
8.29,2.01808085e+04
8.30,1.88348270e+04
8.31,1.77066746e+04
8.32,1.67518238e+04
8.33,1.59366055e+04
8.34,1.52351827e+04
8.35,1.46274643e+04
8.36,1.40976405e+04
8.37,1.36331366e+04
8.38,1.32238532e+04
8.39,1.28616079e+04
8.40,1.25397191e+04
8.41,1.22526920e+04
8.42,1.19959802e+04
8.43,1.17658017e+04
8.44,1.15589969e+04
8.45,1.13729181e+04
8.46,1.12053421e+04
8.47,1.10544030e+04
8.48,1.09185387e+04
8.49,1.07964504e+04
8.50,1.06870715e+04
8.51,1.05895458e+04
8.52,1.05032141e+04
8.53,1.04276086e+04
8.54,1.03624564e+04
8.55,1.03076935e+04
8.56,1.02634921e+04
8.57,1.02303062e+04
8.58,1.02089420e+04
8.59,1.02006674e+04
8.60,1.02073793e+04
8.61,1.02318652e+04
8.62,1.02782177e+04
8.63,1.03525137e+04
8.64,1.04639643e+04
8.65,1.06269448e+04
8.66,1.08647660e+04
8.67,1.12171252e+04
8.68,1.17559878e+04
8.69,1.26228634e+04
8.70,1.41280817e+04
8.71,1.70655589e+04
8.72,2.40073872e+04
8.73,4.76303211e+04
8.74,2.72270465e+05
8.75,6.87127404e+05
8.76,6.15480279e+04
8.77,2.69929557e+04
8.78,1.81542457e+04
8.79,1.46431901e+04
8.80,1.29084815e+04
8.81,1.19328516e+04
8.82,1.13363535e+04
8.83,1.09510095e+04
8.84,1.06932901e+04
8.85,1.05178951e+04
8.86,1.03985699e+04
8.87,1.03192867e+04
8.88,1.02698518e+04
8.89,1.02435710e+04
8.90,1.02359419e+04
8.91,1.02438875e+04
8.92,1.02652900e+04
8.93,1.02986987e+04
8.94,1.03431418e+04
8.95,1.03980029e+04
8.96,1.04629382e+04
8.97,1.05378217e+04
8.98,1.06227081e+04
8.99,1.07178089e+04
9.00,1.08234779e+04
9.01,1.09402032e+04
9.02,1.10686054e+04
9.03,1.12094403e+04
9.04,1.13636057e+04
9.05,1.15321522e+04
9.06,1.17162988e+04
9.07,1.19174521e+04
9.08,1.21372306e+04
9.09,1.23774958e+04
9.10,1.26403883e+04
9.11,1.29283737e+04
9.12,1.32442978e+04
9.13,1.35914534e+04
9.14,1.39736637e+04
9.15,1.43953839e+04
9.16,1.48618268e+04
9.17,1.53791206e+04
9.18,1.59545050e+04
9.19,1.65965797e+04
9.20,1.73156208e+04
9.21,1.81239858e+04
9.22,1.90366391e+04
9.23,2.00718384e+04
9.24,2.12520430e+04
9.25,2.26051271e+04
9.26,2.41660240e+04
9.27,2.59789834e+04
9.28,2.81007187e+04
9.29,3.06048673e+04
9.30,3.35884326e+04
9.31,3.71812781e+04
9.32,4.15604484e+04
9.33,4.69723370e+04
9.34,5.37680320e+04
9.35,6.24616130e+04
9.36,7.38301590e+04
9.37,8.90934192e+04
9.38,1.10254869e+05
9.39,1.40793887e+05
9.40,1.87192292e+05
9.41,2.62679163e+05
9.42,3.97819397e+05
9.43,6.77119436e+05
9.44,1.41212322e+06
9.45,4.61843337e+06
9.46,1.29851030e+08
9.47,1.18850990e+07
9.48,2.24747750e+06
9.49,9.20881650e+05
9.50,5.00077474e+05
9.51,3.14866158e+05
9.52,2.17309183e+05
9.53,1.59698867e+05
9.54,1.22866275e+05
9.55,9.78997752e+04
9.56,8.01996622e+04
9.57,6.71968504e+04
9.58,5.73649261e+04
9.59,4.97506801e+04
9.60,4.37339458e+04
9.61,3.88971307e+04
9.62,3.49507061e+04
9.63,3.16888153e+04
9.64,2.89618497e+04
9.65,2.66589661e+04
9.66,2.46966306e+04
9.67,2.30109254e+04
9.68,2.15522713e+04
9.69,2.02817346e+04
9.70,1.91683987e+04
9.71,1.81874625e+04
9.72,1.73188449e+04
9.73,1.65461478e+04
9.74,1.58558754e+04
9.75,1.52368393e+04
9.76,1.46797028e+04
9.77,1.41766254e+04
9.78,1.37209857e+04
9.79,1.33071619e+04
9.80,1.29303578e+04
9.81,1.25864623e+04
9.82,1.22719376e+04
9.83,1.19837271e+04
9.84,1.17191811e+04
9.85,1.14759954e+04
9.86,1.12521612e+04
9.87,1.10459229e+04
9.88,1.08557439e+04
9.89,1.06802776e+04
9.90,1.05183434e+04
9.91,1.03689069e+04
9.92,1.02310631e+04
9.93,1.01040226e+04
9.94,9.98710080e+03
9.95,9.87970845e+03
9.96,9.78134491e+03
9.97,9.69159290e+03
9.98,9.61011517e+03
9.99,9.53665301e+03
10.00,9.47102653e+03
10.01,9.41313723e+03
10.02,9.36297275e+03
10.03,9.32061460e+03
10.04,9.28624934e+03
10.05,9.26018414e+03
10.06,9.24286805e+03
10.07,9.23492081e+03
10.08,9.23717167e+03
10.09,9.25071218e+03
10.10,9.27696809e+03
10.11,9.31779849e+03
10.12,9.37563424e+03
10.13,9.45367382e+03
10.14,9.55616550e+03
10.15,9.68882151e+03
10.16,9.85943938e+03
10.17,1.00788579e+04
10.18,1.03624696e+04
10.19,1.07326940e+04
10.20,1.12231754e+04
10.21,1.18862337e+04
10.22,1.28067976e+04
10.23,1.41301738e+04
10.24,1.61219058e+04
10.25,1.93103324e+04
10.26,2.48737895e+04
10.27,3.59032856e+04
10.28,6.28320313e+04
10.29,1.61497714e+05
10.30,1.44815625e+06
10.31,1.28165349e+06
10.32,1.55336447e+05
10.33,6.14942594e+04
10.34,3.54072735e+04
10.35,2.46309861e+04
10.36,1.91672373e+04
10.37,1.60245599e+04
10.38,1.40556829e+04
10.39,1.27440799e+04
10.40,1.18293613e+04
10.41,1.11687087e+04
10.42,1.06784890e+04
10.43,1.03070975e+04
10.44,1.00213005e+04
10.45,9.79892049e+03
10.46,9.62470814e+03
10.47,9.48790688e+03
10.48,9.38076205e+03
10.49,9.29757745e+03
10.50,9.23410146e+03
10.51,9.18711729e+03
10.52,9.15416352e+03
10.53,9.13333968e+03
10.54,9.12316854e+03
10.55,9.12249713e+03
10.56,9.13042454e+03
10.57,9.14624861e+03
10.58,9.16942620e+03
10.59,9.19954322e+03
10.60,9.23629200e+03
10.61,9.27945395e+03
10.62,9.32888644e+03
10.63,9.38451270e+03
10.64,9.44631423e+03
10.65,9.51432514e+03
10.66,9.58862798e+03
10.67,9.66935090e+03
10.68,9.75666589e+03
10.69,9.85078783e+03
10.70,9.95197448e+03
10.71,1.00605271e+04
10.72,1.01767919e+04
10.73,1.03011619e+04
10.74,1.04340798e+04
