Angle(deg),Theoretical_BER
0.00,1.22500000e+25
0.01,6.62453557e+01
0.02,1.65613464e+01
0.03,7.36060389e+00
0.04,4.14034402e+00
0.05,2.64982374e+00
0.06,1.84015841e+00
0.07,1.35195574e+00
0.08,1.03509344e+00
0.09,8.17853687e-01
0.10,6.62463370e-01
0.11,5.47492109e-01
0.12,4.60047036e-01
0.13,3.91994207e-01
0.14,3.37996370e-01
0.15,2.94433671e-01
0.16,2.58780794e-01
0.17,2.29232562e-01
0.18,2.04470856e-01
0.19,1.83515026e-01
0.20,1.65623277e-01
0.21,1.50226117e-01
0.22,1.36880462e-01
0.23,1.25237410e-01
0.24,1.15019194e-01
0.25,1.06002467e-01
0.26,9.80059873e-02
0.27,9.08814443e-02
0.28,8.45065285e-02
0.29,7.87796475e-02
0.30,7.36158540e-02
0.31,6.89436770e-02
0.32,6.47026351e-02
0.33,6.08412700e-02
0.34,5.73155775e-02
0.35,5.40877486e-02
0.36,5.11251514e-02
0.37,4.83995036e-02
0.38,4.58861942e-02
0.39,4.35637267e-02
0.40,4.14132575e-02
0.41,3.94182128e-02
0.42,3.75639678e-02
0.43,3.58375785e-02
0.44,3.42275547e-02
0.45,3.27236687e-02
0.46,3.13167921e-02
0.47,2.99987574e-02
0.48,2.87622387e-02
0.49,2.76006501e-02
0.50,2.65080574e-02
0.51,2.54791027e-02
0.52,2.45089381e-02
0.53,2.35931688e-02
0.54,2.27278030e-02
0.55,2.19092085e-02
0.56,2.11340746e-02
0.57,2.03993783e-02
0.58,1.97023550e-02
0.59,1.90404724e-02
0.60,1.84114073e-02
0.61,1.78130256e-02
0.62,1.72433638e-02
0.63,1.67006128e-02
0.64,1.61831040e-02
0.65,1.56892961e-02
0.66,1.52177635e-02
0.67,1.47671863e-02
0.68,1.43363411e-02
0.69,1.39240922e-02
0.70,1.35293847e-02
0.71,1.31512372e-02
0.72,1.27887362e-02
0.73,1.24410302e-02
0.74,1.21073250e-02
0.75,1.17868789e-02
0.76,1.14789985e-02
0.77,1.11830355e-02
0.78,1.08983825e-02
0.79,1.06244707e-02
0.80,1.03607662e-02
0.81,1.01067681e-02
0.82,9.86200589e-03
0.83,9.62603713e-03
0.84,9.39844559e-03
0.85,9.17883937e-03
0.86,8.96684922e-03
0.87,8.76212702e-03
0.88,8.56434427e-03
0.89,8.37319086e-03
0.90,8.18837378e-03
0.91,8.00961606e-03
0.92,7.83665568e-03
0.93,7.66924465e-03
0.94,7.50714807e-03
0.95,7.35014336e-03
0.96,7.19801948e-03
0.97,7.05057619e-03
0.98,6.90762342e-03
0.99,6.76898067e-03
1.00,6.63447639e-03
1.01,6.50394750e-03
1.02,6.37723887e-03
1.03,6.25420286e-03
1.04,6.13469890e-03
1.05,6.01859308e-03
1.06,5.90575777e-03
1.07,5.79607129e-03
1.08,5.68941754e-03
1.09,5.58568577e-03
1.10,5.48477018e-03
1.11,5.38656976e-03
1.12,5.29098798e-03
1.13,5.19793254e-03
1.14,5.10731520e-03
1.15,5.01905152e-03
1.16,4.93306070e-03
1.17,4.84926535e-03
1.18,4.76759138e-03
1.19,4.68796778e-03
1.20,4.61032649e-03
1.21,4.53460224e-03
1.22,4.46073245e-03
1.23,4.38865706e-03
1.24,4.31831840e-03
1.25,4.24966114e-03
1.26,4.18263210e-03
1.27,4.11718021e-03
1.28,4.05325637e-03
1.29,3.99081339e-03
1.30,3.92980587e-03
1.31,3.87019016e-03
1.32,3.81192424e-03
1.33,3.75496766e-03
1.34,3.69928149e-03
1.35,3.64482823e-03
1.36,3.59157174e-03
1.37,3.53947722e-03
1.38,3.48851111e-03
1.39,3.43864104e-03
1.40,3.38983583e-03
1.41,3.34206536e-03
1.42,3.29530059e-03
1.43,3.24951349e-03
1.44,3.20467700e-03
1.45,3.16076498e-03
1.46,3.11775220e-03
1.47,3.07561426e-03
1.48,3.03432761e-03
1.49,2.99386946e-03
1.50,2.95421781e-03
1.51,2.91535134e-03
1.52,2.87724948e-03
1.53,2.83989229e-03
1.54,2.80326050e-03
1.55,2.76733545e-03
1.56,2.73209907e-03
1.57,2.69753388e-03
1.58,2.66362293e-03
1.59,2.63034983e-03
1.60,2.59769867e-03
1.61,2.56565405e-03
1.62,2.53420103e-03
1.63,2.50332516e-03
1.64,2.47301239e-03
1.65,2.44324912e-03
1.66,2.41402214e-03
1.67,2.38531864e-03
1.68,2.35712621e-03
1.69,2.32943278e-03
1.70,2.30222664e-03
1.71,2.27549643e-03
1.72,2.24923112e-03
1.73,2.22341998e-03
1.74,2.19805260e-03
1.75,2.17311888e-03
1.76,2.14860898e-03
1.77,2.12451335e-03
1.78,2.10082271e-03
1.79,2.07752804e-03
1.80,2.05462056e-03
1.81,2.03209173e-03
1.82,2.00993327e-03
1.83,1.98813709e-03
1.84,1.96669534e-03
1.85,1.94560038e-03
1.86,1.92484477e-03
1.87,1.90442128e-03
1.88,1.88432285e-03
1.89,1.86454262e-03
1.90,1.84507392e-03
1.91,1.82591023e-03
1.92,1.80704522e-03
1.93,1.78847271e-03
1.94,1.77018669e-03
1.95,1.75218130e-03
1.96,1.73445082e-03
1.97,1.71698969e-03
1.98,1.69979249e-03
1.99,1.68285390e-03
2.00,1.66616879e-03
2.01,1.64973212e-03
2.02,1.63353898e-03
2.03,1.61758458e-03
2.04,1.60186425e-03
2.05,1.58637344e-03
2.06,1.57110771e-03
2.07,1.55606270e-03
2.08,1.54123420e-03
2.09,1.52661806e-03
2.10,1.51221026e-03
2.11,1.49800684e-03
2.12,1.48400397e-03
2.13,1.47019789e-03
2.14,1.45658492e-03
2.15,1.44316148e-03
2.16,1.42992408e-03
2.17,1.41686928e-03
2.18,1.40399376e-03
2.19,1.39129423e-03
2.20,1.37876751e-03
2.21,1.36641048e-03
2.22,1.35422008e-03
2.23,1.34219335e-03
2.24,1.33032735e-03
2.25,1.31861923e-03
2.26,1.30706622e-03
2.27,1.29566558e-03
2.28,1.28441465e-03
2.29,1.27331081e-03
2.30,1.26235152e-03
2.31,1.25153428e-03
2.32,1.24085663e-03
2.33,1.23031620e-03
2.34,1.21991065e-03
2.35,1.20963767e-03
2.36,1.19949503e-03
2.37,1.18948054e-03
2.38,1.17959204e-03
2.39,1.16982743e-03
2.40,1.16018465e-03
2.41,1.15066168e-03
2.42,1.14125655e-03
2.43,1.13196732e-03
2.44,1.12279210e-03
2.45,1.11372902e-03
2.46,1.10477627e-03
2.47,1.09593206e-03
2.48,1.08719466e-03
2.49,1.07856234e-03
2.50,1.07003342e-03
2.51,1.06160627e-03
2.52,1.05327927e-03
2.53,1.04505085e-03
2.54,1.03691944e-03
2.55,1.02888354e-03
2.56,1.02094165e-03
2.57,1.01309232e-03
2.58,1.00533411e-03
2.59,9.97665617e-04
2.60,9.90085463e-04
2.61,9.82592298e-04
2.62,9.75184797e-04
2.63,9.67861659e-04
2.64,9.60621609e-04
2.65,9.53463395e-04
2.66,9.46385788e-04
2.67,9.39387585e-04
2.68,9.32467601e-04
2.69,9.25624676e-04
2.70,9.18857670e-04
2.71,9.12165466e-04
2.72,9.05546966e-04
2.73,8.99001091e-04
2.74,8.92526784e-04
2.75,8.86123005e-04
2.76,8.79788734e-04
2.77,8.73522971e-04
2.78,8.67324730e-04
2.79,8.61193046e-04
2.80,8.55126969e-04
2.81,8.49125568e-04
2.82,8.43187927e-04
2.83,8.37313146e-04
2.84,8.31500343e-04
2.85,8.25748648e-04
2.86,8.20057208e-04
2.87,8.14425186e-04
2.88,8.08851758e-04
2.89,8.03336114e-04
2.90,7.97877459e-04
2.91,7.92475010e-04
2.92,7.87128001e-04
2.93,7.81835674e-04
2.94,7.76597288e-04
2.95,7.71412112e-04
2.96,7.66279429e-04
2.97,7.61198533e-04
2.98,7.56168730e-04
2.99,7.51189339e-04
3.00,7.46259687e-04
3.01,7.41379116e-04
3.02,7.36546977e-04
3.03,7.31762631e-04
3.04,7.27025450e-04
3.05,7.22334818e-04
3.06,7.17690127e-04
3.07,7.13090779e-04
3.08,7.08536188e-04
3.09,7.04025773e-04
3.10,6.99558967e-04
3.11,6.95135210e-04
3.12,6.90753950e-04
3.13,6.86414647e-04
3.14,6.82116765e-04
3.15,6.77859780e-04
3.16,6.73643176e-04
3.17,6.69466444e-04
3.18,6.65329084e-04
3.19,6.61230601e-04
3.20,6.57170512e-04
3.21,6.53148339e-04
3.22,6.49163612e-04
3.23,6.45215868e-04
3.24,6.41304651e-04
3.25,6.37429512e-04
3.26,6.33590010e-04
3.27,6.29785710e-04
3.28,6.26016183e-04
3.29,6.22281006e-04
3.30,6.18579765e-04
3.31,6.14912050e-04
3.32,6.11277458e-04
3.33,6.07675592e-04
3.34,6.04106061e-04
3.35,6.00568478e-04
3.36,5.97062466e-04
3.37,5.93587649e-04
3.38,5.90143659e-04
3.39,5.86730133e-04
3.40,5.83346714e-04
3.41,5.79993048e-04
3.42,5.76668789e-04
3.43,5.73373594e-04
3.44,5.70107126e-04
3.45,5.66869053e-04
3.46,5.63659046e-04
3.47,5.60476784e-04
3.48,5.57321947e-04
3.49,5.54194222e-04
3.50,5.51093299e-04
3.51,5.48018875e-04
3.52,5.44970648e-04
3.53,5.41948321e-04
3.54,5.38951604e-04
3.55,5.35980207e-04
3.56,5.33033848e-04
3.57,5.30112246e-04
3.58,5.27215124e-04
3.59,5.24342211e-04
3.60,5.21493238e-04
3.61,5.18667941e-04
3.62,5.15866058e-04
3.63,5.13087333e-04
3.64,5.10331510e-04
3.65,5.07598339e-04
3.66,5.04887574e-04
3.67,5.02198971e-04
3.68,4.99532288e-04
3.69,4.96887290e-04
3.70,4.94263742e-04
3.71,4.91661414e-04
3.72,4.89080077e-04
3.73,4.86519507e-04
3.74,4.83979483e-04
3.75,4.81459785e-04
3.76,4.78960198e-04
3.77,4.76480509e-04
