Angle(deg),BER
2.45,2.88851421e-03
2.46,2.88073244e-03
2.47,2.87297457e-03
2.48,2.86524052e-03
2.49,2.85753023e-03
2.50,2.84984363e-03
2.51,2.84218067e-03
2.52,2.83454129e-03
2.53,2.82692541e-03
2.54,2.81933299e-03
2.55,2.81176395e-03
2.56,2.80421824e-03
2.57,2.79669579e-03
2.58,2.78919655e-03
2.59,2.78172045e-03
2.60,2.77426743e-03
2.61,2.76683744e-03
2.62,2.75943041e-03
2.63,2.75204629e-03
2.64,2.74468501e-03
2.65,2.73734652e-03
2.66,2.73003076e-03
2.67,2.72273767e-03
2.68,2.71546719e-03
2.69,2.70821927e-03
2.70,2.70099385e-03
2.71,2.69379087e-03
2.72,2.68661028e-03
2.73,2.67945202e-03
2.74,2.67231604e-03
2.75,2.66520229e-03
2.76,2.65811070e-03
2.77,2.65104123e-03
2.78,2.64399382e-03
2.79,2.63696842e-03
2.80,2.62996498e-03
2.81,2.62298345e-03
2.82,2.61602378e-03
2.83,2.60908591e-03
2.84,2.60216980e-03
2.85,2.59527540e-03
2.86,2.58840266e-03
2.87,2.58155153e-03
2.88,2.57472197e-03
2.89,2.56791393e-03
2.90,2.56112737e-03
2.91,2.55436224e-03
2.92,2.54761850e-03
2.93,2.54089611e-03
2.94,2.53419502e-03
2.95,2.52751519e-03
2.96,2.52085658e-03
2.97,2.51421916e-03
2.98,2.50760289e-03
2.99,2.50100773e-03
3.00,2.49443363e-03
3.01,2.48788058e-03
3.02,2.48134853e-03
3.03,2.47483746e-03
3.04,2.46834732e-03
3.05,2.46187809e-03
3.06,2.45542975e-03
3.07,2.44900225e-03
3.08,2.44259559e-03
3.09,2.43620972e-03
3.10,2.42984464e-03
3.11,2.42350030e-03
3.12,2.41717671e-03
3.13,2.41087382e-03
3.14,2.40459163e-03
3.15,2.39833012e-03
3.16,2.39208928e-03
3.17,2.38586908e-03
3.18,2.37966952e-03
3.19,2.37349059e-03
3.20,2.36733227e-03
3.21,2.36119457e-03
3.22,2.35507747e-03
3.23,2.34898098e-03
3.24,2.34290508e-03
3.25,2.33684978e-03
3.26,2.33081508e-03
3.27,2.32480099e-03
3.28,2.31880749e-03
3.29,2.31283461e-03
3.30,2.30688234e-03
3.31,2.30095070e-03
3.32,2.29503969e-03
3.33,2.28914933e-03
3.34,2.28327962e-03
3.35,2.27743057e-03
3.36,2.27160221e-03
3.37,2.26579454e-03
3.38,2.26000758e-03
