SNR(dB),BER_Unrotated(0deg),BER_SSD(21.01deg)
0.0,6.73519386e-01,6.84665332e-01
1.0,5.59504268e-01,5.68491859e-01
2.0,4.59585255e-01,4.66037440e-01
3.0,3.73540237e-01,3.77148704e-01
4.0,3.00696505e-01,3.01258138e-01
5.0,2.40027112e-01,2.37485325e-01
6.0,1.90259381e-01,1.84735850e-01
7.0,1.49987398e-01,1.41789673e-01
8.0,1.17778054e-01,1.07376117e-01
9.0,9.22598068e-02,8.02354803e-02
10.0,7.21863495e-02,5.91679041e-02
11.0,5.64728037e-02,4.30697891e-02
12.0,4.42073901e-02,3.09579366e-02
13.0,3.46448841e-02,2.19820386e-02
14.0,2.71890225e-02,1.54269314e-02
15.0,2.13700248e-02,1.07067078e-02
16.0,1.68215826e-02,7.35310475e-03
17.0,1.32598399e-02,5.00052325e-03
18.0,1.04654874e-02,3.36971626e-03
19.0,8.26918151e-03,2.25171940e-03
20.0,6.54001907e-03,1.49310562e-03
21.0,5.17659736e-03,9.83180675e-04
22.0,4.10015643e-03,6.43353518e-04
23.0,3.24934793e-03,4.18638427e-04
24.0,2.57625122e-03,2.71075426e-04
25.0,2.04333595e-03,1.74774047e-04
26.0,1.62113987e-03,1.12267916e-04
27.0,1.28648675e-03,7.18888766e-05
28.0,1.02111306e-03,4.59100324e-05
29.0,8.10605295e-04,2.92537818e-05
30.0,6.43574363e-04,1.86058580e-05
31.0,5.11011808e-04,1.18155081e-05
32.0,4.05786292e-04,7.49394446e-06
33.0,3.22248649e-04,4.74815544e-06
34.0,2.55921389e-04,3.00593596e-06
35.0,2.03254130e-04,1.90170894e-06
36.0,1.61430633e-04,1.20247075e-06
37.0,1.28216372e-04,7.60006354e-07
38.0,1.01837970e-04,4.80185976e-07
39.0,8.08877795e-05,3.03306263e-07
40.0,6.42482944e-05,1.91538974e-07
