Angle(deg),f(R)
0.00,4.00000000e+30
0.01,1.31312263e+08
0.02,3.28280728e+07
0.03,1.45902598e+07
0.04,8.20702521e+06
0.05,5.25249949e+06
0.06,3.64757194e+06
0.07,2.67985125e+06
0.08,2.05176330e+06
0.09,1.62114827e+06
0.10,1.31313187e+06
0.11,1.08523457e+06
0.12,9.11899986e+05
0.13,7.77004919e+05
0.14,6.69969813e+05
0.15,5.83619351e+05
0.16,5.12947826e+05
0.17,4.54376994e+05
0.18,4.05294068e+05
0.19,3.63755190e+05
0.20,3.28289969e+05
0.21,2.97769547e+05
0.22,2.71315644e+05
0.23,2.48236657e+05
0.24,2.27981997e+05
0.25,2.10108940e+05
0.26,1.94258230e+05
0.27,1.80135882e+05
0.28,1.67499454e+05
0.29,1.56147567e+05
0.30,1.45911838e+05
0.31,1.36650597e+05
0.32,1.28243957e+05
0.33,1.20589916e+05
0.34,1.13601249e+05
0.35,1.07203011e+05
0.36,1.01330518e+05
0.37,9.59277082e+04
0.38,9.09457982e+04
0.39,8.63421771e+04
0.40,8.20794931e+04
0.41,7.81248930e+04
0.42,7.44493877e+04
0.43,7.10273193e+04
0.44,6.78359120e+04
0.45,6.48548921e+04
0.46,6.20661655e+04
0.47,5.94535420e+04
0.48,5.70025006e+04
0.49,5.46999862e+04
0.50,5.25342365e+04
0.51,5.04946306e+04
0.52,4.85715591e+04
0.53,4.67563105e+04
0.54,4.50409723e+04
0.55,4.34183448e+04
0.56,4.18818652e+04
0.57,4.04255416e+04
0.58,3.90438937e+04
0.59,3.77319020e+04
0.60,3.64849617e+04
0.61,3.52988422e+04
0.62,3.41696515e+04
0.63,3.30938039e+04
0.64,3.20679916e+04
0.65,3.10891594e+04
0.66,3.01544816e+04
0.67,2.92613419e+04
0.68,2.84073150e+04
0.69,2.75901500e+04
0.70,2.68077555e+04
0.71,2.60581867e+04
0.72,2.53396324e+04
0.73,2.46504051e+04
0.74,2.39889302e+04
0.75,2.33537375e+04
0.76,2.27434529e+04
0.77,2.21567909e+04
0.78,2.15925478e+04
0.79,2.10495958e+04
0.80,2.05268770e+04
0.81,2.00233984e+04
0.82,1.95382271e+04
0.83,1.90704864e+04
0.84,1.86193510e+04
0.85,1.81840442e+04
0.86,1.77638341e+04
0.87,1.73580306e+04
0.88,1.69659825e+04
0.89,1.65870751e+04
0.90,1.62207277e+04
0.91,1.58663912e+04
0.92,1.55235463e+04
0.93,1.51917013e+04
0.94,1.48703906e+04
0.95,1.45591731e+04
0.96,1.42576305e+04
0.97,1.39653657e+04
0.98,1.36820021e+04
0.99,1.34071819e+04
1.00,1.31405649e+04
1.01,1.28818280e+04
1.02,1.26306637e+04
1.03,1.23867792e+04
1.04,1.21498960e+04
1.05,1.19197487e+04
1.06,1.16960841e+04
1.07,1.14786612e+04
1.08,1.12672498e+04
1.09,1.10616304e+04
1.10,1.08615932e+04
1.11,1.06669381e+04
1.12,1.04774736e+04
1.13,1.02930168e+04
1.14,1.01133929e+04
1.15,9.93843444e+03
1.16,9.76798121e+03
1.17,9.60187989e+03
1.18,9.43998356e+03
1.19,9.28215149e+03
1.20,9.12824876e+03
1.21,8.97814601e+03
1.22,8.83171918e+03
1.23,8.68884919e+03
1.24,8.54942179e+03
1.25,8.41332725e+03
1.26,8.28046018e+03
1.27,8.15071933e+03
1.28,8.02400740e+03
1.29,7.90023082e+03
1.30,7.77929964e+03
1.31,7.66112729e+03
1.32,7.54563049e+03
1.33,7.43272908e+03
1.34,7.32234588e+03
1.35,7.21440655e+03
1.36,7.10883947e+03
1.37,7.00557563e+03
1.38,6.90454853e+03
1.39,6.80569402e+03
1.40,6.70895025e+03
1.41,6.61425755e+03
1.42,6.52155836e+03
1.43,6.43079710e+03
1.44,6.34192013e+03
1.45,6.25487565e+03
