Angle(deg),BER
0.00,6.43574363e-04
0.01,6.43544033e-04
0.02,6.43453819e-04
0.03,6.43305038e-04
0.04,6.43098856e-04
0.05,6.42836373e-04
0.06,6.42518675e-04
0.07,6.42146844e-04
0.08,6.41721966e-04
0.09,6.41245124e-04
0.10,6.40717405e-04
0.11,6.40139892e-04
0.12,6.39513669e-04
0.13,6.38839813e-04
0.14,6.38119395e-04
0.15,6.37353482e-04
0.16,6.36543129e-04
0.17,6.35689386e-04
0.18,6.34793292e-04
0.19,6.33855877e-04
0.20,6.32878161e-04
0.21,6.31861154e-04
0.22,6.30805855e-04
0.23,6.29713253e-04
0.24,6.28584324e-04
0.25,6.27420036e-04
0.26,6.26221341e-04
0.27,6.24989181e-04
0.28,6.23724488e-04
0.29,6.22428177e-04
0.30,6.21101154e-04
0.31,6.19744310e-04
0.32,6.18358525e-04
0.33,6.16944663e-04
0.34,6.15503576e-04
0.35,6.14036105e-04
0.36,6.12543073e-04
0.37,6.11025293e-04
0.38,6.09483562e-04
0.39,6.07918664e-04
0.40,6.06331370e-04
0.41,6.04722436e-04
0.42,6.03092605e-04
0.43,6.01442605e-04
0.44,5.99773152e-04
0.45,5.98084947e-04
0.46,5.96378679e-04
0.47,5.94655020e-04
0.48,5.92914631e-04
0.49,5.91158160e-04
0.50,5.89386240e-04
0.51,5.87599492e-04
0.52,5.85798522e-04
0.53,5.83983925e-04
0.54,5.82156282e-04
0.55,5.80316161e-04
0.56,5.78464119e-04
0.57,5.76600699e-04
0.58,5.74726431e-04
0.59,5.72841834e-04
0.60,5.70947415e-04
0.61,5.69043670e-04
0.62,5.67131080e-04
0.63,5.65210119e-04
0.64,5.63281245e-04
0.65,5.61344909e-04
0.66,5.59401548e-04
0.67,5.57451589e-04
0.68,5.55495450e-04
0.69,5.53533536e-04
0.70,5.51566244e-04
0.71,5.49593959e-04
0.72,5.47617058e-04
0.73,5.45635906e-04
0.74,5.43650860e-04
0.75,5.41662269e-04
0.76,5.39670469e-04
0.77,5.37675791e-04
0.78,5.35678555e-04
0.79,5.33679072e-04
0.80,5.31677646e-04
0.81,5.29674573e-04
0.82,5.27670138e-04
0.83,5.25664623e-04
0.84,5.23658297e-04
0.85,5.21651425e-04
0.86,5.19644263e-04
0.87,5.17637061e-04
0.88,5.15630060e-04
0.89,5.13623496e-04
0.90,5.11617597e-04
0.91,5.09612585e-04
0.92,5.07608676e-04
0.93,5.05606078e-04
0.94,5.03604995e-04
0.95,5.01605624e-04
0.96,4.99608156e-04
0.97,4.97612776e-04
0.98,4.95619664e-04
0.99,4.93628994e-04
1.00,4.91640937e-04
1.01,4.89655655e-04
1.02,4.87673307e-04
1.03,4.85694048e-04
1.04,4.83718027e-04
1.05,4.81745387e-04
1.06,4.79776270e-04
1.07,4.77810811e-04
1.08,4.75849141e-04
1.09,4.73891386e-04
1.10,4.71937670e-04
1.11,4.69988112e-04
1.12,4.68042826e-04
1.13,4.66101923e-04
1.14,4.64165512e-04
1.15,4.62233695e-04
1.16,4.60306574e-04
1.17,4.58384245e-04
1.18,4.56466801e-04
1.19,4.54554334e-04
1.20,4.52646929e-04
1.21,4.50744672e-04
1.22,4.48847643e-04
1.23,4.46955921e-04
1.24,4.45069580e-04
1.25,4.43188694e-04
1.26,4.41313331e-04
1.27,4.39443561e-04
1.28,4.37579447e-04
1.29,4.35721051e-04
1.30,4.33868433e-04
1.31,4.32021651e-04
1.32,4.30180760e-04
1.33,4.28345812e-04
1.34,4.26516859e-04
1.35,4.24693949e-04
1.36,4.22877129e-04
1.37,4.21066443e-04
1.38,4.19261935e-04
1.39,4.17463644e-04
1.40,4.15671609e-04
1.41,4.13885868e-04
1.42,4.12106457e-04
1.43,4.10333408e-04
1.44,4.08566754e-04
1.45,4.06806524e-04
1.46,4.05052749e-04
1.47,4.03305455e-04
1.48,4.01564668e-04
1.49,3.99830412e-04
1.50,3.98102711e-04
1.51,3.96381585e-04
1.52,3.94667056e-04
1.53,3.92959141e-04
1.54,3.91257859e-04
1.55,3.89563227e-04
1.56,3.87875258e-04
1.57,3.86193968e-04
1.58,3.84519370e-04
1.59,3.82851474e-04
1.60,3.81190293e-04
1.61,3.79535835e-04
1.62,3.77888110e-04
1.63,3.76247124e-04
1.64,3.74612886e-04
1.65,3.72985400e-04
1.66,3.71364671e-04
1.67,3.69750704e-04
1.68,3.68143501e-04
1.69,3.66543066e-04
1.70,3.64949398e-04
1.71,3.63362500e-04
1.72,3.61782370e-04
1.73,3.60209008e-04
1.74,3.58642412e-04
1.75,3.57082581e-04
1.76,3.55529510e-04
1.77,3.53983197e-04
1.78,3.52443636e-04
1.79,3.50910823e-04
1.80,3.49384753e-04
1.81,3.47865418e-04
1.82,3.46352813e-04
1.83,3.44846929e-04
1.84,3.43347758e-04
1.85,3.41855293e-04
1.86,3.40369524e-04
1.87,3.38890442e-04
1.88,3.37418036e-04
1.89,3.35952296e-04
1.90,3.34493210e-04
1.91,3.33040769e-04
1.92,3.31594958e-04
1.93,3.30155767e-04
1.94,3.28723181e-04
1.95,3.27297189e-04
1.96,3.25877776e-04
1.97,3.24464929e-04
1.98,3.23058633e-04
1.99,3.21658873e-04
2.00,3.20265634e-04
