Angle(deg),BER
2.45,7.11206165e-05
2.46,7.07210197e-05
2.47,7.03243466e-05
2.48,6.99305742e-05
2.49,6.95396799e-05
2.50,6.91516411e-05
2.51,6.87664352e-05
2.52,6.83840400e-05
2.53,6.80044333e-05
2.54,6.76275929e-05
2.55,6.72534971e-05
2.56,6.68821239e-05
2.57,6.65134518e-05
2.58,6.61474593e-05
2.59,6.57841249e-05
2.60,6.54234276e-05
2.61,6.50653461e-05
2.62,6.47098596e-05
2.63,6.43569473e-05
2.64,6.40065885e-05
2.65,6.36587627e-05
2.66,6.33134495e-05
2.67,6.29706288e-05
2.68,6.26302804e-05
2.69,6.22923844e-05
2.70,6.19569210e-05
2.71,6.16238706e-05
2.72,6.12932137e-05
2.73,6.09649308e-05
2.74,6.06390028e-05
2.75,6.03154105e-05
2.76,5.99941351e-05
2.77,5.96751578e-05
2.78,5.93584598e-05
2.79,5.90440228e-05
2.80,5.87318282e-05
2.81,5.84218579e-05
2.82,5.81140938e-05
2.83,5.78085179e-05
2.84,5.75051124e-05
2.85,5.72038596e-05
2.86,5.69047421e-05
2.87,5.66077424e-05
2.88,5.63128432e-05
2.89,5.60200274e-05
2.90,5.57292780e-05
2.91,5.54405783e-05
2.92,5.51539114e-05
2.93,5.48692607e-05
2.94,5.45866099e-05
2.95,5.43059426e-05
2.96,5.40272427e-05
2.97,5.37504940e-05
2.98,5.34756806e-05
2.99,5.32027869e-05
3.00,5.29317970e-05
3.01,5.26626955e-05
3.02,5.23954670e-05
3.03,5.21300961e-05
3.04,5.18665678e-05
3.05,5.16048670e-05
3.06,5.13449789e-05
3.07,5.10868885e-05
3.08,5.08305814e-05
3.09,5.05760430e-05
3.10,5.03232588e-05
3.11,5.00722146e-05
3.12,4.98228962e-05
3.13,4.95752896e-05
3.14,4.93293808e-05
3.15,4.90851561e-05
3.16,4.88426017e-05
3.17,4.86017042e-05
3.18,4.83624499e-05
3.19,4.81248257e-05
3.20,4.78888182e-05
3.21,4.76544143e-05
3.22,4.74216011e-05
3.23,4.71903657e-05
3.24,4.69606952e-05
3.25,4.67325771e-05
3.26,4.65059987e-05
3.27,4.62809476e-05
3.28,4.60574115e-05
3.29,4.58353781e-05
3.30,4.56148353e-05
3.31,4.53957711e-05
3.32,4.51781735e-05
3.33,4.49620307e-05
3.34,4.47473311e-05
3.35,4.45340629e-05
3.36,4.43222148e-05
3.37,4.41117752e-05
3.38,4.39027329e-05
3.39,4.36950767e-05
3.40,4.34887954e-05
3.41,4.32838781e-05
3.42,4.30803137e-05
3.43,4.28780915e-05
3.44,4.26772008e-05
3.45,4.24776309e-05
3.46,4.22793713e-05
3.47,4.20824114e-05
3.48,4.18867411e-05
3.49,4.16923499e-05
3.50,4.14992277e-05
3.51,4.13073644e-05
3.52,4.11167501e-05
3.53,4.09273748e-05
3.54,4.07392286e-05
3.55,4.05523019e-05
3.56,4.03665849e-05
3.57,4.01820682e-05
3.58,3.99987422e-05
3.59,3.98165976e-05
3.60,3.96356249e-05
3.61,3.94558150e-05
3.62,3.92771587e-05
3.63,3.90996470e-05
3.64,3.89232708e-05
3.65,3.87480213e-05
3.66,3.85738895e-05
3.67,3.84008668e-05
3.68,3.82289444e-05
3.69,3.80581137e-05
3.70,3.78883663e-05
3.71,3.77196936e-05
3.72,3.75520872e-05
3.73,3.73855390e-05
3.74,3.72200405e-05
3.75,3.70555837e-05
3.76,3.68921605e-05
3.77,3.67297629e-05
3.78,3.65683828e-05
3.79,3.64080125e-05
3.80,3.62486440e-05
3.81,3.60902698e-05
3.82,3.59328820e-05
3.83,3.57764731e-05
3.84,3.56210355e-05
3.85,3.54665619e-05
3.86,3.53130446e-05
3.87,3.51604765e-05
3.88,3.50088502e-05
3.89,3.48581586e-05
3.90,3.47083944e-05
3.91,3.45595506e-05
3.92,3.44116201e-05
3.93,3.42645960e-05
3.94,3.41184714e-05
3.95,3.39732394e-05
3.96,3.38288933e-05
3.97,3.36854262e-05
3.98,3.35428316e-05
3.99,3.34011028e-05
4.00,3.32602333e-05
4.01,3.31202166e-05
4.02,3.29810463e-05
4.03,3.28427158e-05
4.04,3.27052191e-05
4.05,3.25685496e-05
4.06,3.24327013e-05
4.07,3.22976680e-05
4.08,3.21634435e-05
4.09,3.20300219e-05
4.10,3.18973970e-05
4.11,3.17655629e-05
4.12,3.16345138e-05
4.13,3.15042438e-05
4.14,3.13747471e-05
4.15,3.12460179e-05
4.16,3.11180505e-05
4.17,3.09908393e-05
4.18,3.08643786e-05
4.19,3.07386630e-05
4.20,3.06136869e-05
4.21,3.04894448e-05
4.22,3.03659313e-05
4.23,3.02431411e-05
4.24,3.01210689e-05
4.25,2.99997093e-05
4.26,2.98790571e-05
4.27,2.97591072e-05
4.28,2.96398544e-05
4.29,2.95212936e-05
4.30,2.94034197e-05
4.31,2.92862278e-05
4.32,2.91697128e-05
4.33,2.90538699e-05
4.34,2.89386941e-05
4.35,2.88241807e-05
4.36,2.87103248e-05
4.37,2.85971216e-05
4.38,2.84845664e-05
4.39,2.83726546e-05
4.40,2.82613815e-05
4.41,2.81507424e-05
4.42,2.80407330e-05
4.43,2.79313485e-05
4.44,2.78225845e-05
4.45,2.77144367e-05
4.46,2.76069005e-05
4.47,2.74999716e-05
4.48,2.73936456e-05
4.49,2.72879183e-05
4.50,2.71827853e-05
4.51,2.70782426e-05
4.52,2.69742857e-05
4.53,2.68709107e-05
4.54,2.67681134e-05
4.55,2.66658896e-05
4.56,2.65642354e-05
4.57,2.64631467e-05
4.58,2.63626195e-05
4.59,2.62626498e-05
4.60,2.61632338e-05
4.61,2.60643675e-05
4.62,2.59660472e-05
4.63,2.58682689e-05
4.64,2.57710288e-05
4.65,2.56743233e-05
4.66,2.55781486e-05
4.67,2.54825009e-05
4.68,2.53873766e-05
4.69,2.52927721e-05
4.70,2.51986838e-05
4.71,2.51051080e-05
4.72,2.50120412e-05
4.73,2.49194800e-05
4.74,2.48274207e-05
4.75,2.47358600e-05
4.76,2.46447944e-05
4.77,2.45542204e-05
4.78,2.44641348e-05
4.79,2.43745342e-05
4.80,2.42854152e-05
4.81,2.41967745e-05
4.82,2.41086089e-05
4.83,2.40209151e-05
4.84,2.39336899e-05
4.85,2.38469301e-05
4.86,2.37606326e-05
4.87,2.36747941e-05
4.88,2.35894117e-05
4.89,2.35044821e-05
4.90,2.34200024e-05
4.91,2.33359694e-05
4.92,2.32523803e-05
4.93,2.31692318e-05
4.94,2.30865212e-05
4.95,2.30042455e-05
4.96,2.29224017e-05
4.97,2.28409870e-05
4.98,2.27599984e-05
4.99,2.26794331e-05
5.00,2.25992883e-05
5.01,2.25195612e-05
5.02,2.24402490e-05
5.03,2.23613490e-05
5.04,2.22828583e-05
5.05,2.22047743e-05
5.06,2.21270943e-05
5.07,2.20498156e-05
5.08,2.19729356e-05
5.09,2.18964516e-05
5.10,2.18203609e-05
5.11,2.17446611e-05
5.12,2.16693496e-05
5.13,2.15944237e-05
5.14,2.15198810e-05
5.15,2.14457189e-05
5.16,2.13719350e-05
5.17,2.12985268e-05
5.18,2.12254918e-05
5.19,2.11528277e-05
5.20,2.10805319e-05
5.21,2.10086020e-05
5.22,2.09370359e-05
5.23,2.08658309e-05
5.24,2.07949849e-05
5.25,2.07244955e-05
5.26,2.06543603e-05
5.27,2.05845772e-05
5.28,2.05151438e-05
5.29,2.04460578e-05
5.30,2.03773171e-05
5.31,2.03089195e-05
5.32,2.02408627e-05
5.33,2.01731445e-05
5.34,2.01057628e-05
5.35,2.00387155e-05
5.36,1.99720003e-05
5.37,1.99056153e-05
5.38,1.98395582e-05
5.39,1.97738271e-05
5.40,1.97084197e-05
5.41,1.96433342e-05
5.42,1.95785684e-05
5.43,1.95141203e-05
5.44,1.94499880e-05
5.45,1.93861694e-05
5.46,1.93226625e-05
5.47,1.92594654e-05
5.48,1.91965762e-05
5.49,1.91339929e-05
5.50,1.90717136e-05
5.51,1.90097364e-05
5.52,1.89480594e-05
5.53,1.88866807e-05
5.54,1.88255986e-05
5.55,1.87648110e-05
5.56,1.87043163e-05
5.57,1.86441125e-05
5.58,1.85841979e-05
5.59,1.85245708e-05
5.60,1.84652292e-05
5.61,1.84061715e-05
5.62,1.83473958e-05
5.63,1.82889006e-05
5.64,1.82306839e-05
5.65,1.81727442e-05
5.66,1.81150797e-05
5.67,1.80576888e-05
5.68,1.80005697e-05
5.69,1.79437208e-05
5.70,1.78871405e-05
5.71,1.78308271e-05
5.72,1.77747790e-05
5.73,1.77189945e-05
5.74,1.76634721e-05
5.75,1.76082102e-05
5.76,1.75532072e-05
5.77,1.74984616e-05
5.78,1.74439717e-05
5.79,1.73897360e-05
5.80,1.73357531e-05
5.81,1.72820214e-05
5.82,1.72285393e-05
5.83,1.71753054e-05
5.84,1.71223182e-05
5.85,1.70695762e-05
5.86,1.70170779e-05
5.87,1.69648219e-05
5.88,1.69128068e-05
5.89,1.68610311e-05
5.90,1.68094933e-05
5.91,1.67581921e-05
5.92,1.67071261e-05
5.93,1.66562938e-05
5.94,1.66056940e-05
5.95,1.65553251e-05
5.96,1.65051859e-05
5.97,1.64552749e-05
5.98,1.64055909e-05
5.99,1.63561325e-05
6.00,1.63068984e-05
6.01,1.62578872e-05
6.02,1.62090977e-05
6.03,1.61605286e-05
6.04,1.61121785e-05
6.05,1.60640462e-05
6.06,1.60161305e-05
6.07,1.59684300e-05
6.08,1.59209435e-05
6.09,1.58736698e-05
6.10,1.58266076e-05
6.11,1.57797556e-05
6.12,1.57331128e-05
6.13,1.56866779e-05
6.14,1.56404496e-05
6.15,1.55944268e-05
6.16,1.55486083e-05
6.17,1.55029929e-05
6.18,1.54575795e-05
6.19,1.54123669e-05
6.20,1.53673539e-05
6.21,1.53225394e-05
6.22,1.52779223e-05
6.23,1.52335014e-05
6.24,1.51892756e-05
6.25,1.51452439e-05
6.26,1.51014050e-05
6.27,1.50577580e-05
6.28,1.50143017e-05
6.29,1.49710350e-05
6.30,1.49279569e-05
6.31,1.48850662e-05
6.32,1.48423620e-05
6.33,1.47998432e-05
6.34,1.47575088e-05
6.35,1.47153576e-05
6.36,1.46733887e-05
6.37,1.46316011e-05
6.38,1.45899937e-05
6.39,1.45485655e-05
6.40,1.45073156e-05
6.41,1.44662429e-05
6.42,1.44253464e-05
6.43,1.43846252e-05
6.44,1.43440782e-05
6.45,1.43037046e-05
6.46,1.42635033e-05
6.47,1.42234734e-05
6.48,1.41836139e-05
6.49,1.41439240e-05
6.50,1.41044026e-05
6.51,1.40650489e-05
6.52,1.40258618e-05
6.53,1.39868406e-05
6.54,1.39479842e-05
6.55,1.39092919e-05
6.56,1.38707626e-05
6.57,1.38323954e-05
6.58,1.37941896e-05
6.59,1.37561442e-05
6.60,1.37182583e-05
6.61,1.36805311e-05
6.62,1.36429617e-05
6.63,1.36055493e-05
6.64,1.35682929e-05
6.65,1.35311918e-05
6.66,1.34942451e-05
6.67,1.34574520e-05
6.68,1.34208116e-05
6.69,1.33843231e-05
6.70,1.33479857e-05
6.71,1.33117986e-05
6.72,1.32757609e-05
6.73,1.32398720e-05
6.74,1.32041309e-05
6.75,1.31685369e-05
6.76,1.31330892e-05
6.77,1.30977869e-05
6.78,1.30626295e-05
6.79,1.30276159e-05
6.80,1.29927456e-05
6.81,1.29580177e-05
6.82,1.29234315e-05
6.83,1.28889862e-05
6.84,1.28546810e-05
6.85,1.28205153e-05
6.86,1.27864883e-05
6.87,1.27525993e-05
6.88,1.27188474e-05
6.89,1.26852321e-05
6.90,1.26517526e-05
6.91,1.26184082e-05
6.92,1.25851981e-05
6.93,1.25521216e-05
6.94,1.25191782e-05
6.95,1.24863670e-05
6.96,1.24536873e-05
6.97,1.24211386e-05
6.98,1.23887200e-05
6.99,1.23564310e-05
7.00,1.23242708e-05
7.01,1.22922388e-05
7.02,1.22603343e-05
7.03,1.22285567e-05
7.04,1.21969052e-05
7.05,1.21653793e-05
7.06,1.21339783e-05
7.07,1.21027015e-05
7.08,1.20715484e-05
7.09,1.20405182e-05
7.10,1.20096103e-05
7.11,1.19788242e-05
7.12,1.19481591e-05
7.13,1.19176145e-05
7.14,1.18871897e-05
7.15,1.18568842e-05
7.16,1.18266973e-05
7.17,1.17966284e-05
7.18,1.17666770e-05
7.19,1.17368423e-05
7.20,1.17071239e-05
7.21,1.16775211e-05
7.22,1.16480334e-05
7.23,1.16186601e-05
7.24,1.15894008e-05
7.25,1.15602547e-05
7.26,1.15312213e-05
7.27,1.15023002e-05
7.28,1.14734906e-05
7.29,1.14447921e-05
7.30,1.14162040e-05
7.31,1.13877259e-05
7.32,1.13593572e-05
7.33,1.13310973e-05
7.34,1.13029457e-05
7.35,1.12749018e-05
7.36,1.12469651e-05
7.37,1.12191351e-05
7.38,1.11914112e-05
7.39,1.11637930e-05
7.40,1.11362798e-05
7.41,1.11088712e-05
7.42,1.10815667e-05
7.43,1.10543656e-05
7.44,1.10272676e-05
7.45,1.10002721e-05
7.46,1.09733786e-05
7.47,1.09465866e-05
7.48,1.09198956e-05
7.49,1.08933051e-05
7.50,1.08668146e-05
7.51,1.08404237e-05
7.52,1.08141317e-05
7.53,1.07879383e-05
7.54,1.07618430e-05
7.55,1.07358452e-05
7.56,1.07099446e-05
7.57,1.06841406e-05
7.58,1.06584327e-05
7.59,1.06328206e-05
7.60,1.06073037e-05
7.61,1.05818815e-05
7.62,1.05565537e-05
7.63,1.05313197e-05
7.64,1.05061791e-05
7.65,1.04811314e-05
7.66,1.04561762e-05
7.67,1.04313131e-05
7.68,1.04065416e-05
7.69,1.03818613e-05
7.70,1.03572717e-05
7.71,1.03327724e-05
7.72,1.03083629e-05
7.73,1.02840429e-05
7.74,1.02598119e-05
7.75,1.02356695e-05
7.76,1.02116152e-05
7.77,1.01876486e-05
7.78,1.01637694e-05
7.79,1.01399770e-05
7.80,1.01162712e-05
7.81,1.00926514e-05
7.82,1.00691173e-05
7.83,1.00456684e-05
7.84,1.00223044e-05
7.85,9.99902487e-06
7.86,9.97582938e-06
7.87,9.95271756e-06
7.88,9.92968901e-06
7.89,9.90674333e-06
7.90,9.88388013e-06
7.91,9.86109904e-06
7.92,9.83839966e-06
7.93,9.81578160e-06
7.94,9.79324450e-06
7.95,9.77078797e-06
7.96,9.74841163e-06
7.97,9.72611511e-06
7.98,9.70389804e-06
7.99,9.68176004e-06
8.00,9.65970076e-06
8.01,9.63771982e-06
8.02,9.61581686e-06
8.03,9.59399152e-06
8.04,9.57224345e-06
8.05,9.55057227e-06
8.06,9.52897764e-06
8.07,9.50745921e-06
8.08,9.48601661e-06
8.09,9.46464951e-06
8.10,9.44335756e-06
8.11,9.42214040e-06
8.12,9.40099771e-06
8.13,9.37992912e-06
8.14,9.35893432e-06
8.15,9.33801295e-06
8.16,9.31716468e-06
8.17,9.29638918e-06
8.18,9.27568612e-06
8.19,9.25505517e-06
8.20,9.23449599e-06
8.21,9.21400826e-06
8.22,9.19359166e-06
8.23,9.17324587e-06
8.24,9.15297056e-06
8.25,9.13276541e-06
8.26,9.11263011e-06
8.27,9.09256434e-06
8.28,9.07256778e-06
8.29,9.05264014e-06
8.30,9.03278108e-06
8.31,9.01299031e-06
8.32,8.99326753e-06
8.33,8.97361241e-06
8.34,8.95402466e-06
8.35,8.93450399e-06
8.36,8.91505008e-06
8.37,8.89566264e-06
8.38,8.87634137e-06
8.39,8.85708598e-06
8.40,8.83789618e-06
8.41,8.81877166e-06
8.42,8.79971215e-06
8.43,8.78071735e-06
8.44,8.76178697e-06
8.45,8.74292073e-06
8.46,8.72411835e-06
8.47,8.70537954e-06
8.48,8.68670403e-06
8.49,8.66809152e-06
8.50,8.64954175e-06
8.51,8.63105443e-06
8.52,8.61262930e-06
8.53,8.59426608e-06
8.54,8.57596450e-06
8.55,8.55772428e-06
8.56,8.53954516e-06
8.57,8.52142687e-06
8.58,8.50336914e-06
