SNR(dB),BER
0.0,8.30621905e+00
1.0,6.93613486e+00
2.0,5.74510141e+00
3.0,4.72115075e+00
4.0,3.85000742e+00
5.0,3.11615669e+00
6.0,2.50372855e+00
7.0,1.99717878e+00
8.0,1.58177571e+00
9.0,1.24391785e+00
10.0,9.71315578e-01
11.0,7.53068767e-01
12.0,5.79667558e-01
13.0,4.42936734e-01
14.0,3.35940135e-01
15.0,2.52859640e-01
16.0,1.88862378e-01
17.0,1.39968068e-01
18.0,1.02924902e-01
19.0,7.50982088e-02
20.0,5.43726544e-02
21.0,3.90667644e-02
22.0,2.78581383e-02
23.0,1.97181101e-02
24.0,1.38551463e-02
25.0,9.66656194e-03
26.0,6.69811081e-03
27.0,4.61081711e-03
28.0,3.15421999e-03
29.0,2.14510038e-03
30.0,1.45077071e-03
31.0,9.76095032e-04
32.0,6.53522805e-04
33.0,4.35532887e-04
34.0,2.88982308e-04
35.0,1.90938646e-04
36.0,1.25648570e-04
37.0,8.23611001e-05
38.0,5.37827952e-05
39.0,3.49927886e-05
40.0,2.26877655e-05
