SNR(dB),BER
0.0,6.84665332e-01
1.0,5.68491859e-01
2.0,4.66037440e-01
3.0,3.77148704e-01
4.0,3.01258138e-01
5.0,2.37485325e-01
6.0,1.84735850e-01
7.0,1.41789673e-01
8.0,1.07376117e-01
9.0,8.02354803e-02
10.0,5.91679041e-02
11.0,4.30697891e-02
12.0,3.09579366e-02
13.0,2.19820386e-02
14.0,1.54269314e-02
15.0,1.07067078e-02
16.0,7.35310475e-03
17.0,5.00052325e-03
18.0,3.36971626e-03
19.0,2.25171940e-03
20.0,1.49310562e-03
21.0,9.83180675e-04
22.0,6.43353518e-04
23.0,4.18638427e-04
24.0,2.71075426e-04
25.0,1.74774047e-04
26.0,1.12267916e-04
27.0,7.18888766e-05
28.0,4.59100324e-05
29.0,2.92537818e-05
30.0,1.86058580e-05
31.0,1.18155081e-05
32.0,7.49394446e-06
33.0,4.74815544e-06
34.0,3.00593596e-06
35.0,1.90170894e-06
36.0,1.20247075e-06
37.0,7.60006354e-07
38.0,4.80185976e-07
39.0,3.03306263e-07
40.0,1.91538974e-07
